"","Date","Rainfall_Settefrati","Temperature_Settefrati","Flow_Rate_Madonna_di_Canneto"
"194",2015-09-22,0,17.35,NA
"195",2015-09-23,14.6,16.65,NA
"196",2015-09-24,1,15.2,NA
"197",2015-09-25,0,14.75,NA
"198",2015-09-26,0,14.45,NA
"199",2015-09-27,0,15.4,NA
"200",2015-09-28,0,14.2,NA
"201",2015-09-29,0,13.9,NA
"202",2015-09-30,0,13.95,227.6734397
"203",2015-10-01,8.2,12.95,NA
"204",2015-10-02,15.9,16.5,224.941935
"205",2015-10-03,0.2,16,NA
"206",2015-10-04,0,16,227.1598042
"207",2015-10-05,3.4,16,225.6479256
"208",2015-10-06,0.6,17.3,223.0236674
"209",2015-10-07,5.6,16.3,NA
"210",2015-10-08,0,15.4,NA
"211",2015-10-09,2,14.6,NA
"212",2015-10-10,34,14.5,NA
"213",2015-10-11,18.1,10.9,NA
"214",2015-10-12,0.2,12.95,NA
"215",2015-10-13,12.8,12.65,NA
"216",2015-10-14,31.2,17.2,NA
"217",2015-10-15,9.3,12.65,NA
"218",2015-10-16,0,12.1,NA
"219",2015-10-17,1.6,12.6,NA
"220",2015-10-18,0.4,11.8,NA
"221",2015-10-19,15,15.95,NA
"222",2015-10-20,0.2,14.15,NA
"223",2015-10-21,2.2,11.8,NA
"224",2015-10-22,11.4,8.5,NA
"225",2015-10-23,0,10.4,NA
"226",2015-10-24,0,11.95,NA
"227",2015-10-25,0,13.25,NA
"228",2015-10-26,0,12.65,NA
"229",2015-10-27,0,14.7,NA
"230",2015-10-28,6.4,12.65,NA
"231",2015-10-29,11.6,13.15,NA
"232",2015-10-30,10.6,10.7,NA
"233",2015-10-31,0,12.95,NA
"234",2015-11-01,0,12.4,NA
"235",2015-11-02,0,11.75,NA
"236",2015-11-03,0,13.2,NA
"237",2015-11-04,0,13.85,NA
"238",2015-11-05,0,14.25,NA
"239",2015-11-06,0,14.2,NA
"240",2015-11-07,0,14.25,NA
"241",2015-11-08,0,15.3,NA
"242",2015-11-09,0,15.1,NA
"243",2015-11-10,0,12.1,NA
"244",2015-11-11,0,14.4,NA
"245",2015-11-12,0,9.6,NA
"246",2015-11-13,0,11.75,NA
"247",2015-11-14,0,12.1,NA
"248",2015-11-15,0,11.25,NA
"249",2015-11-16,0,12.05,NA
"250",2015-11-17,0,11.1,NA
"251",2015-11-18,0,10.8,NA
"252",2015-11-19,0,10.9,NA
"253",2015-11-20,1.8,9.85,NA
"254",2015-11-21,35,9.4,NA
"255",2015-11-22,7.2,5.6,NA
"256",2015-11-23,6,5.9,NA
"257",2015-11-24,0.8,7.05,NA
"258",2015-11-25,0,6.2,NA
"259",2015-11-26,2.8,4.95,NA
"260",2015-11-27,7.2,6.5,NA
"261",2015-11-28,0,5.45,NA
"262",2015-11-29,0,5.7,NA
"263",2015-11-30,0,6.75,NA
"264",2015-12-01,0,8.9,NA
"265",2015-12-02,0,9.3,NA
"266",2015-12-03,0,8.35,NA
"267",2015-12-04,0,7.4,NA
"268",2015-12-05,0,8.2,NA
"269",2015-12-06,0,8.25,NA
"270",2015-12-07,0,9.3,NA
"271",2015-12-08,0,9.75,NA
"272",2015-12-09,0,8.8,NA
"273",2015-12-10,0,7.6,NA
"274",2015-12-11,0,5.75,NA
"275",2015-12-12,0,6.8,NA
"276",2015-12-13,0,5.85,NA
"277",2015-12-14,0,5.9,NA
"278",2015-12-15,0,6.3,NA
"279",2015-12-16,0,7.25,NA
"280",2015-12-17,0,6.65,NA
"281",2015-12-18,0,7.3,NA
"282",2015-12-19,0,7.5,NA
"283",2015-12-20,0,8.4,NA
"284",2015-12-21,0,8.15,NA
"285",2015-12-22,0,7.75,NA
"286",2015-12-23,0,8.35,NA
"287",2015-12-24,0,6.95,NA
"288",2015-12-25,0,8.15,NA
"289",2015-12-26,0,9.2,NA
"290",2015-12-27,0,9.3,NA
"291",2015-12-28,0,10.25,NA
"292",2015-12-29,0,7,NA
"293",2015-12-30,0,5.2,NA
"294",2015-12-31,0,3.85,NA
"295",2016-01-01,0,3.8,NA
"296",2016-01-02,7.4,4.6,NA
"297",2016-01-03,16.3,5.4,NA
"298",2016-01-04,13.6,4.85,NA
"299",2016-01-05,8.6,7.65,NA
"300",2016-01-06,14,4.4,NA
"301",2016-01-07,0.6,4.1,NA
"302",2016-01-08,1.2,8,NA
"303",2016-01-09,0.2,11.25,NA
"304",2016-01-10,9.6,10.85,NA
"305",2016-01-11,8.1,9.75,NA
"306",2016-01-12,5.1,7.3,NA
"307",2016-01-13,3.6,5.45,NA
"308",2016-01-14,17.6,3.1,NA
"309",2016-01-15,26.8,5.9,NA
"310",2016-01-16,0,3.4,NA
"311",2016-01-17,0,-0.4,NA
"312",2016-01-18,0,0.2,NA
"313",2016-01-19,0,0.35,NA
"314",2016-01-20,0,0.35,NA
"315",2016-01-21,6.2,5,NA
"316",2016-01-22,0,3.7,NA
"317",2016-01-23,0,2.9,NA
"318",2016-01-24,0,5,NA
"319",2016-01-25,0,5.6,NA
"320",2016-01-26,0,7.05,NA
"321",2016-01-27,0,6.85,NA
"322",2016-01-28,0,8.1,NA
"323",2016-01-29,0,8.1,NA
"324",2016-01-30,0,7.8,NA
"325",2016-01-31,0.8,7.3,NA
"326",2016-02-01,16,9.5,NA
"327",2016-02-02,0.2,9.3,NA
"328",2016-02-03,2.8,8.3,NA
"329",2016-02-04,1.2,4.9,NA
"330",2016-02-05,0,5.05,NA
"331",2016-02-06,0,6.15,NA
"332",2016-02-07,0.2,5,NA
"333",2016-02-08,3.8,7.6,NA
"334",2016-02-09,6.8,8.35,NA
"335",2016-02-10,9.2,5.5,NA
"336",2016-02-11,6.6,4.9,NA
"337",2016-02-12,10.6,5.45,NA
"338",2016-02-13,20.8,9.3,NA
"339",2016-02-14,40.1,8,NA
"340",2016-02-15,16.6,9.3,NA
"341",2016-02-16,1.2,12.75,NA
"342",2016-02-17,0,10.05,NA
"343",2016-02-18,0.8,6.4,NA
"344",2016-02-19,0.8,5.55,NA
"345",2016-02-20,0.4,6,NA
"346",2016-02-21,0,7.15,NA
"347",2016-02-22,0,9.25,NA
"348",2016-02-23,0,10.35,NA
"349",2016-02-24,0,9.45,NA
"350",2016-02-25,6.4,8.45,NA
"351",2016-02-26,13.8,7.5,NA
"352",2016-02-27,16.2,6.9,NA
"353",2016-02-28,25.7,11.85,NA
"354",2016-02-29,37.6,6.05,NA
"355",2016-03-01,0,6.95,NA
"356",2016-03-02,0,7.15,NA
"357",2016-03-03,17.2,3.4,NA
"358",2016-03-04,0.2,4.6,NA
"359",2016-03-05,13.9,4.6,NA
"360",2016-03-06,0.4,7.05,NA
"361",2016-03-07,5.6,3.25,NA
"362",2016-03-08,1.6,4.25,NA
"363",2016-03-09,8.2,2.5,NA
"364",2016-03-10,4.8,3.55,NA
"365",2016-03-11,0,6.95,NA
"366",2016-03-12,0.2,8.55,NA
"367",2016-03-13,0,7.85,NA
"368",2016-03-14,0,8.1,NA
"369",2016-03-15,2,4.65,NA
"370",2016-03-16,0,5.8,NA
"371",2016-03-17,3.8,8.5,NA
"372",2016-03-18,0.4,8.55,NA
"373",2016-03-19,1.4,8.85,NA
"374",2016-03-20,0,9.2,NA
"375",2016-03-21,0.2,12,NA
"376",2016-03-22,1.4,14.6,NA
"377",2016-03-23,4.2,10.2,NA
"378",2016-03-24,0.2,5.3,NA
"379",2016-03-25,0,6.55,NA
"380",2016-03-26,0,8.05,NA
"381",2016-03-27,0,9.3,NA
"382",2016-03-28,1.6,8.2,NA
"383",2016-03-29,0,10.8,NA
"384",2016-03-30,0,12.6,NA
"385",2016-03-31,0,14.9,NA
"386",2016-04-01,18,17.2,NA
"387",2016-04-02,0,17.2,NA
"388",2016-04-03,0,15.05,NA
"389",2016-04-04,0,16.6,NA
"390",2016-04-05,0,17.3,NA
"391",2016-04-06,0,18.75,NA
"392",2016-04-07,0.8,17.3,NA
"393",2016-04-08,1.2,12.9,NA
"394",2016-04-09,12.8,9.3,NA
"395",2016-04-10,0.6,10.6,NA
"396",2016-04-11,0,11.75,NA
"397",2016-04-12,0,14.05,NA
"398",2016-04-13,0,17.1,221.1757507
"399",2016-04-14,0,14.5,221.1757507
"400",2016-04-15,0,13,221.1757507
"401",2016-04-16,0,14.6,NA
"402",2016-04-17,0,18,NA
"403",2016-04-18,0,18.25,NA
"404",2016-04-19,0,14.55,221.1757507
"405",2016-04-20,0,14.5,221.1757507
"406",2016-04-21,0,14.05,221.1757507
"407",2016-04-22,0,12.6,221.1757507
"408",2016-04-23,25.8,11.05,240.5792804
"409",2016-04-24,32.5,9.3,275.6702681
"410",2016-04-25,15,4,275.9887048
"411",2016-04-26,2.2,5.6,276.6314134
"412",2016-04-27,2.8,10.7,276.1204195
"413",2016-04-28,0,11,276.0351943
"414",2016-04-29,0.2,13.7,275.9849944
"415",2016-04-30,1.4,14.05,276.2298441
"416",2016-05-01,6,11.15,276.9418741
"417",2016-05-02,7.8,7.6,277.0451587
"418",2016-05-03,0.2,12.95,275.6731375
"419",2016-05-04,0,12.35,275.6340509
"420",2016-05-05,0.6,12.45,275.8300855
"421",2016-05-06,4,12.1,275.6085185
"422",2016-05-07,5.4,14.3,275.6911855
"423",2016-05-08,0,15.15,275.879104
"424",2016-05-09,0,15.7,276.1018298
"425",2016-05-10,0,18.05,275.9746119
"426",2016-05-11,2.6,18.05,276.0763945
"427",2016-05-12,13.3,14.75,276.1332902
"428",2016-05-13,8.4,13.3,275.9379399
"429",2016-05-14,14.5,10.6,275.994158
"430",2016-05-15,31.9,13.45,276.2410629
"431",2016-05-16,6.4,13.25,276.6321392
"432",2016-05-17,15.1,9.8,276.5574008
"433",2016-05-18,0.2,12.2,276.3624376
"434",2016-05-19,6.6,11.75,276.5078096
"435",2016-05-20,2.6,10.65,276.4787982
"436",2016-05-21,0,17,276.5038126
"437",2016-05-22,0,16.9,276.6522585
"438",2016-05-23,0,15,276.63242
"439",2016-05-24,0.6,12.8,278.547754
"440",2016-05-25,0,14.8,276.8979097
"441",2016-05-26,0,16.9,276.9522639
"442",2016-05-27,0,20.05,275.7262533
"443",2016-05-28,0,21.35,277.126833
"444",2016-05-29,0,19.8,277.2510121
"445",2016-05-30,0,15.95,277.3687139
"446",2016-05-31,0,15.75,277.1448223
"447",2016-06-01,0,13.85,277.1255654
"448",2016-06-02,7.2,14.05,277.045497
"449",2016-06-03,3.6,15.95,276.8969536
"450",2016-06-04,13.3,16.4,277.0327085
"451",2016-06-05,1.8,17,276.9569736
"452",2016-06-06,4.6,17.85,276.9506957
"453",2016-06-07,2.2,16.8,277.0819815
"454",2016-06-08,3.2,18.5,276.9707063
"455",2016-06-09,9.1,16.75,277.1542318
"456",2016-06-10,1,17.3,274.7996841
"457",2016-06-11,0,17.75,277.145346
"458",2016-06-12,9.2,16.9,277.4690453
"459",2016-06-13,16.2,15.3,276.8425041
"460",2016-06-14,0,17.75,276.8709918
"461",2016-06-15,0,17.55,NA
"462",2016-06-16,0,20.1,277.1059204
"463",2016-06-17,0,20.05,276.9935108
"464",2016-06-18,0,19.25,277.0724309
"465",2016-06-19,12,16.6,276.9428153
"466",2016-06-20,0.2,15.6,277.1127232
"467",2016-06-21,0,18.45,276.9925734
"468",2016-06-22,0,21.25,276.9951204
"469",2016-06-23,2.8,22.95,277.0363684
"470",2016-06-24,0,25.25,276.9091559
"471",2016-06-25,0,25.1,276.8998325
"472",2016-06-26,0,23.95,276.8635076
"473",2016-06-27,0,20.75,277.1755239
"474",2016-06-28,0,20.4,277.018555
"475",2016-06-29,0,21.15,276.998983
"476",2016-06-30,6.8,22.35,276.9656608
"477",2016-07-01,4.6,22.95,277.0872416
"478",2016-07-02,0,23.75,277.2163325
"479",2016-07-03,0,23.7,277.2061131
"480",2016-07-04,0,24.05,277.033899
"481",2016-07-05,1.4,23.7,277.2789493
"482",2016-07-06,15,22.1,277.3454921
"483",2016-07-07,0,23,277.3437279
"484",2016-07-08,0,24.45,277.550972
"485",2016-07-09,0,23.95,277.9865694
"486",2016-07-10,15.1,24.25,278.5814214
"487",2016-07-11,0,24.5,279.9468057
"488",2016-07-12,0,26,281.6963671
"489",2016-07-13,0,24.85,282.0539736
"490",2016-07-14,0,20.55,282.3564243
"491",2016-07-15,0.6,16.4,282.8225756
"492",2016-07-16,0,15.9,283.0484409
"493",2016-07-17,0,17.6,283.6464433
"494",2016-07-18,0,21.3,283.7988291
"495",2016-07-19,0,23.6,284.4340034
"496",2016-07-20,0,24.9,284.8536861
"497",2016-07-21,0,25,285.256622
"498",2016-07-22,0,23.95,286.0645311
"499",2016-07-23,0,25.8,286.4610258
"500",2016-07-24,8.4,19.45,286.9831089
"501",2016-07-25,8.4,21.5,286.8368228
"502",2016-07-26,0.2,21.25,286.7390719
"503",2016-07-27,16.3,22.8,287.2794151
"504",2016-07-28,0.6,23.4,287.6775332
"505",2016-07-29,0,22.6,288.6508026
"506",2016-07-30,0,23.7,289.1457136
"507",2016-07-31,0,24.6,289.4631069
"508",2016-08-01,0,22.9,289.0679475
"509",2016-08-02,12.7,23,291.4645194
"510",2016-08-03,0,23,291.8707007
"511",2016-08-04,0,24,291.8392389
"512",2016-08-05,0,23.65,292.9908446
"513",2016-08-06,11.7,18.25,293.8918701
"514",2016-08-07,0,20.25,294.4546586
"515",2016-08-08,0.2,21.2,294.5351649
"516",2016-08-09,0,22.2,294.6945291
"517",2016-08-10,0,21.8,295.1120512
"518",2016-08-11,0.2,20.9,294.946034
"519",2016-08-12,0,18.25,295.0102957
"520",2016-08-13,0,18.8,294.8348528
"521",2016-08-14,0,20.95,295.064108
"522",2016-08-15,0,22.45,295.2427033
"523",2016-08-16,0,23.1,295.2630961
"524",2016-08-17,2.6,21.05,295.326775
"525",2016-08-18,1.8,20.85,295.2713698
"526",2016-08-19,0,21.1,294.7677332
"527",2016-08-20,0,22.95,295.0479089
"528",2016-08-21,0,23.8,295.1718293
"529",2016-08-22,0,21.25,295.3256178
"530",2016-08-23,0,19.65,295.1319468
"531",2016-08-24,0,21.05,295.0209237
"532",2016-08-25,0,21.85,294.6188372
"533",2016-08-26,0,23.85,294.8244902
"534",2016-08-27,0,24.15,294.6446884
"535",2016-08-28,0,23.6,294.7649894
"536",2016-08-29,0,22.85,294.8557078
"537",2016-08-30,1.6,23.1,294.8770817
"538",2016-08-31,1,20.75,292.2424907
"539",2016-09-01,0.4,21.15,294.6554726
"540",2016-09-02,0,22.8,294.5999651
"541",2016-09-03,0,23.95,294.604008
"542",2016-09-04,17.5,22.7,294.6496661
"543",2016-09-05,1.6,19.95,294.4624094
"544",2016-09-06,0,16.9,294.0303572
"545",2016-09-07,30.1,15.25,294.2023417
"546",2016-09-08,0.2,16.95,294.2041201
"547",2016-09-09,2.4,19.3,293.2369257
"548",2016-09-10,5.2,17.15,294.0538615
"549",2016-09-11,3,18.35,295.5932285
"550",2016-09-12,0,19.05,299.9394485
"551",2016-09-13,2.4,19.95,296.099689
"552",2016-09-14,1.4,20.3,293.5109205
"553",2016-09-15,0,19.2,294.4812448
"554",2016-09-16,25.5,19.4,290.7872657
"555",2016-09-17,1.2,16.95,283.4181
"556",2016-09-18,12.4,14.2,281.50078
"557",2016-09-19,5.9,13.85,281.3974709
"558",2016-09-20,0,17.15,293.8517211
"559",2016-09-21,1.4,16.2,300.0134779
"560",2016-09-22,4.2,16.55,300.0899728
"561",2016-09-23,0,15.8,299.991899
"562",2016-09-24,0,16.15,298.0875671
"563",2016-09-25,0,16.7,298.23991
"564",2016-09-26,0,16.85,292.8889152
"565",2016-09-27,0,15.75,286.819351
"566",2016-09-28,0,16.25,284.3148841
"567",2016-09-29,0,16.55,279.3377616
"568",2016-09-30,0,16.2,274.1090697
"569",2016-10-01,0,16.55,269.0900348
"570",2016-10-02,30,14.9,266.936223
"571",2016-10-03,0.2,15.85,266.3381576
"572",2016-10-04,5.2,15.3,268.188346
"573",2016-10-05,2.6,13.65,268.7119371
"574",2016-10-06,4.8,12.55,268.2069447
"575",2016-10-07,21.6,12.15,268.0044138
"576",2016-10-08,4.2,12.8,270.4436784
"577",2016-10-09,2.6,14.6,273.7954125
"578",2016-10-10,1,14.05,275.1130855
"579",2016-10-11,9.3,11.25,291.8201791
"580",2016-10-12,0,10.05,295.7178528
"581",2016-10-13,0,11.45,293.8203305
"582",2016-10-14,0,20.15,293.9163627
"583",2016-10-15,15.5,17.6,294.0005338
"584",2016-10-16,0,16.1,294.3756763
"585",2016-10-17,0,15.7,294.5310809
"586",2016-10-18,3.2,12.15,294.782203
"587",2016-10-19,0.2,12.65,294.8405651
"588",2016-10-20,2.4,13,294.9407111
"589",2016-10-21,3.6,13.35,294.4893531
"590",2016-10-22,0,12.2,294.4864549
"591",2016-10-23,0.4,13.8,294.4642793
"592",2016-10-24,0,17.85,294.5531709
"593",2016-10-25,0,18.7,294.5955628
"594",2016-10-26,3.8,17.25,294.5312681
"595",2016-10-27,22.2,11.45,294.6022972
"596",2016-10-28,0,11.5,294.5021826
"597",2016-10-29,0,12.05,294.6166362
"598",2016-10-30,0,13.8,294.6042657
"599",2016-10-31,0,12.75,294.6192841
"600",2016-11-01,0,11.35,294.7167377
"601",2016-11-02,0,11.55,294.679629
"602",2016-11-03,7.6,12.4,295.7556422
"603",2016-11-04,0,12.75,296.6075439
"604",2016-11-05,0.2,11.6,296.6075439
"605",2016-11-06,57.6,13,296.6075439
"606",2016-11-07,1.2,9.55,296.6075439
"607",2016-11-08,20.6,8.35,NA
"608",2016-11-09,3,7.3,NA
"609",2016-11-10,1.8,7.55,NA
"610",2016-11-11,24.4,7.3,296.6075439
"611",2016-11-12,0.4,5.2,296.6075439
"612",2016-11-13,0,5.95,296.6075439
"613",2016-11-14,0.4,7.25,296.6075439
"614",2016-11-15,0,7.75,296.6075439
"615",2016-11-16,0,6.75,296.6075439
"616",2016-11-17,1,9.45,296.6075439
"617",2016-11-18,0.2,13.45,296.6075439
"618",2016-11-19,18.7,11.3,296.6075439
"619",2016-11-20,0,13.3,296.6075439
"620",2016-11-21,0,12.7,296.6075439
"621",2016-11-22,0,13.2,296.6075439
"622",2016-11-23,0,13.2,296.6075439
"623",2016-11-24,0.2,13,296.6075439
"624",2016-11-25,34.4,10.45,296.6075439
"625",2016-11-26,0.2,9.8,296.6075439
"626",2016-11-27,0,9.55,296.6075439
"627",2016-11-28,0,9,296.6075439
"628",2016-11-29,0,2.1,296.6075439
"629",2016-11-30,0,3.25,296.6075439
"630",2016-12-01,0,5.1,296.6075439
"631",2016-12-02,0,5.5,296.6075439
"632",2016-12-03,0,6.8,296.6075439
"633",2016-12-04,0,9.3,296.6075439
"634",2016-12-05,0,8.6,296.6075439
"635",2016-12-06,0,7.5,296.6075439
"636",2016-12-07,0,8.05,296.6075439
"637",2016-12-08,0,7.15,296.6075439
"638",2016-12-09,0,8.3,296.6075439
"639",2016-12-10,0,8.2,296.6075439
"640",2016-12-11,0,6.35,296.6075439
"641",2016-12-12,0,8.75,296.6075439
"642",2016-12-13,0,6.05,296.6075439
"643",2016-12-14,0,5.8,296.6075439
"644",2016-12-15,0,6.85,296.6075439
"645",2016-12-16,0,5.55,296.6075439
"646",2016-12-17,0,4.35,296.6075439
"647",2016-12-18,0,3.6,296.6075439
"648",2016-12-19,5,3.6,296.6075439
"649",2016-12-20,2,8.2,296.6075439
"650",2016-12-21,0,9.1,296.6075439
"651",2016-12-22,0,6.95,296.6075439
"652",2016-12-23,0,8.65,296.6075439
"653",2016-12-24,0,9.2,296.6075439
"654",2016-12-25,0,6.4,296.6075439
"655",2016-12-26,0,10.25,296.6075439
"656",2016-12-27,0,8.9,296.6075439
