"","Date","Rainfall_Gallicano","Rainfall_Pontetetto","Rainfall_Monte_Serra","Rainfall_Orentano","Rainfall_Borgo_a_Mozzano","Rainfall_Piaggione","Rainfall_Calavorno","Rainfall_Croce_Arcana","Rainfall_Tereglio_Coreglia_Antelminelli","Rainfall_Fabbriche_di_Vallico","Temperature_Orentano","Temperature_Monte_Serra","Temperature_Ponte_a_Moriano","Temperature_Lucca_Orto_Botanico","Volume_POL","Volume_CC1","Volume_CC2","Volume_CSA","Volume_CSAL","Hydrometry_Monte_S_Quirico","Hydrometry_Piaggione","CoS","DIEC","LT2","PAG","SAL","imp1","imp2","imp3","imp4","imp5","Season"
"11",2010-01-11,2.4,12,3,4,1,5.5,1.2,0,0.6,3.6,5.5,0.95,5.4,5.75,-10500,-17634.24,-13012.704,0,0,0.72,-0.33,4.83,2.2,14.35,0.79,4.67,4.83,2.23,14.35,0.79,4.67,"Winter"
"12",2010-01-12,0.8,1,4,0.8,0.2,0.5,0.4,0,0.6,0.2,4.8,1.8,5,5.6,-10500,-17634.24,-13012.704,0,0,0.65,-0.33,4.77,2.2,14.35,0.91,4.68,4.77,2.23,14.35,0.91,4.68,"Winter"
"13",2010-01-13,0.6,0.4,2,0,0.4,0,0.6,0,0.2,1.6,6.3,2.8,7.6,7.55,-10500,-17634.24,-13012.704,0,0,0.58,-0.33,4.72,2.2,14.32,1.01,4.72,4.72,2.23,14.32,1.01,4.72,"Winter"
"14",2010-01-14,0,0,0.2,0,0,0,0,0,0,0,4.2,2.5,6,4.8,-10500,-17634.24,-13012.704,0,0,0.52,-0.33,4.7,2.2,14.32,1.11,4.77,4.7,2.23,14.32,1.11,4.77,"Winter"
"15",2010-01-15,0,0,0,0,0,0,0.2,0,0,0,8.5,3,7.5,7.35,-10500,-17634.24,-13012.704,0,0,0.48,-0.33,4.77,2.2,14.36,1.2,4.85,4.77,2.23,14.36,1.2,4.85,"Winter"
"16",2010-01-16,0,0,0,0,0,0,0,0,0,0,4.65,2.05,5.55,5.25,-10500,-17634.24,-13012.704,0,0,0.45,-0.33,4.81,2.2,14.41,1.28,4.92,4.81,2.23,14.41,1.28,4.92,"Winter"
"17",2010-01-17,0.2,0.6,0.6,0.2,0,0.1,0,0,0,0,3.5,1.95,4.25,4.2,-9975,-16752.528,-12362.0688,0,0,0.43,-0.33,4.8,2.2,14.37,1.31,4.95,4.8,2.23,14.37,1.31,4.95,"Winter"
"18",2010-01-18,0,0.8,0,1,0,0,0,0,0,0,6.3,3.3,6.6,5.85,-10500,-17634.24,-13012.704,0,0,0.42,-0.33,4.74,2.2,14.35,1.35,5.02,4.74,2.23,14.35,1.35,5.02,"Winter"
"19",2010-01-19,0,0,0,0,0,0,0,0,0.2,0.2,4.85,3.45,6.35,4.85,-10500,-17634.24,-13012.704,0,0,0.37,-0.33,4.75,2.2,14.34,1.39,5.08,4.75,2.23,14.34,1.39,5.08,"Winter"
"20",2010-01-20,0,0.2,0,0.2,0,0,0,0,0,0.2,2.25,2.35,3.8,2.55,-10500,-17634.24,-13012.704,0,0,0.37,-0.33,4.76,2.2,14.3,1.44,5.14,4.76,2.23,14.3,1.44,5.14,"Winter"
"21",2010-01-21,0,0,0,0,0,0,0.2,0,0,0.2,5.95,3.5,8.05,6.4,-10500,-17634.24,-13012.704,0,0,0.36,-0.33,4.79,2.2,14.29,1.47,5.19,4.79,2.23,14.29,1.47,5.19,"Winter"
"22",2010-01-22,0,0,0,0,0,0,0,0,0,0,3.35,1.45,4.6,4.2,-10500,-17634.24,-13012.704,0,0,0.36,-0.33,4.87,2.2,14.31,1.53,5.25,4.87,2.23,14.31,1.53,5.25,"Winter"
"23",2010-01-23,0,0,0,0.2,0,0,0,0,0,0,3.5,1.1,5.05,3.35,-10500,-17634.24,-13012.704,0,0,0.31,-0.33,4.89,2.2,14.32,1.58,5.29,4.89,2.23,14.32,1.58,5.29,"Winter"
"24",2010-01-24,0.2,0.2,0,0,0,0,0,0,0,0.2,1.65,1.3,3.9,2.6,-9975,-16752.528,-12362.0688,0,0,0.3,-0.33,4.92,2.2,14.32,1.63,5.31,4.92,2.23,14.32,1.63,5.31,"Winter"
"25",2010-01-25,0.8,0,0,0.2,0.2,0,0.4,0,0.4,0.4,6.15,1.25,5.7,6.45,-10500,-17634.24,-13012.704,0,0,0.33,-0.33,4.87,2.2,14.32,1.65,5.34,4.87,2.23,14.32,1.65,5.34,"Winter"
"26",2010-01-26,0,0,0,0,0,0,0,0,0,0,4.1,-0.85,4.7,5.2,-10500,-17634.24,-13012.704,0,0,0.34,-0.33,4.89,2.2,14.3,1.66,5.37,4.89,2.23,14.3,1.66,5.37,"Winter"
"27",2010-01-27,0,7.2,3.6,4.2,0,2.1,0,18.8,0,1.2,5.5,0.4,6.55,6.15,-10500,-17634.24,-13012.704,0,0,0.28,-0.33,4.91,2.2,14.26,1.61,5.4,4.91,2.23,14.26,1.61,5.4,"Winter"
"28",2010-01-28,0,0,0,0,0,0,0,0.2,0,0,1,0.95,2.35,1.45,-10500,-17634.24,-13012.704,0,0,0.29,-0.33,4.9,2.2,14.16,1.63,5.43,4.9,2.23,14.16,1.63,5.43,"Winter"
"29",2010-01-29,0,0,2.4,0,0,0,0,0,0,0,1.9,1.8,3.15,2.25,-10500,-17634.24,-13012.704,0,0,0.3,-0.33,4.9,2.2,14.11,1.63,5.45,4.9,2.23,14.11,1.63,5.45,"Winter"
"30",2010-01-30,11.2,5,4.6,10.2,9.6,0,8.4,0,6.4,12.2,5.45,1.55,5.75,5.4,-10500,-17634.24,-13012.704,0,0,0.29,-0.33,4.87,2.2,14.04,1.6,5.48,4.87,2.23,14.04,1.6,5.48,"Winter"
"31",2010-01-31,0.8,0,0,0.4,0,0,0.6,2.4,2.2,3.8,2.8,-0.95,2.8,3.25,-9975,-16752.528,-12362.0688,0,0,0.28,-0.33,4.93,2.2,14.13,1.59,5.49,4.93,2.23,14.13,1.59,5.49,"Winter"
"32",2010-02-01,0,0,0,0,0,0,0,3.8,0.2,0,1.4,-1.4,2.9,2,-9728.571429,-16951.68,-12997.152,0,0,0.28,-0.33,4.98,2.2,14.23,1.63,5.52,4.98,2.23,14.23,1.63,5.52,"Winter"
"33",2010-02-02,0,0,0,0,0,0,0,0,0,0,1.45,-0.1,2.6,2.15,-9728.571429,-16951.68,-12997.152,0,0,0.26,-0.33,5.09,2.2,14.28,1.66,5.56,5.09,2.23,14.28,1.66,5.56,"Winter"
"34",2010-02-03,0,0,3,0,0,0,0,0,0,0,2.6,0.45,5,3.7,-9728.571429,-16951.68,-12997.152,0,0,0.25,-0.33,5.11,2.2,14.28,1.68,5.59,5.11,2.23,14.28,1.68,5.59,"Winter"
"35",2010-02-04,0.8,0.4,0,1.8,0.8,0.4,0.4,0,0.6,0.2,7.85,3.15,8.1,8.05,-9728.571429,-16951.68,-12997.152,0,0,0.27,-0.33,5.11,2.2,14.28,1.67,5.62,5.11,2.23,14.28,1.67,5.62,"Winter"
"36",2010-02-05,17.6,9.2,18,6.2,10.4,0,12.4,0,12.8,27.2,7.5,2.4,7.45,7.35,-9728.571429,-16951.68,-12997.152,0,0,0.38,-0.33,5.07,2.2,14.21,1.48,5.62,5.07,2.23,14.21,1.48,5.62,"Winter"
"37",2010-02-06,38.4,24.6,2.8,19.4,30,30.7,40,4.6,38.2,51.2,5.4,1.4,5.65,5.75,-9728.571429,-16951.68,-12997.152,0,0,0.61,-0.33,4.95,2.2,14.15,1.15,5.59,4.95,2.23,14.15,1.15,5.59,"Winter"
"38",2010-02-07,0,0,0,0.6,0,0,0,8.2,0.6,0,6.05,1.65,7.9,7,-9242.142857,-16104.096,-12347.2944,0,0,0.48,-0.33,4.95,2.2,14.16,1.26,5.55,4.95,2.23,14.16,1.26,5.55,"Winter"
"39",2010-02-08,0,0,0,0,0,0,0,1,0,0,4.2,1.5,6.15,4.8,-9728.571429,-16951.68,-12997.152,0,0,0.4,-0.33,4.93,2.2,14.15,1.34,5.54,4.93,2.23,14.15,1.34,5.54,"Winter"
"40",2010-02-09,0,0,0,0,0,0,0.2,0,0,0,3.7,-1,5.45,4.65,-9728.571429,-16951.68,-12997.152,0,0,0.38,-0.33,4.95,2.2,14.11,1.4,5.54,4.95,2.23,14.11,1.4,5.54,"Winter"
"41",2010-02-10,0,0,0,0,0,0,0,2.2,0,0,6.7,1.5,7.05,7.3,-9728.571429,-16951.68,-12997.152,0,0,0.36,-0.33,4.83,2.2,14.04,1.44,5.54,4.83,2.23,14.04,1.44,5.54,"Winter"
"42",2010-02-11,0,0,0,0,0,0,0,4.8,0,0,3.85,-0.6,4.1,4.8,-9728.571429,-16951.68,-12997.152,0,0,0.36,-0.33,4.76,2.2,14.07,1.49,5.56,4.76,2.23,14.07,1.49,5.56,"Winter"
"43",2010-02-12,3.2,2.4,3,2.2,2.6,0,2.4,1.8,0.2,3.6,2.25,-1.15,3.6,3.4,-9728.571429,-16951.68,-12997.152,0,0,0.32,-0.33,4.9,2.2,14.12,1.53,5.58,4.9,2.23,14.12,1.53,5.58,"Winter"
"44",2010-02-13,0.2,0,0.4,0.2,0,0.4,0,0.2,4,0,3.3,1.1,4.5,3.25,-9728.571429,-16951.68,-12997.152,0,0,0.29,-0.33,4.95,2.2,14.18,1.58,5.6,4.95,2.23,14.18,1.58,5.6,"Winter"
"45",2010-02-14,0,0.2,0,0.2,0,0,0.2,0,0,0,5.05,1.55,6.5,6,-9242.142857,-16104.096,-12347.2944,0,0,0.27,-0.33,4.96,2.2,14.16,1.58,5.6,4.96,2.23,14.16,1.58,5.6,"Winter"
"46",2010-02-15,0,0,0,0,0,0,0,0,0,0,5.85,1.9,6.55,5.45,-9728.571429,-16951.68,-12997.152,0,0,0.3,-0.33,4.9,2.2,14.16,1.61,5.61,4.9,2.23,14.16,1.61,5.61,"Winter"
"47",2010-02-16,0,0.6,3.2,1.2,0,0.3,0,0,0,0.4,6.4,1.3,7.1,6.9,-9728.571429,-16951.68,-12997.152,0,0,0.27,-0.33,4.89,2.2,14.15,1.62,5.63,4.89,2.23,14.15,1.62,5.63,"Winter"
"48",2010-02-17,1.2,0.4,20,1.2,0.2,0.9,1.2,2.2,0.8,1.8,10.45,4.85,9.85,10.7,-9728.571429,-16951.68,-12997.152,0,0,0.3,-0.33,4.93,2.2,14.11,1.63,5.66,4.93,2.23,14.11,1.63,5.66,"Winter"
"49",2010-02-18,30.8,23.8,9,20.2,21.4,23.4,27,0.4,23,37.6,10.7,5.35,10.5,10.65,-9728.571429,-16951.68,-12997.152,0,0,0.44,-0.33,4.94,2.2,14.15,1.29,5.66,4.94,2.23,14.15,1.29,5.66,"Winter"
"50",2010-02-19,21,6.6,22,4.6,8.8,8.2,10.4,0,10.2,16.2,11.4,6.5,11.4,11.3,-9728.571429,-16951.68,-12997.152,0,0,0.73,-0.33,4.88,2.2,14.06,1.06,5.62,4.88,2.23,14.06,1.06,5.62,"Winter"
"51",2010-02-20,50.2,12.8,3,9.4,37,30.9,36.8,0.8,35.2,64.2,6.65,3.25,7.6,7.1,-9728.571429,-16951.68,-12997.152,0,0,0.99,-0.33,4.84,2.2,14.08,0.93,5.55,4.84,2.23,14.08,0.93,5.55,"Winter"
"52",2010-02-21,0,0.2,0.6,0.2,0.4,0.6,0.2,0,1,1,7,3.5,7.7,7.35,-9242.142857,-16104.096,-12347.2944,0,0,0.73,-0.33,4.89,2.2,14.16,1.08,5.43,4.89,2.23,14.16,1.08,5.43,"Winter"
"53",2010-02-22,13,2.8,3.6,3,7.8,7.4,8.8,0,7.2,14.6,9.75,4.25,9.5,10.5,-9728.571429,-16951.68,-12997.152,0,0,0.66,-0.33,4.83,2.2,14.15,1.18,5.39,4.83,2.23,14.15,1.18,5.39,"Winter"
"54",2010-02-23,13.4,24.8,25.6,34.4,20.8,22.2,16,0,12.8,11,11.55,6.1,11.5,12.05,-9728.571429,-16951.68,-12997.152,0,0,0.63,-0.33,4.77,2.2,14.12,0.9,5.35,4.77,2.23,14.12,0.9,5.35,"Winter"
"55",2010-02-24,0.2,1.4,1.2,0.8,0.6,1.8,0.8,0,0.4,0,11.05,5.75,11.45,11.75,-9728.571429,-16951.68,-12997.152,0,0,0.62,-0.33,4.73,2.2,14.13,0.83,5.31,4.73,2.23,14.13,0.83,5.31,"Winter"
"56",2010-02-25,0,0.2,0.6,0.4,0.2,0,0,1,0,0,11.1,6.1,11.35,11.8,-9728.571429,-16951.68,-12997.152,0,0,0.57,-0.33,4.71,2.2,14.14,0.99,5.28,4.71,2.23,14.14,0.99,5.28,"Winter"
"57",2010-02-26,16.8,3,14.6,3.6,8.2,7.3,16.2,0,15.8,17.4,11.3,6.6,11.5,12.2,-9728.571429,-16951.68,-12997.152,0,0,0.57,-0.33,4.73,2.2,14.1,1.05,5.27,4.73,2.23,14.1,1.05,5.27,"Winter"
"58",2010-02-27,8,1.2,0,9.2,4.2,0,9.8,1.8,5.8,7.6,8.45,6.9,9.9,9.55,-9728.571429,-16951.68,-12997.152,0,0,0.57,-0.33,4.78,2.2,14.16,1.13,5.28,4.78,2.23,14.16,1.13,5.28,"Winter"
"59",2010-02-28,0,0,0,0,0,0,0,0,0,0,10.85,7,10.85,11.25,-9242.142857,-16104.096,-12347.2944,0,0,0.57,-0.33,4.74,2.2,14.12,1.2,5.25,4.74,2.23,14.12,1.2,5.25,"Winter"
"60",2010-03-01,0.2,0,0.8,0.2,0.4,0.1,0.8,0.2,3.2,0.4,11.3,5.8,11.1,12.1,-9983.870968,-15916.608,-12458.016,0,0,0.51,-0.33,4.73,2.2,14.15,1.29,5.24,4.73,2.23,14.15,1.29,5.24,"Spring"
"61",2010-03-02,0.8,5.2,2.6,6.6,5.4,8,2.4,0,0.4,11.4,11.05,6.6,12.05,12.8,-9983.870968,-15916.608,-12458.016,0,0,0.49,-0.33,4.81,2.2,14.2,1.27,5.26,4.81,2.23,14.2,1.27,5.26,"Spring"
"62",2010-03-03,0,0,16.6,0,0,0,0,0.6,0,0,6.95,4.7,8.05,8.35,-9983.870968,-15916.608,-12458.016,0,0,0.52,-0.33,4.79,2.2,14.17,1.28,5.27,4.79,2.23,14.17,1.28,5.27,"Spring"
"63",2010-03-04,23.8,27.6,19.8,25.8,25.4,26.9,25.8,36.6,25.2,28.4,8.35,2.6,8.9,9.05,-9983.870968,-15916.608,-12458.016,0,0,0.53,-0.33,4.69,2.2,14.07,0.89,5.25,4.69,2.23,14.07,0.89,5.25,"Spring"
"64",2010-03-05,4.6,0.2,1.2,0.2,1.8,1.2,2.2,7.8,2.6,2.8,5.3,0,4.6,5.8,-9983.870968,-15916.608,-12458.016,0,0,0.5,-0.33,4.71,2.2,14.13,0.98,5.23,4.71,2.23,14.13,0.98,5.23,"Spring"
"65",2010-03-06,0.8,0.6,0,0,0.8,0,2.4,10.2,2,1.2,3.7,-0.55,3.4,4.5,-9983.870968,-15916.608,-12458.016,0,0,0.44,-0.33,4.79,2.2,14.15,1.12,5.24,4.79,2.23,14.15,1.12,5.24,"Spring"
"66",2010-03-07,0,0,0,0,0,0,0,4,0,0,4.65,0.8,5.55,6.75,-9484.677419,-15120.7776,-11835.1152,0,0,0.43,-0.33,4.94,2.2,14.13,1.22,5.24,4.94,2.23,14.13,1.22,5.24,"Spring"
"67",2010-03-08,0,0,0,0,0,0,0,23,0,0,4.35,-1.1,4.85,4.65,-9983.870968,-15916.608,-12458.016,0,0,0.4,-0.33,4.88,2.2,14.1,1.29,5.25,4.88,2.23,14.1,1.29,5.25,"Spring"
"68",2010-03-09,0,0,0,0,0,0,0,7.2,0,0,3.15,-3.6,3.65,4.1,-9983.870968,-15916.608,-12458.016,0,0,0.37,-0.33,4.83,2.2,14.05,1.36,5.27,4.83,2.23,14.05,1.36,5.27,"Spring"
"69",2010-03-10,0,0,0,0,0,0,0,28.4,0,0.4,5.7,-0.6,6,6.95,-9983.870968,-15916.608,-12458.016,0,0,0.37,-0.33,4.82,2.2,14.04,1.4,5.3,4.82,2.23,14.04,1.4,5.3,"Spring"
"70",2010-03-11,0,0,0.2,0.2,0,0,0,6,0.8,0.8,5.55,0.25,5.3,6.6,-9983.870968,-15916.608,-12458.016,0,0,0.37,-0.33,4.92,2.2,14.07,1.45,5.34,4.92,2.23,14.07,1.45,5.34,"Spring"
"71",2010-03-12,0.4,2,3.6,1.8,1.2,1.6,0.4,0,0,0.6,4.8,0.95,6.4,6.3,-9983.870968,-15916.608,-12458.016,0,0,0.35,-0.33,5.03,2.2,14.09,1.5,5.38,5.03,2.23,14.09,1.5,5.38,"Spring"
"72",2010-03-13,0.8,0.4,0.2,1.4,1.2,0,0.4,0,0.2,1.2,6.2,3.45,7.25,6.6,-9983.870968,-15916.608,-12458.016,0,0,0.32,-0.33,5.02,2.2,14.11,1.53,5.42,5.02,2.23,14.11,1.53,5.42,"Spring"
"73",2010-03-14,0,0,0,0.2,0,0,0,0,0,0.2,6.85,4.8,7.9,7.5,-9484.677419,-15120.7776,-11835.1152,0,0,0.31,-0.33,5.05,2.2,14.09,1.58,5.43,5.05,2.23,14.09,1.58,5.43,"Spring"
"74",2010-03-15,0,0,0,0,0,0,0.2,0,0,0,8.35,5.65,9.55,9.4,-9983.870968,-15916.608,-12458.016,0,0,0.31,-0.33,5.04,2.2,14.08,1.59,5.45,5.04,2.23,14.08,1.59,5.45,"Spring"
"75",2010-03-16,0,0,0,0,2,0,2.6,0,0,8.6,8.15,5.65,8.7,8.5,-9983.870968,-15916.608,-12458.016,0,0,0.32,-0.33,5.09,2.2,14.11,1.62,5.5,5.09,2.23,14.11,1.62,5.5,"Spring"
"76",2010-03-17,0,0,0,0.2,0,0,0.2,0,0,0,7.95,5.8,9.25,8.95,-9983.870968,-15916.608,-12458.016,0,0,0.31,-0.33,5.12,2.2,14.16,1.64,5.52,5.12,2.23,14.16,1.64,5.52,"Spring"
"77",2010-03-18,0,0,0,0,0,0,0,0,0,0,8.55,6,9.45,9.7,-9983.870968,-15916.608,-12458.016,0,0,0.29,-0.33,5.19,2.2,14.16,1.66,5.53,5.19,2.23,14.16,1.66,5.53,"Spring"
"78",2010-03-19,0,0,0,0,0,0,0,0,0,0,10.7,5.7,11.2,11.1,-9983.870968,-15916.608,-12458.016,0,0,0.31,-0.33,5.18,2.2,14.15,1.66,5.55,5.18,2.23,14.15,1.66,5.55,"Spring"
"79",2010-03-20,0,0,0,0,0,0,0,0,0,0,11.1,6.65,11.2,11.35,-9983.870968,-15916.608,-12458.016,0,0,0.29,-0.33,5.14,2.2,14.1,1.67,5.58,5.14,2.23,14.1,1.67,5.58,"Spring"
"80",2010-03-21,0.6,0.2,3.2,0,0.2,0,0.4,0,0.6,1.8,13.35,8.05,12.85,13.1,-9484.677419,-15120.7776,-11835.1152,0,0,0.29,-0.33,5.11,2.2,14.07,1.68,5.58,5.11,2.23,14.07,1.68,5.58,"Spring"
"81",2010-03-22,6.6,5.8,6.4,2.6,8.2,10,3.6,0,6.6,12.2,13.4,8.85,14.05,13.65,-9983.870968,-15916.608,-12458.016,0,0,0.36,-0.33,5.04,2.2,14.03,1.67,5.59,5.04,2.23,14.03,1.67,5.59,"Spring"
"82",2010-03-23,2.6,0.6,0,0.4,0.6,0.6,1,0.4,1.2,2,14.15,11.25,15.45,15.5,-9983.870968,-15916.608,-12458.016,0,0,0.38,-0.33,5,2.2,14.01,1.69,5.61,5,2.23,14.01,1.69,5.61,"Spring"
"83",2010-03-24,0,0,0,0,0,0,0,0,0,0,14,10.6,14.7,15.4,-9983.870968,-15916.608,-12458.016,0,0,0.33,-0.33,4.99,2.2,13.99,1.68,5.64,4.99,2.23,13.99,1.68,5.64,"Spring"
"84",2010-03-25,0,0,0,0,0,0,0,0,0,0,13.35,8.85,13.35,13.9,-9983.870968,-15916.608,-12458.016,0,0,0.33,-0.33,5.02,2.2,14,1.71,5.65,5.02,2.23,14,1.71,5.65,"Spring"
"85",2010-03-26,0.8,2.8,1.6,0.6,1.6,1,1.4,0,1,2.8,13.6,8.1,13.6,14.75,-9983.870968,-15916.608,-12458.016,0,0,0.31,-0.33,5,2.2,13.98,1.73,5.65,5,2.23,13.98,1.73,5.65,"Spring"
"86",2010-03-27,3,0.8,0,0,1.6,1,2.2,1.2,2.2,8.6,13.35,7.1,12.45,13.75,-9983.870968,-15916.608,-12458.016,0,0,0.32,-0.33,5.04,2.2,13.95,1.73,5.67,5.04,2.23,13.95,1.73,5.67,"Spring"
"87",2010-03-28,0.2,0,0.2,0,0,0.4,0.8,0,0,0.2,12.6,7.2,12.2,13.15,-9484.677419,-15120.7776,-11835.1152,0,0,0.31,-0.33,5.08,2.2,13.96,1.76,5.67,5.08,2.23,13.96,1.76,5.67,"Spring"
"88",2010-03-29,0.2,0,0,0,0.2,0,0,0,0.2,0.6,14.5,9.55,14.05,15.5,-9983.870968,-15916.608,-12458.016,0,0,0.3,-0.33,5.07,2.2,13.96,1.76,5.68,5.07,2.23,13.96,1.76,5.68,"Spring"
"89",2010-03-30,0.4,0.2,7.2,0.8,0.2,0.2,0.2,0,0.4,0.8,12.6,7.4,12.75,13.85,-9983.870968,-15916.608,-12458.016,0,0,0.33,-0.33,5.05,2.2,13.89,1.74,5.7,5.05,2.23,13.89,1.74,5.7,"Spring"
"90",2010-03-31,7.6,1.6,0,4.2,9,6.2,13.8,3.4,9.2,11.6,13.35,5.2,12.5,13.55,-9983.870968,-15916.608,-12458.016,0,0,0.34,-0.33,5.12,2.2,13.91,1.77,5.7,5.12,2.23,13.91,1.77,5.7,"Spring"
"91",2010-04-01,13.2,0.6,0.2,1,8.4,4.8,9.6,0,5.6,13.4,12.25,6.25,11.85,13.6,-10516.66667,-15569.28,-12392.352,0,0,0.35,-0.33,5.1,2.2,13.94,1.8,5.69,5.1,2.23,13.94,1.8,5.69,"Spring"
"92",2010-04-02,3.8,1,0.6,4.6,5.6,21.2,4.8,0.2,5,5.4,11.45,5.8,10.7,11.8,-10516.66667,-15569.28,-12392.352,0,0,0.37,-0.33,5.12,2.2,13.96,1.77,5.7,5.12,2.23,13.96,1.77,5.7,"Spring"
"93",2010-04-03,2.4,5.6,0,1.4,9.2,7.2,4.6,0,1.8,8.8,11.7,7,11.95,12.8,-10516.66667,-15569.28,-12392.352,0,0,0.35,-0.33,5.17,2.2,13.97,1.74,5.71,5.17,2.23,13.97,1.74,5.71,"Spring"
"94",2010-04-04,0.2,0.2,48.4,0,0,0,0.6,0,0.8,0.2,8.65,5.45,9.6,9.6,-9990.833333,-14790.816,-11772.7344,0,0,0.36,-0.33,5.13,2.2,13.93,1.71,5.69,5.13,2.23,13.93,1.71,5.69,"Spring"
"95",2010-04-05,13.4,30.6,15.4,42.8,19.4,25,20.6,21.4,21.2,17,10.15,5.45,11.3,11.2,-10516.66667,-15569.28,-12392.352,0,0,0.38,-0.33,4.95,2.2,13.94,1.3,5.65,4.95,2.23,13.94,1.3,5.65,"Spring"
"96",2010-04-06,0.2,4.8,0,0.4,0,0,0,0.4,0,1,9.95,8.2,11,11.35,-10516.66667,-15569.28,-12392.352,0,0,0.35,-0.33,4.91,2.2,13.96,1.36,5.64,4.91,2.23,13.96,1.36,5.64,"Spring"
"97",2010-04-07,0,0,0,0,0,0,0,0,0,0,12.45,11.1,13.85,13.95,-10516.66667,-15569.28,-12392.352,0,0,0.33,-0.33,4.95,2.2,13.94,1.43,5.66,4.95,2.23,13.94,1.43,5.66,"Spring"
"98",2010-04-08,0,0,0,0,0,0,0,0,0,0,13.5,11.2,14.85,15,-10516.66667,-15569.28,-12392.352,0,0,0.32,-0.33,5,2.2,13.93,1.54,5.67,5,2.23,13.93,1.54,5.67,"Spring"
"99",2010-04-09,0,0,0,0,0,0,0,0,0,0,12.85,11.95,15.2,14.85,-10516.66667,-15569.28,-12392.352,0,0,0.34,-0.33,4.94,2.2,13.94,1.59,5.69,4.94,2.23,13.94,1.59,5.69,"Spring"
"100",2010-04-10,0,0,0,0,0,0,0,0,0,0,14.4,11.85,15.05,14.65,-10516.66667,-15569.28,-12392.352,0,0,0.3,-0.33,5.01,2.2,13.91,1.62,5.71,5.01,2.23,13.91,1.62,5.71,"Spring"
"101",2010-04-11,11.4,7.4,6,4,14.8,13.8,8.8,9,5.2,12.8,8.9,4.95,8.75,9.35,-9990.833333,-14790.816,-11772.7344,0,0,0.31,-0.33,5.02,2.2,13.86,1.55,5.67,5.02,2.23,13.86,1.55,5.67,"Spring"
