"","Date","Volume_Pozzo_1","Volume_Pozzo_2","Volume_Pozzo_3","Volume_Pozzo_4","Volume_Pozzo_5.6","Volume_Pozzo_7","Volume_Pozzo_8","Volume_Pozzo_9","Temperature_Monteporzio","Temperature_Velletri","imp_rain_velletri","imp_rain_monteporzio","Year","Month","Day","Spring","Summer","Autumn","Winter","imp1","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","snow.yes","snow.no"
"54",2012-07-24,NA,NA,NA,NA,NA,NA,NA,NA,19.7,21.29,8.2,3,"2012","7","24","0","1","0","0",33.34,92.61,107.45,96.78,99.33,91.0533333333333,93.32,94.48,96.55,"0","1"
"55",2012-07-25,NA,NA,NA,NA,NA,NA,NA,NA,21.18,22.66,0.2,0,"2012","7","25","0","1","0","0",33.34,92.61,107.45,96.78,99.33,91.0533333333333,93.32,94.48,96.55,"0","1"
"56",2012-07-26,NA,NA,NA,NA,NA,NA,NA,NA,23.07,25.07,0,0,"2012","7","26","0","1","0","0",33.46,92.61,107.45,96.79,99.33,91.08,93.32,94.57,96.8,"0","1"
"57",2012-07-27,NA,NA,NA,NA,NA,NA,NA,NA,26.13,27.35,0,0,"2012","7","27","0","1","0","0",39.55,92.62,107.48,96.81,99.34,91,93.32,94.3,96.99,"0","1"
"58",2012-07-28,NA,NA,NA,NA,NA,NA,NA,NA,27.63,27.78,0,0,"2012","7","28","0","1","0","0",39.55,92.62,107.5,96.83,99.34,91,93.32,94.3,96.99,"0","1"
"59",2012-07-29,NA,NA,NA,NA,NA,NA,NA,NA,26.39,26.77,0,0,"2012","7","29","0","1","0","0",55.32,92.64,107.51,96.83,99.34,91,93.34,94.3,97.08,"0","1"
"60",2012-07-30,NA,NA,NA,NA,NA,NA,NA,NA,26.25,28.75,0,0,"2012","7","30","0","1","0","0",55.77,92.66,107.52,96.88,99.34,91,93.34,94.31,97.41,"0","1"
"61",2012-07-31,NA,NA,NA,NA,NA,NA,NA,NA,26.05,28.65,0,0,"2012","7","31","0","1","0","0",55.93,92.67,107.53,96.83,99.36,91.01,93.37,94.32,97.54,"0","1"
"62",2012-08-01,NA,NA,NA,NA,NA,NA,NA,NA,26.01,27.27,0,0,"2012","8","1","0","1","0","0",56.07,92.7,107.57,96.81,99.37,91.03,93.39,94.36,97.63,"0","1"
"63",2012-08-02,NA,NA,NA,NA,NA,NA,NA,NA,25.35,26.6,0,0,"2012","8","2","0","1","0","0",56.13,92.71,107.59,96.8,99.39,91.05,93.4,94.38,97.63,"0","1"
"64",2012-08-03,NA,NA,NA,NA,NA,NA,NA,NA,25.03,25.99,0,0,"2012","8","3","0","1","0","0",56.22,92.72,107.59,96.8,99.39,91.06,93.41,94.38,97.7,"0","1"
"65",2012-08-04,NA,NA,NA,NA,NA,NA,NA,NA,26.16,26.48,0,0,"2012","8","4","0","1","0","0",56.22,92.72,107.59,96.79,99.4,91.06,93.42,94.39,97.7,"0","1"
"66",2012-08-05,NA,NA,NA,NA,NA,NA,NA,NA,26.48,27.01,0,0,"2012","8","5","0","1","0","0",56.22,92.73,107.6,96.79,99.41,91.07,93.43,94.39,97.52,"0","1"
"67",2012-08-06,NA,NA,NA,NA,NA,NA,NA,NA,28.35,28.88,0,0,"2012","8","6","0","1","0","0",56.4,92.74,107.61,96.79,99.43,91.07,93.45,94.41,97.52,"0","1"
"68",2012-08-07,NA,NA,NA,NA,NA,NA,NA,NA,27.65,30.52,0,0,"2012","8","7","0","1","0","0",56.4,92.75,107.64,96.79,99.43,91.07,93.45,94.42,97.52,"0","1"
"69",2012-08-08,NA,NA,NA,NA,NA,NA,NA,NA,25.16,27.49,0,0,"2012","8","8","0","1","0","0",55.71,92.75,107.65,96.79,99.45,91.09,93.47,94.44,97.41,"0","1"
"70",2012-08-09,NA,NA,NA,NA,NA,NA,NA,NA,25.74,27.34,0,0,"2012","8","9","0","1","0","0",49.16,92.76,107.66,96.81,99.45,91.1,93.47,94.44,97.39,"0","1"
"71",2012-08-10,NA,NA,NA,NA,NA,NA,NA,NA,25.16,26.34,0.2,0,"2012","8","10","0","1","0","0",49.16,92.76,107.67,96.85,99.45,91.1,93.48,94.45,97.39,"0","1"
"72",2012-08-11,NA,NA,NA,NA,NA,NA,NA,NA,23.48,25.37,0,0,"2012","8","11","0","1","0","0",49.16,92.77,107.67,96.86,99.45,91.11,93.48,94.45,97.39,"0","1"
"73",2012-08-12,NA,NA,NA,NA,NA,NA,NA,NA,23.34,24.71,0,0,"2012","8","12","0","1","0","0",49.16,92.78,107.7,96.87,99.47,91.13,93.49,94.47,97.55,"0","1"
"74",2012-08-13,NA,NA,NA,NA,NA,NA,NA,NA,23.29,24.62,1,0,"2012","8","13","0","1","0","0",49.16,92.79,107.7,96.87,99.47,91.13,93.51,94.48,97.58,"0","1"
"75",2012-08-14,NA,NA,NA,NA,NA,NA,NA,NA,23.36,25.29,0,0,"2012","8","14","0","1","0","0",43.24,92.8,107.71,96.89,99.48,91.15,93.51,94.49,97.58,"0","1"
"76",2012-08-15,NA,NA,NA,NA,NA,NA,NA,NA,23.93,26.25,0,0,"2012","8","15","0","1","0","0",33.96,92.82,107.71,96.89,99.49,91.16,93.51,94.49,97.58,"0","1"
"77",2012-08-16,NA,NA,NA,NA,NA,NA,NA,NA,23.89,25.34,0,0,"2012","8","16","0","1","0","0",33.36,92.83,107.73,96.89,99.5,91.17,93.52,94.51,97.21,"0","1"
"78",2012-08-17,NA,NA,NA,NA,NA,NA,NA,NA,25.99,27.79,0,0,"2012","8","17","0","1","0","0",33.36,92.85,107.74,96.9,99.5,91.19,93.52,94.51,97.2,"0","1"
"79",2012-08-18,NA,NA,NA,NA,NA,NA,NA,NA,26.66,28.09,0,0,"2012","8","18","0","1","0","0",33.32,92.86,107.76,96.92,99.51,91.19,93.54,94.53,97.2,"0","1"
"80",2012-08-19,NA,NA,NA,NA,NA,NA,NA,NA,26.57,27.57,0,0,"2012","8","19","0","1","0","0",33.29,92.86,107.76,96.92,99.53,91.2,93.54,94.54,97.2,"0","1"
"81",2012-08-20,NA,NA,NA,NA,NA,NA,NA,NA,26.37,27.52,0,0,"2012","8","20","0","1","0","0",33.28,92.87,107.77,96.92,99.53,91.21,93.55,94.55,97.22,"0","1"
"82",2012-08-21,NA,NA,NA,NA,NA,NA,NA,NA,26.65,27.52,0,0,"2012","8","21","0","1","0","0",33.28,92.88,107.77,96.91,99.54,91.22,93.55,94.56,97.22,"0","1"
"83",2012-08-22,NA,NA,NA,NA,NA,NA,NA,NA,26.58,27.58,0,0,"2012","8","22","0","1","0","0",33.27,92.89,107.78,96.91,99.55,91.23,93.55,94.57,97.25,"0","1"
"84",2012-08-23,NA,NA,NA,NA,NA,NA,NA,NA,26.86,27.79,0,0,"2012","8","23","0","1","0","0",33.27,92.9,107.8,96.91,99.55,91.23,93.56,94.57,97.26,"0","1"
"85",2012-08-24,NA,NA,NA,NA,NA,NA,NA,NA,25.41,26.3,0,0,"2012","8","24","0","1","0","0",33.27,92.9,107.82,97.03,99.55,91.24,93.57,94.58,97.27,"0","1"
"86",2012-08-25,NA,NA,NA,NA,NA,NA,NA,NA,24.79,25.42,0,0,"2012","8","25","0","1","0","0",33.42,92.91,107.82,97.03,99.56,91.25,93.58,94.6,97.39,"0","1"
"87",2012-08-26,NA,NA,NA,NA,NA,NA,NA,NA,23.2,24.77,0.2,0.2,"2012","8","26","0","1","0","0",33.44,92.91,107.84,97.03,99.58,91.26,93.58,94.6,97.39,"0","1"
"88",2012-08-27,NA,NA,NA,NA,NA,NA,NA,NA,23.89,25.8,0,0,"2012","8","27","0","1","0","0",33.44,92.93,107.85,97.03,99.58,91.28,93.59,94.62,97.39,"0","1"
"89",2012-08-28,NA,NA,NA,NA,NA,NA,NA,NA,22.53,24.33,0,0,"2012","8","28","0","1","0","0",33.44,92.95,107.85,96.99,99.6,91.29,93.6,94.63,97.3,"0","1"
"90",2012-08-29,NA,NA,NA,NA,NA,NA,NA,NA,23.43,25.21,0,0,"2012","8","29","0","1","0","0",33.44,92.95,107.86,96.99,99.61,91.3,93.61,94.64,97.28,"0","1"
"91",2012-08-30,NA,NA,NA,NA,NA,NA,NA,NA,23.89,24.92,0,0,"2012","8","30","0","1","0","0",33.4,92.95,107.87,97.05,99.61,91.3,93.61,94.64,97.11,"0","1"
"92",2012-08-31,NA,NA,NA,NA,NA,NA,NA,NA,21.16,22.17,16.8,11,"2012","8","31","0","1","0","0",33.39,92.95,107.88,97.22,99.63,91.3,93.62,94.65,97.1,"0","1"
"93",2012-09-01,NA,NA,NA,NA,NA,NA,NA,NA,17.11,18.97,0,0,"2012","9","1","0","1","0","0",33.39,92.95,107.88,97.22,99.63,91.3,93.63,94.66,97.07,"0","1"
"94",2012-09-02,NA,NA,NA,NA,NA,NA,NA,NA,17.83,20.72,6.2,4.2,"2012","9","2","0","1","0","0",33.38,92.94,107.88,97.22,99.64,91.3,93.63,94.66,97.02,"0","1"
"95",2012-09-03,NA,NA,NA,NA,NA,NA,NA,NA,18.2,19.93,25.4,13,"2012","9","3","0","1","0","0",33.37,92.93,107.87,97.02,99.64,91.29,93.62,94.66,96.99,"0","1"
"96",2012-09-04,NA,NA,NA,NA,NA,NA,NA,NA,16.44,18.87,35.8,22.8,"2012","9","4","0","1","0","0",33.39,92.91,107.85,97.02,99.64,91.22,93.6,94.61,96.97,"0","1"
"97",2012-09-05,NA,NA,NA,NA,NA,NA,NA,NA,18.18,20.27,41,13.4,"2012","9","5","0","1","0","0",33.4,92.91,107.85,97.02,99.64,91.22,93.6,94.61,96.99,"0","1"
"98",2012-09-06,NA,NA,NA,NA,NA,NA,NA,NA,19.27,21.6,2,2,"2012","9","6","0","1","0","0",33.63,92.91,107.85,97.02,99.64,91.22,93.6,94.61,96.99,"0","1"
"99",2012-09-07,NA,NA,NA,NA,NA,NA,NA,NA,20.9,22.85,0,0,"2012","9","7","0","1","0","0",33.63,92.95,107.91,97.08,99.64,91.26,93.62,94.64,97.31,"0","1"
"100",2012-09-08,NA,NA,NA,NA,NA,NA,NA,NA,20.63,22.47,0,0,"2012","9","8","0","1","0","0",33.73,92.97,107.91,97.1,99.64,91.27,93.64,94.66,97.37,"0","1"
"101",2012-09-09,NA,NA,NA,NA,NA,NA,NA,NA,20.36,21.68,0,0,"2012","9","9","0","1","0","0",33.63,92.98,107.91,97.12,99.65,91.28,93.64,94.67,97.37,"0","1"
"102",2012-09-10,NA,NA,NA,NA,NA,NA,NA,NA,19.5,21.42,0,0.2,"2012","9","10","0","1","0","0",33.63,92.98,107.91,97.12,99.65,91.28,93.64,94.67,97.32,"0","1"
"103",2012-09-11,NA,NA,NA,NA,NA,NA,NA,NA,19.92,21.8,0,0,"2012","9","11","0","1","0","0",33.63,92.98,107.9,97.11,99.64,91.28,93.64,94.67,97.32,"0","1"
"104",2012-09-12,NA,NA,NA,NA,NA,NA,NA,NA,20.32,21.48,0,1.8,"2012","9","12","0","1","0","0",33.62,92.94,107.9,97.11,99.65,91.26,93.64,94.66,97.32,"0","1"
"105",2012-09-13,NA,NA,NA,NA,NA,NA,NA,NA,15.77,18.52,10.6,10.8,"2012","9","13","0","1","0","0",33.58,92.94,107.89,97.12,99.65,91.25,93.63,94.64,96.34,"0","1"
"106",2012-09-14,NA,NA,NA,NA,NA,NA,NA,NA,12.12,16.31,9.6,13.2,"2012","9","14","0","1","0","0",33.58,92.94,107.89,97.16,99.65,91.25,93.63,94.64,96.34,"0","1"
"107",2012-09-15,NA,NA,NA,NA,NA,NA,NA,NA,18.24,20.72,0,0,"2012","9","15","0","1","0","0",33.58,92.94,107.9,97.19,99.69,91.26,93.65,94.66,96.34,"0","1"
"108",2012-09-16,NA,NA,NA,NA,NA,NA,NA,NA,17.42,19.56,0,0,"2012","9","16","0","1","0","0",33.57,92.97,107.91,97.19,99.69,91.27,93.65,94.68,96.34,"0","1"
"109",2012-09-17,NA,NA,NA,NA,NA,NA,NA,NA,16.99,19.11,0,0,"2012","9","17","0","1","0","0",33.57,92.97,107.92,97.2,99.69,91.27,93.65,94.68,96.33,"0","1"
"110",2012-09-18,NA,NA,NA,NA,NA,NA,NA,NA,17.62,19.29,0,0,"2012","9","18","0","1","0","0",33.57,92.98,107.92,97.19,99.69,91.29,93.66,94.68,96.32,"0","1"
"111",2012-09-19,NA,NA,NA,NA,NA,NA,NA,NA,17.3,18.49,31.2,7.4,"2012","9","19","0","1","0","0",33.57,92.98,107.93,97.19,99.69,91.29,93.66,94.68,96.32,"0","1"
"112",2012-09-20,NA,NA,NA,NA,NA,NA,NA,NA,17.91,19.99,0.2,1.6,"2012","9","20","0","1","0","0",33.57,93,107.94,97.19,99.69,91.31,93.67,94.69,96.32,"0","1"
"113",2012-09-21,NA,NA,NA,NA,NA,NA,NA,NA,16.26,18.29,0,0,"2012","9","21","0","0","1","0",33.57,93.01,107.95,97.19,99.69,91.31,93.69,94.71,96.35,"0","1"
"114",2012-09-22,NA,NA,NA,NA,NA,NA,NA,NA,18.33,19.71,0,0,"2012","9","22","0","0","1","0",33.57,93.02,107.96,97.17,99.69,91.31,93.69,94.71,96.35,"0","1"
"115",2012-09-23,NA,NA,NA,NA,NA,NA,NA,NA,20.92,21.86,0,0,"2012","9","23","0","0","1","0",33.59,93.02,107.97,97.19,99.72,91.31,93.69,94.71,96.35,"0","1"
"116",2012-09-24,NA,NA,NA,NA,NA,NA,NA,NA,20.88,22.62,0,0,"2012","9","24","0","0","1","0",33.59,93.03,107.98,97.19,99.72,91.34,93.69,94.71,96.35,"0","1"
"117",2012-09-25,NA,NA,NA,NA,NA,NA,NA,NA,19.13,20.84,2.2,0,"2012","9","25","0","0","1","0",33.88,93.05,107.98,97.23,99.72,91.33,93.71,94.77,96.48,"0","1"
"118",2012-09-26,NA,NA,NA,NA,NA,NA,NA,NA,20.34,21.87,0.2,0,"2012","9","26","0","0","1","0",33.88,93.06,108.02,97.28,99.73,91.34,93.73,94.78,96.52,"0","1"
"119",2012-09-27,NA,NA,NA,NA,NA,NA,NA,NA,22.16,22.97,0,0,"2012","9","27","0","0","1","0",33.87,93.08,108.03,97.28,99.74,91.34,93.74,97.49,96.52,"0","1"
"120",2012-09-28,NA,NA,NA,NA,NA,NA,NA,NA,22.54,23.39,0,0,"2012","9","28","0","0","1","0",33.59,93.09,108.03,97.87,99.74,91.34,93.74,97.49,96.45,"0","1"
"121",2012-09-29,NA,NA,NA,NA,NA,NA,NA,NA,23.79,24.5,0,0,"2012","9","29","0","0","1","0",33.59,93.1,108.03,97.48,99.75,91.34,93.74,97.49,96.46,"0","1"
"122",2012-09-30,NA,NA,NA,NA,NA,NA,NA,NA,17.46,19.93,25.4,28.8,"2012","9","30","0","0","1","0",33.56,93.1,108.03,97.48,99.77,91.35,93.76,97.49,96.46,"0","1"
"123",2012-10-01,NA,NA,NA,NA,NA,NA,NA,NA,17.97,20.56,0.2,0.2,"2012","10","1","0","0","1","0",33.56,93.12,108.06,97.38,99.78,91.36,93.76,96.8325,96.46,"0","1"
"124",2012-10-02,NA,NA,NA,NA,NA,NA,NA,NA,17.16,19.03,0.2,1.4,"2012","10","2","0","0","1","0",33.56,93.13,108.07,97.48,99.79,91.36,93.77,95.5175,96.47,"0","1"
"125",2012-10-03,NA,NA,NA,NA,NA,NA,NA,NA,15.98,18.01,0,0.2,"2012","10","3","0","0","1","0",33.56,93.14,108.07,97.48,99.81,91.38,93.78,94.86,96.48,"0","1"
"126",2012-10-04,NA,NA,NA,NA,NA,NA,NA,NA,16.61,18.31,0.2,0.2,"2012","10","4","0","0","1","0",33.68,93.15,108.08,97.49,99.82,91.39,93.79,94.86,96.51,"0","1"
"127",2012-10-05,NA,NA,NA,NA,NA,NA,NA,NA,17.11,18.68,0,0.2,"2012","10","5","0","0","1","0",33.68,93.16,108.1,97.49,99.83,91.39,93.8,94.86,96.53,"0","1"
"128",2012-10-06,NA,NA,NA,NA,NA,NA,NA,NA,17.66,18.67,0,0,"2012","10","6","0","0","1","0",33.68,93.17,108.11,97.52,99.84,91.4,93.81,94.86,96.53,"0","1"
