"","Date","Rainfall_Terni","Flow_Rate_Lupa","abs.flow_rate"
"98",2009-05-27,1.139,NA,NA
"99",2009-05-28,1.139,NA,NA
"100",2009-05-29,1.139,NA,NA
"101",2009-05-30,1.139,-157.37,157.37
"102",2009-05-31,1.139,-156.32,156.32
"103",2009-06-01,3.062,-156.61,156.61
"104",2009-06-02,3.062,-156.68,156.68
"105",2009-06-03,3.062,-156.36,156.36
"106",2009-06-04,3.062,-155.79,155.79
"107",2009-06-05,3.062,-155.1,155.1
"108",2009-06-06,3.062,-154.31,154.31
"109",2009-06-07,3.062,-153.18,153.18
"110",2009-06-08,3.062,-152.38,152.38
"111",2009-06-09,3.062,-151.77,151.77
"112",2009-06-10,3.062,-150.98,150.98
"113",2009-06-11,3.062,-150.15,150.15
"114",2009-06-12,3.062,-149.33,149.33
"115",2009-06-13,3.062,-148.52,148.52
"116",2009-06-14,3.062,-147.58,147.58
"117",2009-06-15,3.062,-146.84,146.84
"118",2009-06-16,3.062,-145.97,145.97
"119",2009-06-17,3.062,-145.3,145.3
"120",2009-06-18,3.062,-144.49,144.49
"121",2009-06-19,3.062,-143.63,143.63
"122",2009-06-20,3.062,-142.61,142.61
"123",2009-06-21,3.062,-141.92,141.92
"124",2009-06-22,3.062,-141.6,141.6
"125",2009-06-23,3.062,-140.56,140.56
"126",2009-06-24,3.062,-140.06,140.06
"127",2009-06-25,3.062,-139.6,139.6
"128",2009-06-26,3.062,-138.93,138.93
"129",2009-06-27,3.062,-138.09,138.09
"130",2009-06-28,3.062,-137.4,137.4
"131",2009-06-29,3.062,-136.73,136.73
"132",2009-06-30,3.062,-135.97,135.97
"133",2009-07-01,1.276,-134.99,134.99
"134",2009-07-02,1.276,-134.52,134.52
"135",2009-07-03,1.276,-134.31,134.31
"136",2009-07-04,1.276,-133.7,133.7
"137",2009-07-05,1.276,-133.56,133.56
"138",2009-07-06,1.276,-134.17,134.17
"139",2009-07-07,1.276,-133.88,133.88
"140",2009-07-08,1.276,-133.62,133.62
"141",2009-07-09,1.276,-132.81,132.81
"142",2009-07-10,1.276,-132.12,132.12
"143",2009-07-11,1.276,-131.21,131.21
"144",2009-07-12,1.276,-130.35,130.35
"145",2009-07-13,1.276,-129.62,129.62
"146",2009-07-14,1.276,-128.9,128.9
"147",2009-07-15,1.276,-128.23,128.23
"148",2009-07-16,1.276,-127.51,127.51
"149",2009-07-17,1.276,-126.75,126.75
"150",2009-07-18,1.276,-125.65,125.65
"151",2009-07-19,1.276,-124.86,124.86
"152",2009-07-20,1.276,-124.47,124.47
"153",2009-07-21,1.276,-123.8,123.8
"154",2009-07-22,1.276,-123.12,123.12
"155",2009-07-23,1.276,-122.42,122.42
"156",2009-07-24,1.276,-121.83,121.83
"157",2009-07-25,1.276,-121.13,121.13
"158",2009-07-26,1.276,-120.47,120.47
"159",2009-07-27,1.276,-119.98,119.98
"160",2009-07-28,1.276,-119.35,119.35
"161",2009-07-29,1.276,-118.77,118.77
"162",2009-07-30,1.276,-118.39,118.39
"163",2009-07-31,1.276,-117.86,117.86
"164",2009-08-01,0.95,-117.19,117.19
"165",2009-08-02,0.95,-116.51,116.51
"166",2009-08-03,0.95,-116.11,116.11
"167",2009-08-04,0.95,-115.68,115.68
"168",2009-08-05,0.95,-115.22,115.22
"169",2009-08-06,0.95,-114.8,114.8
"170",2009-08-07,0.95,-114.36,114.36
"171",2009-08-08,0.95,-113.77,113.77
"172",2009-08-09,0.95,-112.92,112.92
"173",2009-08-10,0.95,-112.36,112.36
"174",2009-08-11,0.95,-111.77,111.77
"175",2009-08-12,0.95,-111.25,111.25
"176",2009-08-13,0.95,-110.64,110.64
"177",2009-08-14,0.95,-110.1,110.1
"178",2009-08-15,0.95,-109.46,109.46
"179",2009-08-16,0.95,-108.71,108.71
"180",2009-08-17,0.95,-107.88,107.88
"181",2009-08-18,0.95,-107.23,107.23
"182",2009-08-19,0.95,-106.7,106.7
"183",2009-08-20,0.95,-106.23,106.23
"184",2009-08-21,0.95,-105.56,105.56
"185",2009-08-22,0.95,-104.88,104.88
"186",2009-08-23,0.95,-104,104
"187",2009-08-24,0.95,-103.4,103.4
"188",2009-08-25,0.95,-102.87,102.87
"189",2009-08-26,0.95,0,0
"190",2009-08-27,0.95,-101.85,101.85
"191",2009-08-28,0.95,-101.28,101.28
"192",2009-08-29,0.95,-100.72,100.72
"193",2009-08-30,0.95,-100.16,100.16
"194",2009-08-31,0.95,-99.62,99.62
"195",2009-09-01,3.57,-99.14,99.14
"196",2009-09-02,3.57,-98.7,98.7
"197",2009-09-03,3.57,-98.18,98.18
"198",2009-09-04,3.57,-97.78,97.78
"199",2009-09-05,3.57,-97.08,97.08
"200",2009-09-06,3.57,-96.35,96.35
"201",2009-09-07,3.57,-96.17,96.17
"202",2009-09-08,3.57,-95.81,95.81
"203",2009-09-09,3.57,-95.43,95.43
"204",2009-09-10,3.57,-95.1,95.1
"205",2009-09-11,3.57,-94.68,94.68
"206",2009-09-12,3.57,-94.12,94.12
"207",2009-09-13,3.57,-93.47,93.47
"208",2009-09-14,3.57,-93.25,93.25
"209",2009-09-15,3.57,-92.9,92.9
"210",2009-09-16,3.57,-92.81,92.81
"211",2009-09-17,3.57,-92.68,92.68
"212",2009-09-18,3.57,-92.27,92.27
"213",2009-09-19,3.57,-91.81,91.81
"214",2009-09-20,3.57,-91.25,91.25
"215",2009-09-21,3.57,-90.81,90.81
"216",2009-09-22,3.57,-90.66,90.66
"217",2009-09-23,3.57,-90.23,90.23
"218",2009-09-24,3.57,-89.8,89.8
"219",2009-09-25,3.57,-89.33,89.33
"220",2009-09-26,3.57,-88.59,88.59
"221",2009-09-27,3.57,-88.07,88.07
"222",2009-09-28,3.57,-87.86,87.86
"223",2009-09-29,3.57,-87.42,87.42
"224",2009-09-30,3.57,-86.99,86.99
"225",2009-10-01,2.562,-86.53,86.53
"226",2009-10-02,2.562,-86.12,86.12
"227",2009-10-03,2.562,-85.54,85.54
"228",2009-10-04,2.562,-85.02,85.02
"229",2009-10-05,2.562,-84.83,84.83
"230",2009-10-06,2.562,-84.47,84.47
"231",2009-10-07,2.562,-84.05,84.05
"232",2009-10-08,2.562,-83.63,83.63
"233",2009-10-09,2.562,-83.22,83.22
"234",2009-10-10,2.562,-82.13,82.13
"235",2009-10-11,2.562,-82.19,82.19
"236",2009-10-12,2.562,-81.5,81.5
"237",2009-10-13,2.562,-81.57,81.57
"238",2009-10-14,2.562,-81.43,81.43
"239",2009-10-15,2.562,-81.33,81.33
"240",2009-10-16,2.562,-81.25,81.25
"241",2009-10-17,2.562,-80.88,80.88
"242",2009-10-18,2.562,-80.42,80.42
"243",2009-10-19,2.562,-80.13,80.13
"244",2009-10-20,2.562,-79.83,79.83
"245",2009-10-21,2.562,-79.4,79.4
"246",2009-10-22,2.562,-78.43,78.43
"247",2009-10-23,2.562,-78.25,78.25
"248",2009-10-24,2.562,-78.02,78.02
"249",2009-10-25,2.562,-77.39,77.39
"250",2009-10-26,2.562,-77.02,77.02
"251",2009-10-27,2.562,NA,NA
"252",2009-10-28,2.562,NA,NA
"253",2009-10-29,2.562,NA,NA
"254",2009-10-30,2.562,NA,NA
"255",2009-10-31,2.562,NA,NA
"256",2009-11-01,4.057,NA,NA
"257",2009-11-02,4.057,NA,NA
"258",2009-11-03,4.057,NA,NA
"259",2009-11-04,4.057,NA,NA
"260",2009-11-05,4.057,NA,NA
"261",2009-11-06,4.057,NA,NA
"262",2009-11-07,4.057,NA,NA
"263",2009-11-08,4.057,NA,NA
"264",2009-11-09,4.057,NA,NA
"265",2009-11-10,4.057,NA,NA
"266",2009-11-11,4.057,NA,NA
"267",2009-11-12,4.057,NA,NA
"268",2009-11-13,4.057,NA,NA
"269",2009-11-14,4.057,NA,NA
"270",2009-11-15,4.057,NA,NA
"271",2009-11-16,4.057,NA,NA
"272",2009-11-17,4.057,NA,NA
"273",2009-11-18,4.057,NA,NA
"274",2009-11-19,4.057,NA,NA
"275",2009-11-20,4.057,NA,NA
"276",2009-11-21,4.057,NA,NA
"277",2009-11-22,4.057,NA,NA
"278",2009-11-23,4.057,NA,NA
"279",2009-11-24,4.057,NA,NA
"280",2009-11-25,4.057,NA,NA
"281",2009-11-26,4.057,NA,NA
"282",2009-11-27,4.057,NA,NA
"283",2009-11-28,4.057,NA,NA
"284",2009-11-29,4.057,NA,NA
"285",2009-11-30,4.057,NA,NA
"286",2009-12-01,5.308,NA,NA
"287",2009-12-02,5.308,NA,NA
"288",2009-12-03,5.308,NA,NA
"289",2009-12-04,5.308,NA,NA
"290",2009-12-05,5.308,NA,NA
"291",2009-12-06,5.308,NA,NA
"292",2009-12-07,5.308,NA,NA
"293",2009-12-08,5.308,NA,NA
"294",2009-12-09,5.308,NA,NA
"295",2009-12-10,5.308,NA,NA
"296",2009-12-11,5.308,NA,NA
"297",2009-12-12,5.308,NA,NA
"298",2009-12-13,5.308,NA,NA
"299",2009-12-14,5.308,NA,NA
"300",2009-12-15,5.308,NA,NA
"301",2009-12-16,5.308,-77.55,77.55
"302",2009-12-17,5.308,-77.56,77.56
"303",2009-12-18,5.308,NA,NA
"304",2009-12-19,5.308,NA,NA
"305",2009-12-20,5.308,-77.57,77.57
"306",2009-12-21,5.308,-77.58,77.58
"307",2009-12-22,5.308,-77.59,77.59
"308",2009-12-23,5.308,-77.6,77.6
"309",2009-12-24,5.308,-77.61,77.61
"310",2009-12-25,5.308,-77.62,77.62
"311",2009-12-26,5.308,-77.63,77.63
"312",2009-12-27,5.308,-77.64,77.64
"313",2009-12-28,5.308,-77.65,77.65
"314",2009-12-29,5.308,-77.66,77.66
"315",2009-12-30,5.308,-77.67,77.67
"316",2009-12-31,5.308,-77.68,77.68
"317",2010-01-01,3.273,-77.69,77.69
"318",2010-01-02,3.273,-77.7,77.7
"319",2010-01-03,3.273,-77.71,77.71
"320",2010-01-04,3.273,-77.72,77.72
"321",2010-01-05,3.273,-77.73,77.73
"322",2010-01-06,3.273,-77.74,77.74
"323",2010-01-07,3.273,-77.75,77.75
"324",2010-01-08,3.273,-77.76,77.76
"325",2010-01-09,3.273,-77.77,77.77
"326",2010-01-10,3.273,-77.78,77.78
"327",2010-01-11,3.273,-77.79,77.79
"328",2010-01-12,3.273,-77.8,77.8
"329",2010-01-13,3.273,-77.81,77.81
"330",2010-01-14,3.273,-77.82,77.82
"331",2010-01-15,3.273,-77.83,77.83
"332",2010-01-16,3.273,-77.84,77.84
"333",2010-01-17,3.273,-77.85,77.85
"334",2010-01-18,3.273,-77.86,77.86
"335",2010-01-19,3.273,-77.87,77.87
"336",2010-01-20,3.273,-77.88,77.88
"337",2010-01-21,3.273,-77.89,77.89
"338",2010-01-22,3.273,-77.9,77.9
"339",2010-01-23,3.273,-77.91,77.91
"340",2010-01-24,3.273,-77.92,77.92
"341",2010-01-25,3.273,-77.93,77.93
"342",2010-01-26,3.273,-77.94,77.94
"343",2010-01-27,3.273,-77.95,77.95
"344",2010-01-28,3.273,-77.96,77.96
"345",2010-01-29,3.273,-77.97,77.97
"346",2010-01-30,3.273,-77.98,77.98
"347",2010-01-31,3.273,-77.99,77.99
"348",2010-02-01,3.739,-78,78
"349",2010-02-02,3.739,-78.01,78.01
"350",2010-02-03,3.739,-78.02,78.02
"351",2010-02-04,3.739,-78.05,78.05
"352",2010-02-05,3.739,-78.06,78.06
"353",2010-02-06,3.739,-78.07,78.07
"354",2010-02-07,3.739,-78.08,78.08
"355",2010-02-08,3.739,NA,NA
"356",2010-02-09,3.739,NA,NA
"357",2010-02-10,3.739,-78.09,78.09
"358",2010-02-11,3.739,-78.1,78.1
"359",2010-02-12,3.739,-78.11,78.11
"360",2010-02-13,3.739,-78.12,78.12
"361",2010-02-14,3.739,-78.13,78.13
"362",2010-02-15,3.739,-78.14,78.14
"363",2010-02-16,3.739,-78.15,78.15
"364",2010-02-17,3.739,-78.16,78.16
"365",2010-02-18,3.739,-78.17,78.17
"366",2010-02-19,3.739,-78.18,78.18
"367",2010-02-20,3.739,-78.19,78.19
"368",2010-02-21,3.739,-78.2,78.2
"369",2010-02-22,3.739,-78.21,78.21
"370",2010-02-23,3.739,-78.22,78.22
"371",2010-02-24,3.739,-78.23,78.23
"372",2010-02-25,3.739,-78.24,78.24
"373",2010-02-26,3.739,-78.25,78.25
"374",2010-02-27,3.739,-78.26,78.26
"375",2010-02-28,3.739,-78.27,78.27
"376",2010-03-01,2.508,-78.28,78.28
"377",2010-03-02,2.508,-78.29,78.29
"378",2010-03-03,2.508,-78.3,78.3
"379",2010-03-04,2.508,-78.31,78.31
"380",2010-03-05,2.508,-78.32,78.32
"381",2010-03-06,2.508,-78.33,78.33
"382",2010-03-07,2.508,-78.34,78.34
"383",2010-03-08,2.508,-78.35,78.35
"384",2010-03-09,2.508,-78.36,78.36
"385",2010-03-10,2.508,-78.37,78.37
"386",2010-03-11,2.508,-78.38,78.38
"387",2010-03-12,2.508,-78.39,78.39
"388",2010-03-13,2.508,-78.4,78.4
"389",2010-03-14,2.508,-78.41,78.41
"390",2010-03-15,2.508,-78.42,78.42
"391",2010-03-16,2.508,-78.43,78.43
"392",2010-03-17,2.508,-78.44,78.44
"393",2010-03-18,2.508,-78.45,78.45
"394",2010-03-19,2.508,-78.46,78.46
"395",2010-03-20,2.508,-78.47,78.47
"396",2010-03-21,2.508,-78.48,78.48
"397",2010-03-22,2.508,-78.49,78.49
"398",2010-03-23,2.508,-78.5,78.5
"399",2010-03-24,2.508,-78.51,78.51
"400",2010-03-25,2.508,-78.52,78.52
"401",2010-03-26,2.508,-78.55,78.55
"402",2010-03-27,2.508,-78.56,78.56
"403",2010-03-28,2.508,-78.57,78.57
"404",2010-03-29,2.508,-78.58,78.58
"405",2010-03-30,2.508,-78.59,78.59
"406",2010-03-31,2.508,-78.6,78.6
"407",2010-04-01,3.165,-79.11,79.11
"408",2010-04-02,3.165,-79.12,79.12
"409",2010-04-03,3.165,-78.61,78.61
"410",2010-04-04,3.165,-78.62,78.62
"411",2010-04-05,3.165,-78.63,78.63
"412",2010-04-06,3.165,-78.64,78.64
"413",2010-04-07,3.165,-78.65,78.65
"414",2010-04-08,3.165,-78.66,78.66
"415",2010-04-09,3.165,-78.67,78.67
"416",2010-04-10,3.165,-78.68,78.68
"417",2010-04-11,3.165,-78.69,78.69
"418",2010-04-12,3.165,-78.7,78.7
"419",2010-04-13,3.165,-78.71,78.71
"420",2010-04-14,3.165,-78.72,78.72
"421",2010-04-15,3.165,-78.73,78.73
"422",2010-04-16,3.165,-79.24,79.24
"423",2010-04-17,3.165,-78.75,78.75
"424",2010-04-18,3.165,-78.76,78.76
"425",2010-04-19,3.165,-78.77,78.77
"426",2010-04-20,3.165,-78.78,78.78
"427",2010-04-21,3.165,-78.79,78.79
"428",2010-04-22,3.165,-78.8,78.8
"429",2010-04-23,3.165,-78.81,78.81
"430",2010-04-24,3.165,-78.82,78.82
"431",2010-04-25,3.165,-78.83,78.83
"432",2010-04-26,3.165,-78.84,78.84
"433",2010-04-27,3.165,-78.85,78.85
"434",2010-04-28,3.165,-78.86,78.86
"435",2010-04-29,3.165,-78.87,78.87
"436",2010-04-30,3.165,-78.88,78.88
"437",2010-05-01,4.1,-78.89,78.89
"438",2010-05-02,4.1,-78.9,78.9
"439",2010-05-03,4.1,-78.91,78.91
"440",2010-05-04,4.1,-78.92,78.92
"441",2010-05-05,4.1,-78.93,78.93
"442",2010-05-06,4.1,-78.94,78.94
"443",2010-05-07,4.1,-78.95,78.95
"444",2010-05-08,4.1,-78.96,78.96
"445",2010-05-09,4.1,-78.97,78.97
"446",2010-05-10,4.1,-78.98,78.98
"447",2010-05-11,4.1,-78.99,78.99
"448",2010-05-12,4.1,-79,79
"449",2010-05-13,4.1,-79.01,79.01
"450",2010-05-14,4.1,-79.02,79.02
"451",2010-05-15,4.1,NA,NA
"452",2010-05-16,4.1,NA,NA
"453",2010-05-17,4.1,NA,NA
"454",2010-05-18,4.1,NA,NA
"455",2010-05-19,4.1,NA,NA
"456",2010-05-20,4.1,NA,NA
"457",2010-05-21,4.1,NA,NA
"458",2010-05-22,4.1,NA,NA
"459",2010-05-23,4.1,NA,NA
"460",2010-05-24,4.1,NA,NA
"461",2010-05-25,4.1,NA,NA
"462",2010-05-26,4.1,NA,NA
"463",2010-05-27,4.1,NA,NA
"464",2010-05-28,4.1,NA,NA
"465",2010-05-29,4.1,NA,NA
"466",2010-05-30,4.1,NA,NA
"467",2010-05-31,4.1,NA,NA
"468",2010-06-01,1.597,NA,NA
"469",2010-06-02,1.597,NA,NA
"470",2010-06-03,1.597,NA,NA
"471",2010-06-04,1.597,NA,NA
"472",2010-06-05,1.597,NA,NA
"473",2010-06-06,1.597,NA,NA
"474",2010-06-07,1.597,NA,NA
"475",2010-06-08,1.597,NA,NA
"476",2010-06-09,1.597,NA,NA
"477",2010-06-10,1.597,NA,NA
"478",2010-06-11,1.597,NA,NA
"479",2010-06-12,1.597,NA,NA
"480",2010-06-13,1.597,NA,NA
"481",2010-06-14,1.597,NA,NA
"482",2010-06-15,1.597,NA,NA
"483",2010-06-16,1.597,NA,NA
"484",2010-06-17,1.597,NA,NA
"485",2010-06-18,1.597,NA,NA
"486",2010-06-19,1.597,NA,NA
"487",2010-06-20,1.597,NA,NA
"488",2010-06-21,1.597,NA,NA
"489",2010-06-22,1.597,NA,NA
"490",2010-06-23,1.597,NA,NA
"491",2010-06-24,1.597,NA,NA
"492",2010-06-25,1.597,NA,NA
"493",2010-06-26,1.597,NA,NA
"494",2010-06-27,1.597,NA,NA
"495",2010-06-28,1.597,NA,NA
"496",2010-06-29,1.597,NA,NA
"497",2010-06-30,1.597,NA,NA
"498",2010-07-01,1.477,NA,NA
"499",2010-07-02,1.477,NA,NA
"500",2010-07-03,1.477,NA,NA
"501",2010-07-04,1.477,NA,NA
"502",2010-07-05,1.477,NA,NA
"503",2010-07-06,1.477,NA,NA
"504",2010-07-07,1.477,NA,NA
"505",2010-07-08,1.477,NA,NA
"506",2010-07-09,1.477,NA,NA
"507",2010-07-10,1.477,NA,NA
"508",2010-07-11,1.477,NA,NA
"509",2010-07-12,1.477,NA,NA
"510",2010-07-13,1.477,NA,NA
"511",2010-07-14,1.477,NA,NA
"512",2010-07-15,1.477,NA,NA
"513",2010-07-16,1.477,NA,NA
"514",2010-07-17,1.477,NA,NA
"515",2010-07-18,1.477,NA,NA
"516",2010-07-19,1.477,NA,NA
"517",2010-07-20,1.477,NA,NA
"518",2010-07-21,1.477,NA,NA
"519",2010-07-22,1.477,NA,NA
"520",2010-07-23,1.477,NA,NA
"521",2010-07-24,1.477,NA,NA
"522",2010-07-25,1.477,NA,NA
"523",2010-07-26,1.477,NA,NA
"524",2010-07-27,1.477,NA,NA
"525",2010-07-28,1.477,NA,NA
"526",2010-07-29,1.477,NA,NA
"527",2010-07-30,1.477,NA,NA
"528",2010-07-31,1.477,NA,NA
"529",2010-08-01,0.758,NA,NA
"530",2010-08-02,0.758,NA,NA
"531",2010-08-03,0.758,NA,NA
"532",2010-08-04,0.758,NA,NA
"533",2010-08-05,0.758,NA,NA
"534",2010-08-06,0.758,NA,NA
"535",2010-08-07,0.758,NA,NA
"536",2010-08-08,0.758,NA,NA
"537",2010-08-09,0.758,NA,NA
"538",2010-08-10,0.758,NA,NA
"539",2010-08-11,0.758,NA,NA
"540",2010-08-12,0.758,NA,NA
"541",2010-08-13,0.758,NA,NA
"542",2010-08-14,0.758,NA,NA
"543",2010-08-15,0.758,NA,NA
"544",2010-08-16,0.758,NA,NA
"545",2010-08-17,0.758,NA,NA
"546",2010-08-18,0.758,NA,NA
"547",2010-08-19,0.758,NA,NA
"548",2010-08-20,0.758,NA,NA
"549",2010-08-21,0.758,NA,NA
"550",2010-08-22,0.758,NA,NA
"551",2010-08-23,0.758,-79.55,79.55
"552",2010-08-24,0.758,-79.56,79.56
"553",2010-08-25,0.758,-79.57,79.57
"554",2010-08-26,0.758,-79.58,79.58
"555",2010-08-27,0.758,-79.59,79.59
"556",2010-08-28,0.758,-79.6,79.6
"557",2010-08-29,0.758,-79.61,79.61
"558",2010-08-30,0.758,-79.62,79.62
"559",2010-08-31,0.758,-79.63,79.63
"560",2010-09-01,1.41,-79.64,79.64
"561",2010-09-02,1.41,NA,NA
"562",2010-09-03,1.41,NA,NA
"563",2010-09-04,1.41,-79.65,79.65
"564",2010-09-05,1.41,-79.66,79.66
"565",2010-09-06,1.41,-79.67,79.67
"566",2010-09-07,1.41,-79.68,79.68
"567",2010-09-08,1.41,-79.69,79.69
"568",2010-09-09,1.41,-79.7,79.7
"569",2010-09-10,1.41,-79.71,79.71
"570",2010-09-11,1.41,-79.72,79.72
"571",2010-09-12,1.41,-79.73,79.73
"572",2010-09-13,1.41,-79.74,79.74
"573",2010-09-14,1.41,-79.75,79.75
"574",2010-09-15,1.41,-79.76,79.76
"575",2010-09-16,1.41,-79.77,79.77
"576",2010-09-17,1.41,-79.78,79.78
"577",2010-09-18,1.41,-79.79,79.79
"578",2010-09-19,1.41,-79.8,79.8
"579",2010-09-20,1.41,-79.81,79.81
"580",2010-09-21,1.41,-79.82,79.82
"581",2010-09-22,1.41,-79.83,79.83
"582",2010-09-23,1.41,-79.84,79.84
"583",2010-09-24,1.41,-79.85,79.85
"584",2010-09-25,1.41,-79.86,79.86
"585",2010-09-26,1.41,-79.87,79.87
"586",2010-09-27,1.41,-79.88,79.88
"587",2010-09-28,1.41,-79.89,79.89
"588",2010-09-29,1.41,-79.9,79.9
"589",2010-09-30,1.41,-79.91,79.91
"590",2010-10-01,3.028,-79.92,79.92
"591",2010-10-02,3.028,-79.93,79.93
"592",2010-10-03,3.028,-79.94,79.94
"593",2010-10-04,3.028,-79.95,79.95
"594",2010-10-05,3.028,-79.96,79.96
"595",2010-10-06,3.028,-79.97,79.97
"596",2010-10-07,3.028,-79.98,79.98
"597",2010-10-08,3.028,-79.99,79.99
"598",2010-10-09,3.028,-80,80
"599",2010-10-10,3.028,-80.01,80.01
"600",2010-10-11,3.028,-80.02,80.02
"601",2010-10-12,3.028,-80.05,80.05
"602",2010-10-13,3.028,-80.06,80.06
"603",2010-10-14,3.028,-80.07,80.07
"604",2010-10-15,3.028,-80.08,80.08
"605",2010-10-16,3.028,-80.09,80.09
"606",2010-10-17,3.028,-80.1,80.1
"607",2010-10-18,3.028,-80.11,80.11
"608",2010-10-19,3.028,-80.12,80.12
"609",2010-10-20,3.028,-80.13,80.13
"610",2010-10-21,3.028,-80.14,80.14
"611",2010-10-22,3.028,-80.15,80.15
"612",2010-10-23,3.028,-80.16,80.16
"613",2010-10-24,3.028,NA,NA
"614",2010-10-25,3.028,NA,NA
"615",2010-10-26,3.028,-80.17,80.17
"616",2010-10-27,3.028,-80.18,80.18
"617",2010-10-28,3.028,-80.19,80.19
"618",2010-10-29,3.028,-80.2,80.2
"619",2010-10-30,3.028,-80.21,80.21
"620",2010-10-31,3.028,-80.22,80.22
"621",2010-11-01,7.96,-80.23,80.23
"622",2010-11-02,7.96,-80.24,80.24
"623",2010-11-03,7.96,-80.25,80.25
"624",2010-11-04,7.96,-80.26,80.26
"625",2010-11-05,7.96,-80.27,80.27
"626",2010-11-06,7.96,-80.28,80.28
"627",2010-11-07,7.96,-80.29,80.29
"628",2010-11-08,7.96,-80.3,80.3
"629",2010-11-09,7.96,-80.31,80.31
"630",2010-11-10,7.96,-80.32,80.32
"631",2010-11-11,7.96,-80.33,80.33
"632",2010-11-12,7.96,-80.34,80.34
"633",2010-11-13,7.96,-80.35,80.35
