"","Date","Rainfall_Le_Croci","Rainfall_Cavallina","Rainfall_S_Agata","Rainfall_Mangona","Rainfall_S_Piero","Rainfall_Vernio","Rainfall_Stia","Rainfall_Consuma","Rainfall_Incisa","Rainfall_Montevarchi","Rainfall_S_Savino","Rainfall_Laterina","Rainfall_Bibbiena","Rainfall_Camaldoli","Temperature_Firenze","Hydrometry_Nave_di_Rosano","Season"
"58",2011-02-28,3,0.2,0,1,0,0,9.8,9.3,5.6,2,2,2,9.8,9.9,9.1,1.94,"Winter"
"59",2011-03-01,0.2,0,3.2,0,0.4,0.4,10.6,9.6,0,4,4,4,10.6,9.6,7.55,1.66,"Spring"
"60",2011-03-02,0,0.2,2.4,0.4,0.6,0.2,3.7,10.3,2.6,6,10,6,4.9,10.3,5.65,1.76,"Spring"
"61",2011-03-03,2,0.8,4.4,1.6,1.6,0.8,1.6,2.6,0,3,2,3,1.8,2.8,5.5,1.59,"Spring"
"62",2011-03-04,0,0,0,0,0,0,0,0,0.2,0,1,0,0,0,7.65,1.53,"Spring"
"63",2011-03-05,0,0.4,0.2,0,0,0,4,4,0,4,5,4,4,4,9.35,1.6,"Spring"
"64",2011-03-06,0.2,0,0,0,0,0,1,1,2.8,1,1,1,1,1,11.8,1.64,"Spring"
"65",2011-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,1.64,"Spring"
"66",2011-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,1.61,"Spring"
"67",2011-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.65,"Spring"
"68",2011-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,1.65,"Spring"
"69",2011-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,1.68,"Spring"
"70",2011-03-12,0.2,0.2,0,0.2,0,0.4,0,0,0,0,0,0,0,0,9.45,1.7,"Spring"
"71",2011-03-13,38.8,37.4,31.8,36.4,33.8,44,13,13,0,10,10,10,13,13,10.25,1.91,"Spring"
"72",2011-03-14,13,9.8,18.4,22.4,14.2,23.8,15,15,13.6,11,11,11,15,15,14.8,2.45,"Spring"
"73",2011-03-15,14,13,14.6,13.6,13.4,18,6,6,7.8,6,6,6,6,6,15.5,2.88,"Spring"
"74",2011-03-16,49,35.8,22.4,27.8,21.2,35.2,27,27,15.4,21,18,21,27,27,13.55,3.72,"Spring"
"75",2011-03-17,10.8,10.6,5.6,9,5.8,13.2,10,10,10.8,10,8,10,10,10,12.65,4.08,"Spring"
"76",2011-03-18,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,14.3,3.07,"Spring"
"77",2011-03-19,0.2,0.2,0.8,0,0.8,0.6,6,6,0,2,0,2,6,6,12.3,2.64,"Spring"
"78",2011-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,2.45,"Spring"
"79",2011-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,2.32,"Spring"
"80",2011-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,2.24,"Spring"
"81",2011-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,1.91,"Spring"
"82",2011-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.05,1.87,"Spring"
"83",2011-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,1.85,"Spring"
"84",2011-03-26,0,0,0,0,0,0,2,2,0,2,2,2,2,2,13.2,1.89,"Spring"
"85",2011-03-27,6.2,3.2,3.4,2.6,3.4,5.4,1,1,0,1,1,1,1,1,12.35,1.94,"Spring"
"86",2011-03-28,41.6,35.8,24.2,29.2,27.4,39.6,18,18,6.2,15,11,15,18,18,13.6,2.15,"Spring"
"87",2011-03-29,0.8,0.6,0,0,0.2,0.4,1,1,17.8,4,0,4,1,1,15.15,2.09,"Spring"
"88",2011-03-30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13.85,2.13,"Spring"
"89",2011-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,2,"Spring"
"90",2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,1.77,"Spring"
"91",2011-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,1.83,"Spring"
"92",2011-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55,1.68,"Spring"
"93",2011-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.55,1.75,"Spring"
"94",2011-04-05,0,0,0,0,0,0,8,8,0,2,0,2,8,8,16.4,1.66,"Spring"
"95",2011-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,1.6,"Spring"
"96",2011-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,1.62,"Spring"
"97",2011-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,1.64,"Spring"
"98",2011-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.53,"Spring"
"99",2011-04-10,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,20.85,1.56,"Spring"
"100",2011-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05,1.54,"Spring"
"101",2011-04-12,2,0,0.2,0,0.4,0,3,3,0,3,0,3,3,3,16.8,1.42,"Spring"
"102",2011-04-13,1.4,1.4,1.6,0,1.8,0,6,6,1.4,6,6,6,6,6,14.1,1.52,"Spring"
"103",2011-04-14,0.8,0,0.2,1.4,0.2,1,6,6,0,5,5,5,6,6,12.6,1.44,"Spring"
"104",2011-04-15,4.8,3.6,3.8,4,4.4,5.2,6,6,1.6,4,5,4,6,6,12.4,1.57,"Spring"
"105",2011-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.85,1.41,"Spring"
"106",2011-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,1.37,"Spring"
"107",2011-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,1.37,"Spring"
"108",2011-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,1.38,"Spring"
"109",2011-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.31,"Spring"
"110",2011-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,1.39,"Spring"
"111",2011-04-22,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,17.05,1.43,"Spring"
"112",2011-04-23,1.4,1.2,1,0.4,1.2,0.8,2,2,0.8,1,2,1,2,2,17.05,1.32,"Spring"
"113",2011-04-24,0.8,0.4,0.4,0.2,0.6,0.2,6,6,1.4,2,1,2,6,6,17,1.27,"Spring"
"114",2011-04-25,0,0,0,0,0,0.2,0,0,0,0,3,0,0,0,17.2,1.43,"Spring"
"115",2011-04-26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18.8,1.4,"Spring"
"116",2011-04-27,0,0,0,0,0.4,0,0,0,4,0,0,0,0,0,18.25,1.23,"Spring"
"117",2011-04-28,0,0,0,0,0,0,2,2,0,0,3,0,2,2,15.1,1.23,"Spring"
"118",2011-04-29,4.4,3.4,13.2,1,1.6,0,6,6,0,2,2,2,6,6,16.95,1.22,"Spring"
"119",2011-04-30,1.8,1.4,1.2,0.8,2,1.4,4,4,4.6,0,4,0,4,4,16.55,1.23,"Spring"
"120",2011-05-01,1,0.4,0.2,0.4,0.4,0.2,0,0,0,0,0,0,0,0,19.55,1.22,"Spring"
"121",2011-05-02,1.6,0.6,2.4,2.2,2.6,1,5,5,0,5,4,5,5,5,16.75,1.39,"Spring"
"122",2011-05-03,0.2,0.2,0,0,0,0,3,3,0.2,1,2,1,3,3,19.4,1.39,"Spring"
"123",2011-05-04,0,0,0.4,1,0.4,0.4,2,2,0,2,2,2,2,2,16.85,1.25,"Spring"
"124",2011-05-05,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,15.75,1.21,"Spring"
"125",2011-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,1.19,"Spring"
"126",2011-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75,1.18,"Spring"
"127",2011-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35,1.18,"Spring"
"128",2011-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,1.17,"Spring"
"129",2011-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,1.16,"Spring"
"130",2011-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,1.17,"Spring"
"131",2011-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.55,1.16,"Spring"
"132",2011-05-13,0,0,0,0,0,0,6,6,0,0,0,0,6,6,20.95,1.15,"Spring"
"133",2011-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95,1.15,"Spring"
"134",2011-05-15,3.6,7.8,13.6,5,11,5.8,19,19,0,13,28,13,19,19,15.75,1.33,"Spring"
"135",2011-05-16,0,0.2,0.6,0,0,0,3,3,7.2,0,0,0,3,3,17.1,1.33,"Spring"
"136",2011-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,1.17,"Spring"
"137",2011-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,1.15,"Spring"
"138",2011-05-19,0,0,0,0,0,0,9,9,0,2,0,2,9,9,21.25,1.15,"Spring"
"139",2011-05-20,0,0,0,0.6,0,0,5,5,0.2,2,2,2,5,5,22.5,1.16,"Spring"
"140",2011-05-21,0,0,0,0,0,0.2,5,5,0,2,0,2,5,5,21.9,1.16,"Spring"
"141",2011-05-22,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,22.35,1.15,"Spring"
"142",2011-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,1.14,"Spring"
"143",2011-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,1.13,"Spring"
"144",2011-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.45,1.16,"Spring"
"145",2011-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,1.15,"Spring"
"146",2011-05-27,0,0,0,0.4,0,0,3,3,0,0,0,0,3,3,23.3,1.12,"Spring"
"147",2011-05-28,0,0,1,0,0,0,6,6,0,2,3,2,6,6,22.9,1.1,"Spring"
"148",2011-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.65,1.09,"Spring"
"149",2011-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,1.09,"Spring"
"150",2011-05-31,0,0,0,0,0,0,5,5,0,2,2,2,5,5,21.95,1.1,"Spring"
"151",2011-06-01,3.2,2.8,2.4,2,2.8,1.8,2,2,6.4,0,2,0,2,2,21.9,1.12,"Summer"
"152",2011-06-02,0,0,0,0,0,0,0,0,0,2,3,2,0,0,21.75,1.11,"Summer"
"153",2011-06-03,0,0,0,0,0,0,0,0,0,3,3,3,0,0,24.05,1.1,"Summer"
"154",2011-06-04,0,0,3.2,0,0,0,11,11,0,9,5,9,11,11,24.1,1.1,"Summer"
"155",2011-06-05,74,56.8,32.6,52,43.2,24,11,11,6,9,11,9,11,11,24.1,1.36,"Summer"
"156",2011-06-06,0,0.2,0,14.8,0.2,25.2,8,8,14.6,2,0,2,8,8,21.8,1.47,"Summer"
"157",2011-06-07,23.4,23.2,42.8,34.6,37.4,32,15,15,5.2,11,7,11,15,15,21.65,1.35,"Summer"
"158",2011-06-08,14,6,2.2,4.6,5,3.2,5,5,4.8,5,3,5,5,5,19.95,1.64,"Summer"
"159",2011-06-09,6.2,1.8,3.8,14.8,1,10.8,2,2,9.4,2,2,2,2,2,19.9,1.51,"Summer"
"160",2011-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,1.39,"Summer"
"161",2011-06-11,0,0,0,0,0,0,8,8,0,3,3,3,8,8,21.05,1.29,"Summer"
"162",2011-06-12,1,0,2,0,2,0.6,6,6,0,3,0,3,6,6,22.25,1.24,"Summer"
"163",2011-06-13,0,0,5.4,0.4,0.2,0,0,0,2.4,0,0,0,0,0,21.1,1.24,"Summer"
"164",2011-06-14,0,0,0,0,0,0.2,2,2,0,2,2,2,2,2,22.15,1.27,"Summer"
"165",2011-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,1.18,"Summer"
"166",2011-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,1.16,"Summer"
"167",2011-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.95,1.15,"Summer"
"168",2011-06-18,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,25.85,1.15,"Summer"
"169",2011-06-19,0,0,0.4,1.2,0,0.4,4,4,0,2,0,2,4,4,22.5,1.13,"Summer"
"170",2011-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,1.11,"Summer"
"171",2011-06-21,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,24.15,1.11,"Summer"
"172",2011-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25,1.11,"Summer"
"173",2011-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,1.11,"Summer"
"174",2011-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55,1.15,"Summer"
"175",2011-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.95,1.1,"Summer"
"176",2011-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35,1.1,"Summer"
"177",2011-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.75,1.09,"Summer"
"178",2011-06-28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27.8,1.09,"Summer"
"179",2011-06-29,0,0,0,0,0,0,3,3,0,3,3,3,3,3,28,1.09,"Summer"
"180",2011-06-30,0,0,0,0,0,0,11,11,0,2,0,2,11,11,26.7,1.09,"Summer"
"181",2011-07-01,7,2.8,6.2,5.8,0.4,12.4,10,10,1.8,10,2,10,10,10,25.25,1.19,"Summer"
"182",2011-07-02,1.2,1,0.4,0.8,0.6,1,2,2,14.8,2,2,2,2,2,21.85,1.22,"Summer"
"183",2011-07-03,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,22.1,1.12,"Summer"
"184",2011-07-04,0.6,0,1,0.8,0,0.8,0,0,0,0,0,0,0,0,24,1.09,"Summer"
"185",2011-07-05,5.2,2.6,0,0,0.2,0.4,7,7,0,10,10,10,7,7,25.3,1.09,"Summer"
"186",2011-07-06,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,26.4,1.09,"Summer"
"187",2011-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.35,1.09,"Summer"
"188",2011-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,1.1,"Summer"
"189",2011-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,1.09,"Summer"
"190",2011-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,1.08,"Summer"
"191",2011-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,1.08,"Summer"
"192",2011-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,1.09,"Summer"
"193",2011-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.55,1.1,"Summer"
"194",2011-07-14,0,0,0,0,0,0,2,2,0,0,0,0,2,2,27.8,1.08,"Summer"
"195",2011-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.05,1.07,"Summer"
"196",2011-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.45,1.07,"Summer"
"197",2011-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.65,1.08,"Summer"
"198",2011-07-18,19.4,10.2,12.2,0.4,4,1.2,2,2,0,2,0,2,2,2,23.4,1.08,"Summer"
"199",2011-07-19,7.6,6.6,3.8,13.6,3.2,16.2,6,6,0,2,2,2,6,6,21.9,1.08,"Summer"
"200",2011-07-20,4.6,1.4,3.2,1.4,0.2,1.8,8,8,10.8,2,0,2,8,8,21.15,1.14,"Summer"
"201",2011-07-21,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,21.6,1.1,"Summer"
"202",2011-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,1.08,"Summer"
"203",2011-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.25,1.08,"Summer"
"204",2011-07-24,0,3.2,5.6,0,19.2,0.4,12,12,0,8,0,8,12,12,20,1.15,"Summer"
"205",2011-07-25,0.2,0,0,0,0,0,2,2,17,5,5,5,2,2,19.9,1.15,"Summer"
"206",2011-07-26,4,2,0,0,0.2,0,2,2,0,3,3,3,2,2,22.55,1.12,"Summer"
"207",2011-07-27,5,3.8,6.2,4.4,4.4,4.8,18,18,1,18,58,18,18,18,20.2,1.14,"Summer"
"208",2011-07-28,0,0,0,0,0,0,4,4,9.6,2,2,2,4,4,22.8,1.18,"Summer"
"209",2011-07-29,0,0.4,1.6,6.4,1,16.2,2,2,0,3,3,3,2,2,22.45,1.14,"Summer"
"210",2011-07-30,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,23.85,1.13,"Summer"
"211",2011-07-31,0,0,0,0,0,0.4,3,3,0,3,3,3,3,3,24.55,1.12,"Summer"
"212",2011-08-01,0.8,0.2,3,0,5.8,0.2,5,10,0,0,6,0,5,5,24.3,1.13,"Summer"
"213",2011-08-02,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,25.35,1.11,"Summer"
"214",2011-08-03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.1,1.11,"Summer"
"215",2011-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,1.11,"Summer"
"216",2011-08-05,0,0,0,0,0,0,3,7,0,3,3,3,3,3,26.75,1.11,"Summer"
"217",2011-08-06,0,0,0,0,0,0,3,0,0,0,0,0,3,3,26.25,1.11,"Summer"
"218",2011-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.45,1.12,"Summer"
"219",2011-08-08,7.8,4,2.8,4,2.8,5.2,3,0,0,3,0,3,3,3,26.25,1.14,"Summer"
"220",2011-08-09,0,0,0,0,0,0,2,0,0,0,0,0,2,2,24.15,1.11,"Summer"
"221",2011-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,1.09,"Summer"
"222",2011-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,1.09,"Summer"
"223",2011-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,1.08,"Summer"
"224",2011-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.15,1.1,"Summer"
"225",2011-08-14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,1.11,"Summer"
"226",2011-08-15,0,0,0,0,0,0,2,0,0,0,0,0,2,2,25.55,1.12,"Summer"
"227",2011-08-16,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,27.35,1.11,"Summer"
"228",2011-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.15,1.11,"Summer"
"229",2011-08-18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29.15,1.11,"Summer"
"230",2011-08-19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,28.4,1.1,"Summer"
"231",2011-08-20,0,0,0,0,0,0,0,8,0,0,0,0,0,0,28.7,1.11,"Summer"
"232",2011-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.12,"Summer"
"233",2011-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.65,1.12,"Summer"
"234",2011-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05,1.11,"Summer"
"235",2011-08-24,0,0,0,0,0,0,0,12,0,0,0,0,0,0,28.75,1.1,"Summer"
"236",2011-08-25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28.3,1.09,"Summer"
"237",2011-08-26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28.85,1.09,"Summer"
"238",2011-08-27,0,0,0,0,0,0,5,18,0,3,0,3,5,5,24.3,1.09,"Summer"
"239",2011-08-28,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24.6,1.09,"Summer"
"240",2011-08-29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24.55,1.08,"Summer"
"241",2011-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,1.08,"Summer"
"242",2011-08-31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24.65,1.09,"Summer"
"243",2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.65,1.08,"Autumn"
"244",2011-09-02,0,0,0,0,0,0,2,2,0,0,0,0,2,2,26.45,1.09,"Autumn"
"245",2011-09-03,0,0,0,0,0,0,2,2,0,0,0,0,2,2,28.35,1.1,"Autumn"
