"","Date","Rainfall_S_Piero","Rainfall_Mangona","Rainfall_S_Agata","Rainfall_Cavallina","Rainfall_Le_Croci","Temperature_Le_Croci","Lake_Level","Flow_Rate","Season","Rainfall_mean","Year","Month","Day","Spring","Summer","Autumn","Winter","snow.yes","snow.no","Y_m","Semester","Quarters","Trimonthly","Fl_rate.Tri","Fl_rate.Quar","Fl_rate.Sem","lag1","lag3","lag5","lag7","rain1","seq.rain.val"
"15",2004-01-16,3.2,11.4,4.6,5.6,4.4,5.45,251.7,0.5,"Winter",5.84,"2004","1","16","0","0","0","1","0","0",2004-01-16,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,6,0.6,0,7.8,4.4,1
"16",2004-01-17,19.6,49.6,20.2,36.4,18.2,4.9,251.8,21.6,"Winter",28.8,"2004","1","17","0","0","0","1","0","0",2004-01-17,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,4.4,0,3.6,0,18.2,1
"17",2004-01-18,27,40.2,26.6,25.2,24.8,8.35,252.32,32.8,"Winter",28.76,"2004","1","18","0","0","0","1","0","0",2004-01-18,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,18.2,6,0.6,0,24.8,1
"18",2004-01-19,0,0,0,0.2,0,5.55,252.21,37,"Winter",0.04,"2004","1","19","0","0","0","1","0","1",2004-01-19,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,24.8,4.4,0,3.6,0,1
"19",2004-01-20,0.2,0,0,0,0,3.15,252.05,19,"Winter",0.04,"2004","1","20","0","0","0","1","0","1",2004-01-20,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,18.2,6,0.6,0,2
"20",2004-01-21,0,0,0,0,0,4.2,251.98,11.5,"Winter",0,"2004","1","21","0","0","0","1","0","1",2004-01-21,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,24.8,4.4,0,0,3
"21",2004-01-22,0,0,0,0,0,4.25,251.91,8.5,"Winter",0,"2004","1","22","0","0","0","1","0","1",2004-01-22,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,18.2,6,0,4
"22",2004-01-23,0,0,0,0,0,2.75,251.86,7,"Winter",0,"2004","1","23","0","0","0","1","0","1",2004-01-23,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,24.8,4.4,0,5
"23",2004-01-24,0,0,0,0,0,2.4,251.82,6,"Winter",0,"2004","1","24","0","0","0","1","0","1",2004-01-24,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,18.2,0,6
"24",2004-01-25,0.2,2.2,0.6,1.2,1.8,1.9,251.81,6,"Winter",1.2,"2004","1","25","0","0","0","1","0","0",2004-01-25,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,24.8,1.8,1
"25",2004-01-26,0.6,0,0.2,0.2,0.4,-0.1,251.78,5.5,"Winter",0.28,"2004","1","26","0","0","0","1","1","0",2004-01-26,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,1.8,0,0,0,0,1
"26",2004-01-27,8.4,6.8,7.8,8.8,7.6,1.1,251.77,5.15,"Winter",7.88,"2004","1","27","0","0","0","1","0","0",2004-01-27,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,0,7.6,1
"27",2004-01-28,3.6,1.8,0.6,0.6,4.8,2.15,251.75,4.95,"Winter",2.28,"2004","1","28","0","0","0","1","0","0",2004-01-28,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,7.6,1.8,0,0,4.8,1
"28",2004-01-29,0,0,0,0,0.2,0.6,251.72,5,"Winter",0.04,"2004","1","29","0","0","0","1","0","0",2004-01-29,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,4.8,0,0,0,0,1
"29",2004-01-30,6.8,13,19.2,12.6,20.6,-0.1,251.73,5.05,"Winter",14.44,"2004","1","30","0","0","0","1","1","0",2004-01-30,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,7.6,1.8,0,20.6,1
"30",2004-01-31,5.8,0.2,0,5.4,4.2,1.7,251.71,5,"Winter",3.12,"2004","1","31","0","0","0","1","0","0",2004-01-31,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,20.6,4.8,0,0,4.2,1
"31",2004-02-01,8.2,0.6,0,12.8,0,1.65,251.7,4.8,"Winter",4.32,"2004","2","1","0","0","0","1","0","1",2004-02-01,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,4.2,0,7.6,1.8,0,1
"32",2004-02-02,0,0.2,0,1.6,0,4.55,251.7,4.6,"Winter",0.36,"2004","2","2","0","0","0","1","0","1",2004-02-02,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,20.6,4.8,0,0,2
"33",2004-02-03,0,0,0,0,0,6.75,251.75,5.25,"Winter",0,"2004","2","3","0","0","0","1","0","1",2004-02-03,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,4.2,0,7.6,0,3
"34",2004-02-04,0,0,0,0,0,8.2,251.79,5.8,"Winter",0,"2004","2","4","0","0","0","1","0","1",2004-02-04,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,20.6,4.8,0,4
"35",2004-02-05,0,0,0,0,0,6.55,251.79,5.9,"Winter",0,"2004","2","5","0","0","0","1","0","1",2004-02-05,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,4.2,0,0,5
"36",2004-02-06,0,0,0,0.2,0.2,7.65,251.77,6,"Winter",0.08,"2004","2","6","0","0","0","1","0","0",2004-02-06,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,20.6,0,6
"37",2004-02-07,3.2,8.2,6.4,4.4,4.2,9.4,251.75,5.8,"Winter",5.28,"2004","2","7","0","0","0","1","0","0",2004-02-07,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,4.2,4.2,1
"38",2004-02-08,1.2,1.4,1.6,1.4,0.8,8.9,251.76,6.1,"Winter",1.28,"2004","2","8","0","0","0","1","0","0",2004-02-08,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,4.2,0,0,0,0.8,1
"39",2004-02-09,0,0,0,0,0,9.5,251.75,6.6,"Winter",0,"2004","2","9","0","0","0","1","0","1",2004-02-09,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0.8,0,0,0,0,1
"40",2004-02-10,0.2,0,0,0,0,7.85,251.73,6.8,"Winter",0.04,"2004","2","10","0","0","0","1","0","1",2004-02-10,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,4.2,0,0,0,2
"41",2004-02-11,0,0,0,0,0,8.3,251.7,6.3,"Winter",0,"2004","2","11","0","0","0","1","0","1",2004-02-11,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0.8,0,0,0,3
"42",2004-02-12,0.2,0,0,0,0.2,7.05,251.68,3.5,"Winter",0.08,"2004","2","12","0","0","0","1","0","0",2004-02-12,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,4.2,0,0,4
"43",2004-02-13,0,0,0.2,0,0,6.25,251.68,3.5,"Winter",0.04,"2004","2","13","0","0","0","1","0","1",2004-02-13,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0.8,0,0,5
"44",2004-02-14,0,0,0,0,0,5.4,251.68,3.6,"Winter",0,"2004","2","14","0","0","0","1","0","1",2004-02-14,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,4.2,0,6
"45",2004-02-15,0,0,0,0,0,5.8,251.68,3.7,"Winter",0,"2004","2","15","0","0","0","1","0","1",2004-02-15,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,0.8,0,7
"46",2004-02-16,0,0,0,0,0,8.75,251.68,3.8,"Winter",0,"2004","2","16","0","0","0","1","0","1",2004-02-16,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0,8
"47",2004-02-17,0,0,0,0,0,8.8,251.67,4,"Winter",0,"2004","2","17","0","0","0","1","0","1",2004-02-17,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0,9
"48",2004-02-18,10,11.6,8.2,8.8,11.6,6.55,251.66,4.2,"Winter",10.04,"2004","2","18","0","0","0","1","0","0",2004-02-18,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,11.6,1
"49",2004-02-19,23.4,21.4,20.6,23.2,25,3.15,251.73,5.3,"Winter",22.72,"2004","2","19","0","0","0","1","0","0",2004-02-19,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,11.6,0,0,0,25,1
"50",2004-02-20,1.4,1.4,1.4,0.6,2.8,3.05,251.88,6,"Winter",1.52,"2004","2","20","0","0","0","1","0","0",2004-02-20,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,25,0,0,0,2.8,1
"51",2004-02-21,14.4,26,13.8,18,18.8,5.75,251.89,6.7,"Winter",18.2,"2004","2","21","0","0","0","1","0","0",2004-02-21,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,2.8,11.6,0,0,18.8,1
"52",2004-02-22,14.6,27.4,16.4,25.2,28.4,9.15,252.14,17.6,"Winter",22.4,"2004","2","22","0","0","0","1","0","0",2004-02-22,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,18.8,25,0,0,28.4,1
"53",2004-02-23,13.2,29.2,21.8,29,23.8,10.05,252.28,44.5,"Winter",23.4,"2004","2","23","0","0","0","1","0","0",2004-02-23,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,28.4,2.8,11.6,0,23.8,1
"54",2004-02-24,0,0.2,0,0,0,8.25,252.11,33.5,"Winter",0.04,"2004","2","24","0","0","0","1","0","1",2004-02-24,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,23.8,18.8,25,0,0,1
"55",2004-02-25,3.4,3.4,2.8,3.2,5.2,1.65,251.96,8.1,"Winter",3.6,"2004","2","25","0","0","0","1","0","0",2004-02-25,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,28.4,2.8,11.6,5.2,1
"56",2004-02-26,12.4,14.8,12.8,16.6,16.2,2.2,251.96,9.6,"Winter",14.56,"2004","2","26","0","0","0","1","0","0",2004-02-26,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,5.2,23.8,18.8,25,16.2,1
"57",2004-02-27,2.4,2.4,1.6,3.4,2.4,3.1,252.03,12.4,"Winter",2.44,"2004","2","27","0","0","0","1","0","0",2004-02-27,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,16.2,0,28.4,2.8,2.4,1
"58",2004-02-28,10.6,1.4,7.2,9,0.6,4.55,251.99,12.2,"Winter",5.76,"2004","2","28","0","0","0","1","0","0",2004-02-28,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,2.4,5.2,23.8,18.8,0.6,1
"59",2004-02-29,4.4,13.2,7,17,17.4,0.45,251.98,11.8,"Winter",11.8,"2004","2","29","0","0","0","1","0","0",2004-02-29,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0.6,16.2,0,28.4,17.4,1
"60",2004-03-01,0,4.6,0,0.4,7.6,1.6,251.99,8.9,"Spring",2.52,"2004","3","1","0","0","0","1","0","0",2004-03-01,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,17.4,2.4,5.2,23.8,7.6,1
"61",2004-03-02,0,0,0,0,0,1.55,251.95,8.6,"Spring",0,"2004","3","2","0","0","0","1","0","1",2004-03-02,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,7.6,0.6,16.2,0,0,1
"62",2004-03-03,0,0,0,0,0,2.7,251.9,7.1,"Spring",0,"2004","3","3","0","0","0","1","0","1",2004-03-03,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,17.4,2.4,5.2,0,2
"63",2004-03-04,0,0,0,0,0,7.2,251.91,6.1,"Spring",0,"2004","3","4","0","0","0","1","0","1",2004-03-04,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,7.6,0.6,16.2,0,3
"64",2004-03-05,0,0,0,0,0,8.7,251.91,6.2,"Spring",0,"2004","3","5","0","0","0","1","0","1",2004-03-05,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,17.4,2.4,0,4
"65",2004-03-06,11.4,13.8,9.2,16.2,20.8,7.75,251.91,6.3,"Spring",14.28,"2004","3","6","0","0","0","1","0","0",2004-03-06,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,7.6,0.6,20.8,1
"66",2004-03-07,5.6,7.4,6.6,6.8,11.2,3.35,252,7.7,"Spring",7.52,"2004","3","7","0","0","0","1","0","0",2004-03-07,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,20.8,0,0,17.4,11.2,1
"67",2004-03-08,0.2,1.8,0.6,0.2,0.4,1.35,251.98,7.9,"Spring",0.64,"2004","3","8","0","0","0","1","0","0",2004-03-08,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,11.2,0,0,7.6,0,1
"68",2004-03-09,0,0,0,0,0,2.85,251.96,7,"Spring",0,"2004","3","9","0","0","0","1","0","1",2004-03-09,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,20.8,0,0,0,2
"69",2004-03-10,1,4.4,1.6,2.2,2.2,5.05,251.94,6.4,"Spring",2.28,"2004","3","10","0","0","0","1","0","0",2004-03-10,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,11.2,0,0,2.2,1
"70",2004-03-11,7.2,14.4,7.6,7.8,8.6,6.05,251.93,6.7,"Spring",9.12,"2004","3","11","0","0","0","1","0","0",2004-03-11,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,2.2,0,20.8,0,8.6,1
"71",2004-03-12,0,0,0,0.2,0,4.3,251.95,7.1,"Spring",0.04,"2004","3","12","0","0","0","1","0","1",2004-03-12,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,8.6,0,11.2,0,0,1
"72",2004-03-13,0,0,0,0,0,7.05,251.94,7.3,"Spring",0,"2004","3","13","0","0","0","1","0","1",2004-03-13,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,2.2,0,20.8,0,2
"73",2004-03-14,0,0,0,0,0,10.25,251.93,6.9,"Spring",0,"2004","3","14","0","0","0","1","0","1",2004-03-14,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,8.6,0,11.2,0,3
"74",2004-03-15,0,0,0,0,0,12.5,251.91,6.9,"Spring",0,"2004","3","15","0","0","0","1","0","1",2004-03-15,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,2.2,0,0,4
"75",2004-03-16,0,0,0,0,0,14.6,251.88,6.2,"Spring",0,"2004","3","16","0","0","0","1","0","1",2004-03-16,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,8.6,0,0,5
"76",2004-03-17,0,0,0,0,0,14.45,251.86,5.6,"Spring",0,"2004","3","17","0","0","0","1","0","1",2004-03-17,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,2.2,0,6
"77",2004-03-18,0,0,0,0,0,16.45,251.84,5.6,"Spring",0,"2004","3","18","0","0","0","1","0","1",2004-03-18,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,8.6,0,7
"78",2004-03-19,0,0,0,0,0,14.25,251.84,5.2,"Spring",0,"2004","3","19","0","0","0","1","0","1",2004-03-19,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0,8
"79",2004-03-20,0,0.4,1.2,0.2,0.6,9.6,251.84,4.6,"Spring",0.48,"2004","3","20","0","0","0","1","0","0",2004-03-20,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0.6,1
"80",2004-03-21,1,2.2,1.4,1.8,1.2,10.9,251.84,4.6,"Spring",1.52,"2004","3","21","1","0","0","0","0","0",2004-03-21,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0.6,0,0,0,1.2,1
"81",2004-03-22,0,0.6,0,0,0,11.85,251.83,4.6,"Spring",0.12,"2004","3","22","1","0","0","0","0","1",2004-03-22,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,1.2,0,0,0,0,1
"82",2004-03-23,5.6,11,5,7.2,9,10.3,251.84,4.8,"Spring",7.56,"2004","3","23","1","0","0","0","0","0",2004-03-23,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0.6,0,0,9,1
"83",2004-03-24,0.2,0.2,0,0,1.2,6.8,251.83,4.8,"Spring",0.32,"2004","3","24","1","0","0","0","0","0",2004-03-24,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,9,1.2,0,0,1.2,1
"84",2004-03-25,1.6,0.4,0.4,1,2.6,6.85,251.8,4.8,"Spring",1.2,"2004","3","25","1","0","0","0","0","0",2004-03-25,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,1.2,0,0.6,0,2.6,1
"85",2004-03-26,0,0.2,0,0,0.4,6.9,251.78,4.7,"Spring",0.12,"2004","3","26","1","0","0","0","0","0",2004-03-26,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,2.6,9,1.2,0,0,1
"86",2004-03-27,0,0,0,0,0,8,251.77,4.6,"Spring",0,"2004","3","27","1","0","0","0","0","1",2004-03-27,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,1.2,0,0.6,0,2
"87",2004-03-28,0,0,0,0,0,9.35,251.75,4.6,"Spring",0,"2004","3","28","1","0","0","0","0","1",2004-03-28,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,2.6,9,1.2,0,3
"88",2004-03-29,0,0,0,0,0,10.45,251.72,0.6,"Spring",0,"2004","3","29","1","0","0","0","0","1",2004-03-29,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,1.2,0,0,4
"89",2004-03-30,0,0,0,0,0,11.6,251.73,0.6,"Spring",0,"2004","3","30","1","0","0","0","0","1",2004-03-30,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,2.6,9,0,5
"90",2004-03-31,8.2,8,8.2,8.8,10.2,11.2,251.74,0.6,"Spring",8.68,"2004","3","31","1","0","0","0","0","0",2004-03-31,2004.1,1,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,1.2,10.2,1
"91",2004-04-01,0,0,0,0,0,9.75,251.75,0.6,"Spring",0,"2004","4","1","1","0","0","0","0","1",2004-04-01,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,10.2,0,0,2.6,0,1
"92",2004-04-02,0,0,0,0,0,12.45,251.76,0.6,"Spring",0,"2004","4","2","1","0","0","0","0","1",2004-04-02,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0,2
"93",2004-04-03,0,0,0,0,0,15,251.77,0.6,"Spring",0,"2004","4","3","1","0","0","0","0","1",2004-04-03,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,10.2,0,0,0,3
"94",2004-04-04,0,0,0,0,0,15.95,251.78,0.6,"Spring",0,"2004","4","4","1","0","0","0","0","1",2004-04-04,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0,4
"95",2004-04-05,0,0,0,0,0,14.3,251.8,0.6,"Spring",0,"2004","4","5","1","0","0","0","0","1",2004-04-05,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,10.2,0,0,5
"96",2004-04-06,0.2,1,0,0,0,12.4,251.82,0.6,"Spring",0.24,"2004","4","6","1","0","0","0","0","1",2004-04-06,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0,6
"97",2004-04-07,13.4,12.6,11.2,17,23.6,10.75,251.84,0.6,"Spring",15.56,"2004","4","7","1","0","0","0","0","0",2004-04-07,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,10.2,23.6,1
"98",2004-04-08,0.2,0.4,0,0,0.2,6.5,251.87,0.6,"Spring",0.16,"2004","4","8","1","0","0","0","0","0",2004-04-08,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,23.6,0,0,0,0,1
"99",2004-04-09,7.2,7.4,8.4,8.4,10.4,11.6,251.9,0.6,"Spring",8.36,"2004","4","9","1","0","0","0","0","0",2004-04-09,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,10.4,1
"100",2004-04-10,0.2,0.4,0,0,0.2,8.3,251.93,0.6,"Spring",0.16,"2004","4","10","1","0","0","0","0","0",2004-04-10,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,10.4,23.6,0,0,0,1
"101",2004-04-11,0,0,0,0,0,9.3,251.95,0.6,"Spring",0,"2004","4","11","1","0","0","0","0","1",2004-04-11,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,0,0,0,2
"102",2004-04-12,0.6,3.6,5.2,1.2,2.4,12.15,251.98,0.6,"Spring",2.6,"2004","4","12","1","0","0","0","0","0",2004-04-12,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,10.4,23.6,0,2.4,1
"103",2004-04-13,0,0.2,0.2,0.2,0.4,7.05,252,0.6,"Spring",0.2,"2004","4","13","1","0","0","0","0","0",2004-04-13,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,2.4,0,0,0,0,1
"104",2004-04-14,0,0,0,0,0,9.3,252,0.6,"Spring",0,"2004","4","14","1","0","0","0","0","1",2004-04-14,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,0,10.4,23.6,0,2
"105",2004-04-15,0.4,3.4,2.4,2.4,1.8,10.65,252,0.6,"Spring",2.08,"2004","4","15","1","0","0","0","0","0",2004-04-15,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,0,2.4,0,0,1.8,1
"106",2004-04-16,14.4,19.4,14.8,19,19.8,11.45,252.01,2.9,"Spring",17.48,"2004","4","16","1","0","0","0","0","0",2004-04-16,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,1.8,0,0,10.4,19.8,1
"107",2004-04-17,6.2,3.6,6.4,3.2,4.2,12,252.08,7.4,"Spring",4.72,"2004","4","17","1","0","0","0","0","0",2004-04-17,2004.1,2,"2004-04-01",7.61978021978022,2.77820414937759,5.80994475138122,19.8,0,2.4,0,4.2,1
