"","Date","Rainfall_S_Piero","Rainfall_Mangona","Rainfall_S_Agata","Rainfall_Cavallina","Rainfall_Le_Croci","Temperature_Le_Croci","Lake_Level","Flow_Rate","Spring","Summer","Autumn","Winter","snow.yes","snow.no","lag1","lag3","lag5","lag7","lag9","rain4"
"25","2004-01-26",0.6,0,0.2,0.2,0.4,-0.1,251.78,5.5,"0","0","0","0","1","0",0,0,0,0,18.2,0
"26","2004-01-27",8.4,6.8,7.8,8.8,7.6,1.1,251.77,5.15,"0","0","0","0","0","0",0,0,0,0,24.8,7.6
"27","2004-01-28",3.6,1.8,0.6,0.6,4.8,2.15,251.75,4.95,"0","0","0","0","0","0",7.6,0,0,0,0,0
"28","2004-01-29",0,0,0,0,0.2,0.6,251.72,5,"0","0","0","0","0","0",0,0,0,0,0,0
"29","2004-01-30",6.8,13,19.2,12.6,20.6,-0.1,251.73,5.05,"0","0","0","0","1","0",0,7.6,0,0,0,20.6
"30","2004-01-31",5.8,0.2,0,5.4,4.2,1.7,251.71,5,"0","0","0","0","0","0",20.6,0,0,0,0,0
"31","2004-02-01",8.2,0.6,0,12.8,0,1.65,251.7,4.8,"0","0","0","0","0","1",0,0,7.6,0,0,0
"32","2004-02-02",0,0.2,0,1.6,0,4.55,251.7,4.6,"0","0","0","0","0","1",0,20.6,0,0,0,0
"33","2004-02-03",0,0,0,0,0,6.75,251.75,5.25,"0","0","0","0","0","1",0,0,0,7.6,1.8,0
"34","2004-02-04",0,0,0,0,0,8.2,251.79,5.8,"0","0","0","0","0","1",0,0,20.6,0,0.4,0
"35","2004-02-05",0,0,0,0,0,6.55,251.79,5.9,"0","0","0","0","0","1",0,0,0,0,7.6,0
"36","2004-02-06",0,0,0,0.2,0.2,7.65,251.77,6,"0","0","0","0","0","0",0,0,0,20.6,4.8,0
"37","2004-02-07",3.2,8.2,6.4,4.4,4.2,9.4,251.75,5.8,"0","0","0","0","0","0",0,0,0,0,0.2,0
"38","2004-02-08",1.2,1.4,1.6,1.4,0.8,8.9,251.76,6.1,"0","0","0","0","0","0",0,0,0,0,20.6,0
"39","2004-02-09",0,0,0,0,0,9.5,251.75,6.6,"0","0","0","0","0","1",0,0,0,0,4.2,0
"40","2004-02-10",0.2,0,0,0,0,7.85,251.73,6.8,"0","0","0","0","0","1",0,0,0,0,0,0
"41","2004-02-11",0,0,0,0,0,8.3,251.7,6.3,"0","0","0","0","0","1",0,0,0,0,0,0
"42","2004-02-12",0.2,0,0,0,0.2,7.05,251.68,3.5,"0","0","0","0","0","0",0,0,0,0,0,0
"43","2004-02-13",0,0,0.2,0,0,6.25,251.68,3.5,"0","0","0","0","0","1",0,0,0,0,0,0
"44","2004-02-14",0,0,0,0,0,5.4,251.68,3.6,"0","0","0","0","0","1",0,0,0,0,0,0
"45","2004-02-15",0,0,0,0,0,5.8,251.68,3.7,"0","0","0","0","0","1",0,0,0,0,0.2,0
"46","2004-02-16",0,0,0,0,0,8.75,251.68,3.8,"0","0","0","0","0","1",0,0,0,0,4.2,0
"47","2004-02-17",0,0,0,0,0,8.8,251.67,4,"0","0","0","0","0","1",0,0,0,0,0.8,0
"48","2004-02-18",10,11.6,8.2,8.8,11.6,6.55,251.66,4.2,"0","0","0","0","0","0",0,0,0,0,0,11.6
"49","2004-02-19",23.4,21.4,20.6,23.2,25,3.15,251.73,5.3,"0","0","0","0","0","0",11.6,0,0,0,0,25
"50","2004-02-20",1.4,1.4,1.4,0.6,2.8,3.05,251.88,6,"0","0","0","0","0","0",25,0,0,0,0,0
"51","2004-02-21",14.4,26,13.8,18,18.8,5.75,251.89,6.7,"0","0","0","0","0","0",0,11.6,0,0,0.2,18.8
"52","2004-02-22",14.6,27.4,16.4,25.2,28.4,9.15,252.14,17.6,"0","0","0","0","0","0",18.8,25,0,0,0,28.4
"53","2004-02-23",13.2,29.2,21.8,29,23.8,10.05,252.28,44.5,"0","0","0","0","0","0",28.4,0,11.6,0,0,23.8
"54","2004-02-24",0,0.2,0,0,0,8.25,252.11,33.5,"0","0","0","0","0","1",23.8,18.8,25,0,0,0
"55","2004-02-25",3.4,3.4,2.8,3.2,5.2,1.65,251.96,8.1,"0","0","0","0","0","0",0,28.4,0,11.6,0,5.2
"56","2004-02-26",12.4,14.8,12.8,16.6,16.2,2.2,251.96,9.6,"0","0","0","0","0","0",5.2,23.8,18.8,25,0,16.2
"57","2004-02-27",2.4,2.4,1.6,3.4,2.4,3.1,252.03,12.4,"0","0","0","0","0","0",16.2,0,28.4,0,11.6,0
"58","2004-02-28",10.6,1.4,7.2,9,0.6,4.55,251.99,12.2,"0","0","0","0","0","0",0,5.2,23.8,18.8,25,0
"59","2004-02-29",4.4,13.2,7,17,17.4,0.45,251.98,11.8,"0","0","0","0","0","0",0,16.2,0,28.4,2.8,17.4
"60","2004-03-01",0,4.6,0,0.4,7.6,1.6,251.99,8.9,"0","0","0","0","0","0",17.4,0,5.2,23.8,18.8,7.6
"61","2004-03-02",0,0,0,0,0,1.55,251.95,8.6,"0","0","0","0","0","1",7.6,0,16.2,0,28.4,0
"62","2004-03-03",0,0,0,0,0,2.7,251.9,7.1,"0","0","0","0","0","1",0,17.4,0,5.2,23.8,0
"63","2004-03-04",0,0,0,0,0,7.2,251.91,6.1,"0","0","0","0","0","1",0,7.6,0,16.2,0,0
"64","2004-03-05",0,0,0,0,0,8.7,251.91,6.2,"0","0","0","0","0","1",0,0,17.4,0,5.2,0
"65","2004-03-06",11.4,13.8,9.2,16.2,20.8,7.75,251.91,6.3,"0","0","0","0","0","0",0,0,7.6,0,16.2,20.8
"66","2004-03-07",5.6,7.4,6.6,6.8,11.2,3.35,252,7.7,"0","0","0","0","0","0",20.8,0,0,17.4,2.4,11.2
"67","2004-03-08",0.2,1.8,0.6,0.2,0.4,1.35,251.98,7.9,"0","0","0","0","0","0",11.2,0,0,7.6,0.6,0
"68","2004-03-09",0,0,0,0,0,2.85,251.96,7,"0","0","0","0","0","1",0,20.8,0,0,17.4,0
"69","2004-03-10",1,4.4,1.6,2.2,2.2,5.05,251.94,6.4,"0","0","0","0","0","0",0,11.2,0,0,7.6,0
"70","2004-03-11",7.2,14.4,7.6,7.8,8.6,6.05,251.93,6.7,"0","0","0","0","0","0",0,0,20.8,0,0,8.6
"71","2004-03-12",0,0,0,0.2,0,4.3,251.95,7.1,"0","0","0","0","0","1",8.6,0,11.2,0,0,0
"72","2004-03-13",0,0,0,0,0,7.05,251.94,7.3,"0","0","0","0","0","1",0,0,0,20.8,0,0
"73","2004-03-14",0,0,0,0,0,10.25,251.93,6.9,"0","0","0","0","0","1",0,8.6,0,11.2,0,0
"74","2004-03-15",0,0,0,0,0,12.5,251.91,6.9,"0","0","0","0","0","1",0,0,0,0,20.8,0
"75","2004-03-16",0,0,0,0,0,14.6,251.88,6.2,"0","0","0","0","0","1",0,0,8.6,0,11.2,0
"76","2004-03-17",0,0,0,0,0,14.45,251.86,5.6,"0","0","0","0","0","1",0,0,0,0,0.4,0
"77","2004-03-18",0,0,0,0,0,16.45,251.84,5.6,"0","0","0","0","0","1",0,0,0,8.6,0,0
"78","2004-03-19",0,0,0,0,0,14.25,251.84,5.2,"0","0","0","0","0","1",0,0,0,0,2.2,0
"79","2004-03-20",0,0.4,1.2,0.2,0.6,9.6,251.84,4.6,"0","0","0","0","0","0",0,0,0,0,8.6,0
"80","2004-03-21",1,2.2,1.4,1.8,1.2,10.9,251.84,4.6,"0","0","0","0","0","0",0,0,0,0,0,0
"81","2004-03-22",0,0.6,0,0,0,11.85,251.83,4.6,"0","0","0","0","0","1",0,0,0,0,0,0
"82","2004-03-23",5.6,11,5,7.2,9,10.3,251.84,4.8,"0","0","0","0","0","0",0,0,0,0,0,9
"83","2004-03-24",0.2,0.2,0,0,1.2,6.8,251.83,4.8,"0","0","0","0","0","0",9,0,0,0,0,0
"84","2004-03-25",1.6,0.4,0.4,1,2.6,6.85,251.8,4.8,"0","0","0","0","0","0",0,0,0,0,0,0
"85","2004-03-26",0,0.2,0,0,0.4,6.9,251.78,4.7,"0","0","0","0","0","0",0,9,0,0,0,0
"86","2004-03-27",0,0,0,0,0,8,251.77,4.6,"0","0","0","0","0","1",0,0,0,0,0,0
"87","2004-03-28",0,0,0,0,0,9.35,251.75,4.6,"0","0","0","0","0","1",0,0,9,0,0,0
"88","2004-03-29",0,0,0,0,0,10.45,251.72,0.6,"0","0","0","0","0","1",0,0,0,0,0.6,0
"89","2004-03-30",0,0,0,0,0,11.6,251.73,0.6,"0","0","0","0","0","1",0,0,0,9,1.2,0
"90","2004-03-31",8.2,8,8.2,8.8,10.2,11.2,251.74,0.6,"0","0","0","0","0","0",0,0,0,0,0,10.2
"91","2004-04-01",0,0,0,0,0,9.75,251.75,0.6,"0","0","0","0","0","1",10.2,0,0,0,9,0
"92","2004-04-02",0,0,0,0,0,12.45,251.76,0.6,"0","0","0","0","0","1",0,0,0,0,1.2,0
"93","2004-04-03",0,0,0,0,0,15,251.77,0.6,"0","0","0","0","0","1",0,10.2,0,0,2.6,0
"94","2004-04-04",0,0,0,0,0,15.95,251.78,0.6,"0","0","0","0","0","1",0,0,0,0,0.4,0
"95","2004-04-05",0,0,0,0,0,14.3,251.8,0.6,"0","0","0","0","0","1",0,0,10.2,0,0,0
"96","2004-04-06",0.2,1,0,0,0,12.4,251.82,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"97","2004-04-07",13.4,12.6,11.2,17,23.6,10.75,251.84,0.6,"0","0","0","0","0","0",0,0,0,10.2,0,23.6
"98","2004-04-08",0.2,0.4,0,0,0.2,6.5,251.87,0.6,"0","0","0","0","0","0",23.6,0,0,0,0,0
"99","2004-04-09",7.2,7.4,8.4,8.4,10.4,11.6,251.9,0.6,"0","0","0","0","0","0",0,0,0,0,10.2,10.4
"100","2004-04-10",0.2,0.4,0,0,0.2,8.3,251.93,0.6,"0","0","0","0","0","0",10.4,23.6,0,0,0,0
"101","2004-04-11",0,0,0,0,0,9.3,251.95,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"102","2004-04-12",0.6,3.6,5.2,1.2,2.4,12.15,251.98,0.6,"0","0","0","0","0","0",0,10.4,23.6,0,0,0
"103","2004-04-13",0,0.2,0.2,0.2,0.4,7.05,252,0.6,"0","0","0","0","0","0",0,0,0,0,0,0
"104","2004-04-14",0,0,0,0,0,9.3,252,0.6,"0","0","0","0","0","1",0,0,10.4,23.6,0,0
"105","2004-04-15",0.4,3.4,2.4,2.4,1.8,10.65,252,0.6,"0","0","0","0","0","0",0,0,0,0,0,0
"106","2004-04-16",14.4,19.4,14.8,19,19.8,11.45,252.01,2.9,"0","0","0","0","0","0",0,0,0,10.4,23.6,19.8
"107","2004-04-17",6.2,3.6,6.4,3.2,4.2,12,252.08,7.4,"0","0","0","0","0","0",19.8,0,0,0,0.2,0
"108","2004-04-18",2.2,4.2,2.2,2.6,5.2,11.8,252.09,9.9,"0","0","0","0","0","0",0,0,0,0,10.4,5.2
"109","2004-04-19",9.4,10.6,10.4,9.6,12.6,10.95,252.09,9.5,"0","0","0","0","0","0",5.2,19.8,0,0,0.2,12.6
"110","2004-04-20",0.8,0.2,1.2,0.6,0.6,8.9,252.11,10,"0","0","0","0","0","0",12.6,0,0,0,0,0
"111","2004-04-21",0.2,0,0,0,0,13.5,252.11,9.8,"0","0","0","0","0","1",0,5.2,19.8,0,2.4,0
"112","2004-04-22",0,0,0,0,0,15.8,252.09,9.3,"0","0","0","0","0","1",0,12.6,0,0,0.4,0
"113","2004-04-23",0,0,0,0,0,16.9,252.08,7.5,"0","0","0","0","0","1",0,0,5.2,19.8,0,0
"114","2004-04-24",11.2,13.8,10.8,12.4,14,18.25,252.07,6.8,"0","0","0","0","0","0",0,0,12.6,0,1.8,14
"115","2004-04-25",0.2,0,0,0,0,15.45,252.07,6.8,"0","0","0","0","0","1",14,0,0,5.2,19.8,0
"116","2004-04-26",0,0,0,0,0,13.2,252.06,5,"0","0","0","0","0","1",0,0,0,12.6,4.2,0
"117","2004-04-27",0,0,0,0,0,13.85,252.05,5.2,"0","0","0","0","0","1",0,14,0,0,5.2,0
"118","2004-04-28",0,0,0,0,0,15.05,252.05,5,"0","0","0","0","0","1",0,0,0,0,12.6,0
"119","2004-04-29",0.4,0.2,0.4,0.2,0.6,15,252.05,4.8,"0","0","0","0","0","0",0,0,14,0,0.6,0
"120","2004-04-30",2.6,3.8,4,2.6,3.2,15.7,252.05,4.6,"0","0","0","0","0","0",0,0,0,0,0,0
"121","2004-05-01",0,0,0,0,0,13.9,252.05,3.9,"0","0","0","0","0","1",0,0,0,14,0,0
"122","2004-05-02",2.8,1.8,4.4,5.2,3.6,14.45,252.04,3.2,"0","0","0","0","0","0",0,0,0,0,0,0
"123","2004-05-03",2.4,13.8,2.8,3.4,4.6,14.6,252.04,3,"0","0","0","0","0","0",0,0,0,0,14,0
"124","2004-05-04",24.2,46.6,27,33.8,39.8,16.9,252.06,11.8,"0","0","0","0","0","0",0,0,0,0,0,39.8
"125","2004-05-05",19.6,28.4,16.4,29,30.6,12.95,252.23,25.5,"0","0","0","0","0","0",39.8,0,0,0,0,30.6
"126","2004-05-06",14.2,13,11.4,19,29.6,10.15,252.36,38.5,"0","0","0","0","0","0",30.6,0,0,0,0,29.6
"127","2004-05-07",8.2,8.8,9.8,7.6,6.6,9.25,252.23,32.2,"0","0","0","0","0","0",29.6,39.8,0,0,0,6.6
"128","2004-05-08",11,23.2,17.8,16.4,14,9.1,252.18,27.2,"0","0","0","0","0","0",6.6,30.6,0,0,0.6,14
"129","2004-05-09",0,1.4,0.4,0.8,0.6,9.85,252.12,21.4,"0","0","0","0","0","0",14,29.6,39.8,0,3.2,0
"130","2004-05-10",0,0,0,0,0,11.05,252.06,10.9,"0","0","0","0","0","1",0,6.6,30.6,0,0,0
"131","2004-05-11",0,0,0,0,0.2,12.1,252.08,7,"0","0","0","0","0","0",0,14,29.6,39.8,3.6,0
"132","2004-05-12",1.4,2.4,1.2,1.6,1.4,15.35,252.08,9.1,"0","0","0","0","0","0",0,0,6.6,30.6,4.6,0
"133","2004-05-13",0,0.4,0,0,0,14.3,252.08,9.1,"0","0","0","0","0","1",0,0,14,29.6,39.8,0
"134","2004-05-14",0,0,0,0,0,14.2,252.08,8,"0","0","0","0","0","1",0,0,0,6.6,30.6,0
"135","2004-05-15",0,0,0,0,0,16.2,252.08,8,"0","0","0","0","0","1",0,0,0,14,29.6,0
"136","2004-05-16",0,0,0,0,0,15.35,252.07,7.8,"0","0","0","0","0","1",0,0,0,0,6.6,0
"137","2004-05-17",0,0,0,0,0,17.45,252.06,6.9,"0","0","0","0","0","1",0,0,0,0,14,0
"138","2004-05-18",0,0,0,0,0,16.15,252.06,6.1,"0","0","0","0","0","1",0,0,0,0,0.6,0
"139","2004-05-19",0,0,0,0,0,17.2,252.05,5.7,"0","0","0","0","0","1",0,0,0,0,0,0
"140","2004-05-20",0,0,0,0,0,16.7,252.05,4.8,"0","0","0","0","0","1",0,0,0,0,0.2,0
"141","2004-05-21",0,0,0,0,0,16.75,252.04,4.8,"0","0","0","0","0","1",0,0,0,0,1.4,0
"142","2004-05-22",0,0,0,0,0,16.15,252.04,4.5,"0","0","0","0","0","1",0,0,0,0,0,0
"143","2004-05-23",0,0,0,0,0,16.65,252.04,4.1,"0","0","0","0","0","1",0,0,0,0,0,0
"144","2004-05-24",0,0,0,0,0,15.75,252.03,3.3,"0","0","0","0","0","1",0,0,0,0,0,0
"145","2004-05-25",0,0,0,0,0,15.1,252.03,3.3,"0","0","0","0","0","1",0,0,0,0,0,0
"146","2004-05-26",0,0,0,0,0,16.45,252.03,3.3,"0","0","0","0","0","1",0,0,0,0,0,0
"147","2004-05-27",0,0,0,0,0,17.2,252.03,3.3,"0","0","0","0","0","1",0,0,0,0,0,0
"148","2004-05-28",0.2,0,0.2,0.4,0,15.8,252.03,3.3,"0","0","0","0","0","1",0,0,0,0,0,0
"149","2004-05-29",0,0,0,0,0,17.05,252.02,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"150","2004-05-30",0,0,0,0,0,16.5,252.02,2,"0","0","0","0","0","1",0,0,0,0,0,0
"151","2004-05-31",9.4,7,5.8,8.6,11.2,14.45,252.02,2,"0","0","0","0","0","0",0,0,0,0,0,11.2
"152","2004-06-01",7.8,7.2,5.8,7.4,11.6,17.75,252.02,2,"0","0","0","0","0","0",11.2,0,0,0,0,11.6
"153","2004-06-02",1.2,7.2,2.6,2.6,0,16.1,252.02,2,"0","0","0","0","0","1",11.6,0,0,0,0,0
"154","2004-06-03",5.6,7,7.2,4.8,6.8,17.85,252.02,2,"0","0","0","0","0","0",0,11.2,0,0,0,6.8
"155","2004-06-04",0.2,0,0,0,0,19,252.02,2,"0","0","0","0","0","1",6.8,11.6,0,0,0,0
"156","2004-06-05",8,0,2.6,0.4,0.2,18.7,252.02,2,"0","0","0","0","0","0",0,0,11.2,0,0,0
"157","2004-06-06",8,4.2,4.2,6.2,7.4,18.2,252.02,2,"0","0","0","0","0","0",0,6.8,11.6,0,0,7.4
"158","2004-06-07",0,0,0,0,0,16.75,252.02,2.3,"0","0","0","0","0","1",7.4,0,0,11.2,0,0
"159","2004-06-08",0,0,0,0,0,19.85,252.01,1.7,"0","0","0","0","0","1",0,0,6.8,11.6,0,0
"160","2004-06-09",0,0,0,0,0,21.65,252.01,1.7,"0","0","0","0","0","1",0,7.4,0,0,11.2,0
"161","2004-06-10",0,0,0,0,0,23.3,252.01,1.6,"0","0","0","0","0","1",0,0,0,6.8,11.6,0
"162","2004-06-11",0,0,0,0,0,22.05,252.01,1.4,"0","0","0","0","0","1",0,0,7.4,0,0,0
"163","2004-06-12",0,0,0,0,0,21.5,252,0.8,"0","0","0","0","0","1",0,0,0,0,6.8,0
"164","2004-06-13",0,1.2,0.2,0.4,0,20,252,0.8,"0","0","0","0","0","1",0,0,0,7.4,0,0
"165","2004-06-14",0,0.2,0.2,0.2,0,16.8,251.99,0.6,"0","0","0","0","0","1",0,0,0,0,0.2,0
"166","2004-06-15",0,1.2,2,0,0,18.35,251.99,0.6,"0","0","0","0","0","1",0,0,0,0,7.4,0
"167","2004-06-16",0,0,0,0,0,20.05,251.98,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"168","2004-06-17",0,0,0,0,0,19.55,251.98,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"169","2004-06-18",0,0,0,0,0,19.95,251.97,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"170","2004-06-19",0,0,0,0,0,21.2,251.96,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"171","2004-06-20",0.2,1.6,2.4,0.8,0.4,21.75,251.96,0.6,"0","0","0","0","0","0",0,0,0,0,0,0
"172","2004-06-21",0,0,0,0,0,18.65,251.95,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"173","2004-06-22",0,0,0,0,0,17.3,251.94,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"174","2004-06-23",0,0,0,0,0,19.2,251.93,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"175","2004-06-24",0,0,0,0,0,20.75,251.92,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"176","2004-06-25",0,0,0,0,0,20.4,251.91,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"177","2004-06-26",0,0,0,0,0,20.4,251.9,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"178","2004-06-27",0,0,0,0,0,22.65,251.89,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"179","2004-06-28",0,0,0,0,0,24.45,251.88,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"180","2004-06-29",0,0,0,0,0,24.1,251.87,0.6,"0","0","0","0","0","1",0,0,0,0,0.4,0
"181","2004-06-30",0,0,0,0,0,24.7,251.86,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"182","2004-07-01",0,0,0,0,0,24.45,251.85,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"183","2004-07-02",0,0,0,0,0,23.5,251.84,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"184","2004-07-03",0,0,0,0,0,21.15,251.83,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"185","2004-07-04",0,0,0,0,0,21.65,251.81,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"186","2004-07-05",0,0,0,0,0,21.95,251.8,0.6,"0","0","0","0","0","1",0,0,0,0,0,0
"187","2004-07-06",0,0,0,0,0,23,251.78,1,"0","0","0","0","0","1",0,0,0,0,0,0
"188","2004-07-07",0,0,0,0,0,24.65,251.75,1,"0","0","0","0","0","1",0,0,0,0,0,0
"189","2004-07-08",0,0,0,0,0,25.2,251.73,1,"0","0","0","0","0","1",0,0,0,0,0,0
"190","2004-07-09",0,0,0,0,0,25.9,251.7,1.5,"0","0","0","0","0","1",0,0,0,0,0,0
"191","2004-07-10",0,0,0,0,0,20,251.67,1.5,"0","0","0","0","0","1",0,0,0,0,0,0
"192","2004-07-11",0,0,0,0,0,19,251.64,1.5,"0","0","0","0","0","1",0,0,0,0,0,0
"193","2004-07-12",0,0,0,0,0,18.55,251.61,2,"0","0","0","0","0","1",0,0,0,0,0,0
"194","2004-07-13",0,0.2,0,0,0,15.75,251.57,2,"0","0","0","0","0","1",0,0,0,0,0,0
"195","2004-07-14",0,0,0,0,0,21.15,251.54,2,"0","0","0","0","0","1",0,0,0,0,0,0
"196","2004-07-15",0,0,0,0,0,20.9,251.5,2,"0","0","0","0","0","1",0,0,0,0,0,0
"197","2004-07-16",0,0,0,0,0,20.85,251.46,2,"0","0","0","0","0","1",0,0,0,0,0,0
"198","2004-07-17",0,0,0,0,0,22.35,251.41,2,"0","0","0","0","0","1",0,0,0,0,0,0
"199","2004-07-18",0,0,0,0,0,23.65,251.37,2,"0","0","0","0","0","1",0,0,0,0,0,0
"200","2004-07-19",0,0,0,0,0,24.25,251.34,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"201","2004-07-20",0,0,0,0,0,25.2,251.3,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"202","2004-07-21",0,0,0,0,0,25.25,251.25,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"203","2004-07-22",0,0,0,0,0,26.05,251.2,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"204","2004-07-23",0,0,0,0,0,26.9,251.16,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"205","2004-07-24",0,0,0,0,0,26.1,251.11,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"206","2004-07-25",13.6,12,21,9.2,10.2,23.6,251.07,2.5,"0","0","0","0","0","0",0,0,0,0,0,10.2
"207","2004-07-26",0,0,0,0,0,22.8,251.03,2.5,"0","0","0","0","0","1",10.2,0,0,0,0,0
"208","2004-07-27",0,0.2,0,0,0,23.75,250.98,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"209","2004-07-28",0,0,0,0,0,21.5,250.93,2.5,"0","0","0","0","0","1",0,10.2,0,0,0,0
"210","2004-07-29",0,0,0,0,0,21.1,250.88,2.5,"0","0","0","0","0","1",0,0,0,0,0,0
"211","2004-07-30",0,0,0,0,0,22.6,250.84,3,"0","0","0","0","0","1",0,0,10.2,0,0,0
"212","2004-07-31",0,0,0,0,0,24.15,250.77,3,"0","0","0","0","0","1",0,0,0,0,0,0
"213","2004-08-01",0,0,0,0,0,24.7,250.71,3,"0","0","0","0","0","1",0,0,0,10.2,0,0
"214","2004-08-02",0,0,0,0,0,25.75,250.67,3,"0","0","0","0","0","1",0,0,0,0,0,0
"215","2004-08-03",0,0,0,0,0,24.25,250.61,3,"0","0","0","0","0","1",0,0,0,0,10.2,0
"216","2004-08-04",9.6,16,1.6,7,15.8,24.4,250.55,3,"0","0","0","0","0","0",0,0,0,0,0,15.8
"217","2004-08-05",3.4,2.6,2,5.2,9.6,23.3,250.5,3,"0","0","0","0","0","0",15.8,0,0,0,0,9.6
"218","2004-08-06",7.6,5.6,6.6,4.4,2.2,22.5,250.45,2.5,"0","0","0","0","0","0",9.6,0,0,0,0,0
"219","2004-08-07",0,0.2,0,0,0,22.7,250.4,2.5,"0","0","0","0","0","1",0,15.8,0,0,0,0
"220","2004-08-08",0.8,1,1.2,1,1,23.65,250.34,2.5,"0","0","0","0","0","0",0,9.6,0,0,0,0
"221","2004-08-09",0,0,0,0,0,22.55,250.3,2.5,"0","0","0","0","0","1",0,0,15.8,0,0,0
