"","Date","Rainfall_Gallicano","Rainfall_Pontetetto","Rainfall_Monte_Serra","Rainfall_Orentano","Rainfall_Borgo_a_Mozzano","Rainfall_Piaggione","Rainfall_Calavorno","Rainfall_Croce_Arcana","Rainfall_Tereglio_Coreglia_Antelminelli","Rainfall_Fabbriche_di_Vallico","Temperature_Orentano","Temperature_Monte_Serra","Temperature_Ponte_a_Moriano","Temperature_Lucca_Orto_Botanico","Volume_POL","Volume_CC1","Volume_CC2","Volume_CSA","Volume_CSAL","Hydrometry_Monte_S_Quirico","Hydrometry_Piaggione","CoS","DIEC","LT2","PAG","SAL"
"17",2006-01-17,5.4,6.6,48,9,12.8,11.6,13.4,0,40.6,9.8,3.7,0,4.55,5.8,-10900.06452,-18244.19226,-13386.00774,0,0,0.3,0.17,NA,NA,-14.99,NA,NA
"18",2006-01-18,68,76.6,69.8,71,69.8,88.2,67.2,0,23,102.2,6.6,0,6.5,8.05,-10900.06452,-18244.19226,-13386.00774,0,0,0.77,1.38,NA,NA,-14.86,NA,NA
"19",2006-01-19,2.8,25.2,0.2,22,6.2,11.6,4,0,0.2,6.8,5.6,0,8.2,6.35,-10900.06452,-18244.19226,-13386.00774,0,0,0.6,1,NA,NA,-14.93,NA,NA
"20",2006-01-20,0,0,0.2,0.2,0,0,0,0,0,0,5.8,0,6.85,5.2,-10900.06452,-18244.19226,-13386.00774,0,0,0.49,0.49,NA,NA,-14.96,NA,NA
"21",2006-01-21,0.2,0.2,0.8,0,0,0,0.2,0,0,0.2,6,0,4.7,4.75,-10900.06452,-18244.19226,-13386.00774,0,0,0.43,0.23,NA,NA,-14.91,NA,NA
"22",2006-01-22,0,0.4,0.2,0.2,0.2,1.2,0,0.2,0.2,0.8,3.7,0,6.1,6.3,-10355.06129,-17331.98265,-12716.70735,0,0,0.35,0.18,NA,NA,-14.9,NA,NA
"23",2006-01-23,0,0,0,0,0,0,0,0.2,0,0,6,0,3.7,3.6,-10900.06452,-18244.19226,-13386.00774,0,0,0.36,0.16,NA,NA,-14.93,NA,NA
"24",2006-01-24,0,0,0,0,0,0,0,4,0,0,2.15,0,1.45,2.4,-10900.06452,-18244.19226,-13386.00774,0,0,0.31,0.14,NA,NA,-14.97,NA,NA
"25",2006-01-25,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0.5,-10900.06452,-18244.19226,-13386.00774,0,0,0.29,0.14,NA,NA,-14.95,NA,NA
"26",2006-01-26,0,0,0,0,0,0,0,0,1.6,0,0,0,-0.4,-0.15,-10900.06452,-18244.19226,-13386.00774,0,0,0.3,0.13,NA,NA,-14.9,NA,NA
"27",2006-01-27,11,9.8,3,6.4,15.8,18.6,10.8,0,23.4,0.2,2,0,3.2,4.25,-10900.06452,-18244.19226,-13386.00774,0,0,0.34,0.16,NA,NA,-14.92,NA,NA
"28",2006-01-28,32.6,3.6,21,4.8,10,5,17.2,0,2,31.2,5.05,0,5.55,7.2,-10900.06452,-18244.19226,-13386.00774,0,0,0.33,0.18,NA,NA,-14.96,NA,NA
"29",2006-01-29,17.6,1.6,12.8,3.6,4.2,2.2,2.8,4.8,4.6,29.4,7.8,0,6.5,7.45,-10355.06129,-17331.98265,-12716.70735,0,0,0.38,0.16,NA,NA,-14.95,NA,NA
"30",2006-01-30,8.2,8.4,0.6,6.6,4.8,5,4.6,1.2,0.4,8.6,7.95,0,9.55,10,-10900.06452,-18244.19226,-13386.00774,0,0,0.43,0.16,NA,NA,-14.92,NA,NA
"31",2006-01-31,0,0,0,0,0.2,0,0,0,0,0.2,9.9,0,11.55,10.85,-10900.06452,-18244.19226,-13386.00774,0,0,0.45,0.57,NA,NA,-14.91,NA,NA
"32",2006-02-01,0,0,0,0,0,0,0,0,0,0,9.15,0,11.85,10,-11114.89286,-17917.10286,-13271.83086,0,0,0.43,0.54,NA,NA,-14.91,NA,NA
"33",2006-02-02,0,0.2,0,0,0,0,0.2,0,0,0,9.75,0,9.25,7.7,-11114.89286,-17917.10286,-13271.83086,0,0,0.42,0.45,NA,NA,-14.91,NA,NA
"34",2006-02-03,0.2,0,0,0,0,0,0.2,0,0,0,8.95,0,6.95,7.85,-11114.89286,-17917.10286,-13271.83086,0,0,0.38,0.23,NA,NA,-14.9,NA,NA
"35",2006-02-04,0,0,0,0,0,0,0.2,0,0,0,7.8,0,8.6,9.55,-11114.89286,-17917.10286,-13271.83086,0,0,0.38,0.13,NA,NA,-14.89,NA,NA
"36",2006-02-05,0,0,0,0,0,0,0,0,0,0,8.15,0,5.1,6.15,-10559.14821,-17021.24771,-12608.23931,0,0,0.36,0.11,NA,NA,-14.91,NA,NA
"37",2006-02-06,0,0,0,0,0,0,0,0,0,0,3.75,0,2.2,2.6,-11114.89286,-17917.10286,-13271.83086,0,0,0.35,0.11,NA,NA,-14.94,NA,NA
"38",2006-02-07,0,0,0,0,0,0,0,0,0,0,1.1,0,2.35,2.3,-11114.89286,-17917.10286,-13271.83086,0,0,0.31,0.1,NA,NA,-14.95,NA,NA
"39",2006-02-08,0,0,8.6,0,0,0,0,0,1.6,0,3.95,0,3.75,4.95,-11114.89286,-17917.10286,-13271.83086,0,0,0.32,0.11,NA,NA,-14.87,NA,NA
"40",2006-02-09,1.8,5.8,6,2,5.6,6,2.2,0,0.2,4.6,3.5,0,7.9,7.05,-11114.89286,-17917.10286,-13271.83086,0,0,0.32,0.12,NA,NA,-14.83,NA,NA
"41",2006-02-10,0,0,0,0.2,0,0,0,0,0,0,5.4,1.85,5.9,5.35,-11114.89286,-17917.10286,-13271.83086,0,0,0.29,0.1,NA,NA,-14.87,NA,NA
"42",2006-02-11,0,0.2,0,0,0,0,0,0,0,0,4.25,2.45,5.8,4.35,-11114.89286,-17917.10286,-13271.83086,0,0,0.25,0.09,NA,NA,-14.94,NA,NA
"43",2006-02-12,0,0,0,0,0,0,0,0,0,0,4.2,1.05,5.5,3.9,-10559.14821,-17021.24771,-12608.23931,0,0,0.25,0.08,NA,NA,-14.96,NA,NA
"44",2006-02-13,0,0,0,0,0,0,0,0,0,0,3.45,1.85,5.35,3.9,-11114.89286,-17917.10286,-13271.83086,0,0,0.28,0.09,NA,NA,-14.95,NA,NA
"45",2006-02-14,0,0,6,0,0,0,0,0,0,0,3.5,1.85,4.45,3.85,-11114.89286,-17917.10286,-13271.83086,0,0,0.28,0.08,NA,NA,-14.97,NA,NA
"46",2006-02-15,3.8,13.8,14.6,7.2,8,15.6,5.6,0,17.8,9.6,5.7,4,6.25,8.1,-11114.89286,-17917.10286,-13271.83086,0,0,0.3,0.13,NA,NA,-14.93,NA,NA
"47",2006-02-16,39.2,55,69.2,33.2,40.8,54.4,35.4,0,30.4,62.4,8.05,5.7,9.15,11.05,-11114.89286,-17917.10286,-13271.83086,0,0,0.62,0.94,NA,NA,-14.8,NA,NA
"48",2006-02-17,20.8,19.8,1.2,12,32,35,22,0.6,1.6,35.4,11.1,5.5,10.25,12.95,-11114.89286,-17917.10286,-13271.83086,0,0,0.74,1.5,NA,NA,-14.81,NA,NA
"49",2006-02-18,1.6,0,0,0,0.4,0.6,0.6,0.4,8.8,2,9.85,5.3,10,11.85,-11114.89286,-17917.10286,-13271.83086,0,0,0.57,0.89,NA,NA,-14.84,NA,NA
"50",2006-02-19,9,0,8.8,0,2.2,0.8,5.8,0.4,9.8,3.4,9.85,5.8,9.65,11.4,-10559.14821,-17021.24771,-12608.23931,0,0,0.55,0.78,NA,NA,-14.83,NA,NA
"51",2006-02-20,24,14.4,8.4,13.2,17.8,18.2,19.6,0,33.8,23,11.45,4.3,8.2,10.25,-11114.89286,-17917.10286,-13271.83086,0,0,0.65,1.26,NA,NA,-14.81,NA,NA
"52",2006-02-21,37,22.4,16,14.8,22.2,25,48.2,0.8,15.2,28.8,9.5,1.7,5.55,7.45,-11114.89286,-17917.10286,-13271.83086,0,0,0.77,1.66,NA,NA,-14.84,NA,NA
"53",2006-02-22,10.8,10.8,4,7.4,7.4,6.8,10.6,5.8,4.2,14.8,7.5,2.9,7,7.05,-11114.89286,-17917.10286,-13271.83086,0,0,0.69,1.4,NA,NA,-14.87,NA,NA
"54",2006-02-23,5.2,4.4,0.2,2.6,2,2.2,1.6,0,0.2,5.8,5.1,3.55,7.65,8.15,-11114.89286,-17917.10286,-13271.83086,0,0,0.63,1.18,NA,NA,-14.83,NA,NA
"55",2006-02-24,0,0,0,0,0,0,0,8.6,1.6,0,9.15,0.6,6.45,7.75,-11114.89286,-17917.10286,-13271.83086,0,0,0.57,0.93,NA,NA,-14.77,NA,NA
"56",2006-02-25,0.8,2.6,6.8,4.4,2.4,1,2.4,8.8,1.2,1.8,6.75,0.65,5.3,7.25,-11114.89286,-17917.10286,-13271.83086,0,0,0.53,0.69,NA,NA,-14.8,NA,NA
"57",2006-02-26,1,1.4,1.6,1,1,0.8,0.4,0,1.2,0.8,6,2.3,7.1,7.45,-10559.14821,-17021.24771,-12608.23931,0,0,0.45,0.3,NA,NA,-14.8,NA,NA
"58",2006-02-27,1.6,0.8,0,0.6,3,1.6,2.6,0,0,5.2,5.95,2.85,7.3,7.15,-11114.89286,-17917.10286,-13271.83086,0,0,0.44,0.23,NA,NA,-14.78,NA,NA
"59",2006-02-28,0,0,0,0,0,0,0,0,0,0,6.75,0.15,5,6.35,-11114.89286,-17917.10286,-13271.83086,0,0,0.43,0.21,NA,NA,-14.77,NA,NA
"60",2006-03-01,0,5.4,8,10,0,1,0,0,0.2,0,5,0.7,4.2,4,-10657.06452,-17176.32,-12364.77368,0,0,0.39,0.19,NA,NA,-14.77,NA,NA
"61",2006-03-02,0.2,1,0.4,0.6,0,0.2,0.4,0,1,0,4.95,2.05,5.5,6.3,-10657.06452,-17176.32,-12364.77368,0,0,0.4,0.18,NA,NA,-14.76,NA,NA
"62",2006-03-03,20,3,6.6,13.6,21.2,13.2,24.6,0.2,34.4,27.2,5.55,2.8,5.65,6.3,-10657.06452,-17176.32,-12364.77368,0,0,0.44,0.45,NA,NA,-14.78,NA,NA
"63",2006-03-04,24.6,45.6,0,10,6.2,5.8,26.2,12,18.8,13.6,10.75,0,10.3,13,-10657.06452,-17176.32,-12364.77368,0,0,0.52,0.76,NA,NA,-14.73,NA,NA
"64",2006-03-05,34.6,3.4,10.2,5.2,18.8,13.2,28,152,29.6,48.8,12.85,0,9.65,11.85,-10124.21129,-16317.504,-11746.53499,0,0,0.89,2.17,NA,NA,-14.66,NA,NA
"65",2006-03-06,20.4,6.6,0,7.2,28.4,16.2,34.6,20.2,0.2,46.4,10.4,0,5.75,7.5,-10657.06452,-17176.32,-12364.77368,0,0,0.92,2.25,NA,NA,-14.74,NA,NA
"66",2006-03-07,0,0,0,0,0,0,0,8,0,0,3.65,0,5.5,5.6,-10657.06452,-17176.32,-12364.77368,0,0,0.7,1.51,NA,NA,-14.79,NA,NA
"67",2006-03-08,0,0,0,0,0,0,0,0,0,0,4.05,0,4.2,4.8,-10657.06452,-17176.32,-12364.77368,0,0,0.62,1.18,NA,NA,-14.8,NA,NA
"68",2006-03-09,2,4.4,9.2,4.4,2.4,3,2,0,2.2,3,7.3,0,7.85,8.85,-10657.06452,-17176.32,-12364.77368,0,0,0.58,1.01,NA,NA,-14.74,NA,NA
"69",2006-03-10,6.6,4.2,1.8,4.6,11,9.8,16,1.4,15.2,15.2,9.55,0,9.8,11.55,-10657.06452,-17176.32,-12364.77368,0,0,0.58,1.04,NA,NA,-14.69,NA,NA
"70",2006-03-11,1.8,0,0,0,7.6,8.2,7,5,0,10,8.75,0,8,8.2,-10657.06452,-17176.32,-12364.77368,0,0,0.57,0.96,NA,NA,-14.68,NA,NA
"71",2006-03-12,0,0,0,0,0,0,0,2,0,0,4.9,0,6.55,5.85,-10124.21129,-16317.504,-11746.53499,0,0,0.52,0.71,NA,NA,-14.7,NA,NA
"72",2006-03-13,0,0,0,0,0,0,0,13.4,0,0,6.1,0,5.05,6.5,-10657.06452,-17176.32,-12364.77368,0,0,0.48,0.52,NA,NA,-14.74,NA,NA
"73",2006-03-14,0,0,0,0,0,0,0,2,0,0,5.4,0,7,7.3,-10657.06452,-17176.32,-12364.77368,0,0,0.46,0.35,NA,NA,-14.75,NA,NA
"74",2006-03-15,0,0,0,0,0,0,0,0,0,0,6.85,0,6.75,7.45,-10657.06452,-17176.32,-12364.77368,0,0,0.44,0.24,NA,NA,-14.75,NA,NA
"75",2006-03-16,5,2.6,3,3,3.8,5.6,3.8,0.4,3.6,5.2,9.9,0,5.9,8.15,-10657.06452,-17176.32,-12364.77368,0,0,0.42,0.26,NA,NA,-14.74,NA,NA
"76",2006-03-17,0.2,0,0,0,0,0,0,0.6,0,0.2,6.15,0,7.8,7.95,-10657.06452,-17176.32,-12364.77368,0,0,0.41,0.21,NA,NA,-14.74,NA,NA
"77",2006-03-18,0,0,0,0.2,0,0,0,0,0,0,6.5,0,8.2,8.3,-10657.06452,-17176.32,-12364.77368,0,0,0.4,0.18,NA,NA,-14.71,NA,NA
"78",2006-03-19,0,0,0,0,0,0,0,0,0,0,10.7,0,7,9.65,-10124.21129,-16317.504,-11746.53499,0,0,0.3,0.33,NA,NA,-14.69,NA,NA
"79",2006-03-20,0,0,3.8,0,0,0,0,0,1.4,0,8.4,0,7.7,9.55,-10657.06452,-17176.32,-12364.77368,0,0,0.41,0.18,NA,NA,-14.68,NA,NA
"80",2006-03-21,15.2,13.8,15.8,13.6,14.6,14.4,15,0,36.6,23.6,10.05,0,8.25,11.3,-10657.06452,-17176.32,-12364.77368,0,0,0.44,0.41,NA,NA,-14.65,NA,NA
"81",2006-03-22,20.4,2.8,0.6,1.4,12,6.4,24.4,0,1,28,11.6,0,8.8,12.65,-10657.06452,-17176.32,-12364.77368,0,0,0.67,1.36,NA,NA,-14.59,NA,NA
"82",2006-03-23,0.8,0.2,1.8,1,0.2,0.6,0,0,0.4,4.8,10.15,0,11.25,13,-10657.06452,-17176.32,-12364.77368,0,0,0.59,1.03,NA,NA,-14.61,NA,NA
"83",2006-03-24,3.4,3.8,8.6,10.8,12.6,0.2,2.4,0,6.4,0.6,11.9,4.2,7.45,9,-10657.06452,-17176.32,-12364.77368,0,0,0.52,0.67,NA,NA,-14.64,NA,NA
"84",2006-03-25,4.2,5.8,1.4,4.2,5.6,5,6.2,0,0,7.2,9.3,5.1,10.8,12.8,-10657.06452,-17176.32,-12364.77368,0,0,0.49,0.53,NA,NA,-14.66,NA,NA
"85",2006-03-26,0,0,0,0.2,0,0,0,0,0,0,9.65,5.75,7.35,8.9,-10124.21129,-16317.504,-11746.53499,0,0,0.48,0.42,NA,NA,-14.7,NA,NA
"86",2006-03-27,0,0.2,0,0,0,0,0,0,0,0,10,7.75,10.75,12.7,-10657.06452,-17176.32,-12364.77368,0,0,0.47,0.38,NA,NA,-14.68,NA,NA
"87",2006-03-28,0,0,2.4,0,1.4,0,0,2.6,3.6,0,13.3,6.65,9.6,12.9,-10657.06452,-17176.32,-12364.77368,0,0,0.48,0.45,NA,NA,-14.62,NA,NA
"88",2006-03-29,0.6,0.2,0.2,0.2,1,0.8,1.8,0,0.2,1.6,12.25,5.6,10,13.2,-10657.06452,-17176.32,-12364.77368,0,0,0.5,0.6,NA,NA,-14.63,NA,NA
"89",2006-03-30,0,0,0,0,0,0,0,0,0,0,11.45,7,11.15,13.15,-10657.06452,-17176.32,-12364.77368,0,0,0.46,0.33,NA,NA,-14.66,NA,NA
"90",2006-03-31,0,0,0,0,0,0,0,0,0,0,11.35,8.9,9.85,12.45,-10657.06452,-17176.32,-12364.77368,0,0,0.45,0.22,NA,NA,-14.65,NA,NA
"91",2006-04-01,0,0,0.2,0,5.4,0,0,0,0,0,12.25,9.15,12,13.9,-10099.46667,-16398.72,-12589.47467,0,0,0.39,0.19,NA,NA,-14.62,NA,NA
"92",2006-04-02,0,0.2,0,0,0.4,0,0,0.2,0,0,13.65,9.45,12.3,14.95,-9594.493333,-15578.784,-11960.00093,0,0,0.35,0.13,NA,NA,-14.6,NA,NA
"93",2006-04-03,0.2,0,0,0,1.8,0,0,0.2,0,0.4,13.9,8.95,12.55,14.65,-10099.46667,-16398.72,-12589.47467,0,0,0.42,0.14,NA,NA,-14.59,NA,NA
"94",2006-04-04,0,0,0,0.2,0,0,0,0.2,0,0,12,9.9,13.35,13.9,-10099.46667,-16398.72,-12589.47467,0,0,0.39,0.12,NA,NA,-14.57,NA,NA
"95",2006-04-05,0,0,0.2,0,4.6,0,0,3.6,2,0,12.65,7.2,10.3,11.6,-10099.46667,-16398.72,-12589.47467,0,0,0.39,0.14,NA,NA,-14.51,NA,NA
"96",2006-04-06,2.2,3,0.6,0.2,3.2,1.6,4.2,12.2,11,2,13.7,6.75,10.3,13.3,-10099.46667,-16398.72,-12589.47467,0,0,0.39,0.13,NA,NA,-14.49,NA,NA
"97",2006-04-07,3.4,0,0,2.2,4,3.4,5.2,0,0,6.2,9.75,6.4,10.4,11.7,-10099.46667,-16398.72,-12589.47467,0,0,0.39,0.09,NA,NA,-14.54,NA,NA
"98",2006-04-08,0,0,0,0,0.4,0,0,0,0,0,10,7.7,10.5,11.4,-10099.46667,-16398.72,-12589.47467,0,0,0.35,0.09,NA,NA,-14.55,NA,NA
"99",2006-04-09,0,0,0,0,0,0,0,0,0,0,11.95,8.55,12.15,14.3,-9594.493333,-15578.784,-11960.00093,0,0,0.33,0.09,NA,NA,-14.55,NA,NA
"100",2006-04-10,0,0,1.2,0,0,0,0,0,1,0,13.7,8.15,11.95,14,-10099.46667,-16398.72,-12589.47467,0,0,0.37,0.1,NA,NA,-14.51,NA,NA
"101",2006-04-11,2.8,0,0,0,0.8,1,2,5.4,1,1.2,14.6,4.7,8.4,11.5,-10099.46667,-16398.72,-12589.47467,0,0,0.36,0.08,NA,NA,-14.51,NA,NA
"102",2006-04-12,0,0,0,0,0,0,0,1,0.2,0,7.95,6.3,9,10.4,-10099.46667,-16398.72,-12589.47467,0,0,0.36,0.08,NA,NA,-14.55,NA,NA
"103",2006-04-13,0,0,0,0,0.2,0.2,0,1.2,0,1,9.2,7.45,10.75,11.75,-10099.46667,-16398.72,-12589.47467,0,0,0.33,0.07,NA,NA,-14.56,NA,NA
"104",2006-04-14,0,0,0,0,0,0,0,0,0,0,10.65,10.05,11.55,12.9,-10099.46667,-16398.72,-12589.47467,0,0,0.33,0.07,NA,NA,-14.58,NA,NA
"105",2006-04-15,0,0,0.8,0,0,0,0,0,1,0,14,9.7,13.45,15.55,-10099.46667,-16398.72,-12589.47467,0,0,0.32,0.06,NA,NA,-14.58,NA,NA
"106",2006-04-16,1.8,2.2,2.2,0.8,2.6,2.6,2.4,0,0.8,2.6,16.45,8.9,13,14.55,-9594.493333,-15578.784,-11960.00093,0,0,0.28,0.07,NA,NA,-14.54,NA,NA
"107",2006-04-17,0,0.6,0,0.6,0.2,0.2,0,0,0,0.2,12.7,11.55,13.7,15.5,-10099.46667,-16398.72,-12589.47467,0,0,0.33,0.07,NA,NA,-14.5,NA,NA
"108",2006-04-18,0,0,0.8,0.8,0,0,0,1.6,0,0,16.25,9.95,12.75,15.45,-10099.46667,-16398.72,-12589.47467,0,0,0.35,0.07,NA,NA,-14.47,NA,NA
"109",2006-04-19,0,0,0,0,4.2,0,0,10.4,0,0,14.3,11.3,13.2,16.45,-10099.46667,-16398.72,-12589.47467,0,0,0.35,0.06,NA,NA,-14.5,NA,NA
"110",2006-04-20,0,0,0,0,0,0,0,0,1.8,0,13.75,11.3,14,15.5,-10099.46667,-16398.72,-12589.47467,0,0,0.36,0.06,NA,NA,-14.55,NA,NA
"111",2006-04-21,3.8,0,0,0,2.6,0,1.6,6.4,2.8,6.8,15.35,12.2,14.55,15.85,-10099.46667,-16398.72,-12589.47467,0,0,0.36,0.05,NA,NA,-14.57,NA,NA
"112",2006-04-22,2.6,0,0,0.2,0.8,0.8,1.6,0.6,0,2.2,15.65,14,14.75,16.55,-10099.46667,-16398.72,-12589.47467,0,0,0.35,0.05,NA,NA,-14.57,NA,NA
"113",2006-04-23,0,0,0,0,0,0,0,0,0,0,15.6,13.1,13.8,15.85,-9594.493333,-15578.784,-11960.00093,0,0,0.3,0.05,NA,NA,-14.55,NA,NA
"114",2006-04-24,0,0,0,0,0,0,0,0,0,0,14.8,15.5,17.2,17.75,-10099.46667,-16398.72,-12589.47467,0,0,0.33,0.04,NA,NA,-14.55,NA,NA
"115",2006-04-25,0,0,0,0,4.8,0,0,0,0.4,0,17.8,15.8,18,18.6,-10099.46667,-16398.72,-12589.47467,0,0,0.31,0.05,NA,NA,-14.55,NA,NA
"116",2006-04-26,0,0,0.2,0,0.4,0,0.4,0.4,9,0,19.8,8.25,16.5,19,-10099.46667,-16398.72,-12589.47467,0,0,0.32,0.05,NA,NA,-14.53,NA,NA
"117",2006-04-27,11.2,1.2,1.2,0.2,3.8,1.2,2.4,5,0.2,14.6,17,11.6,14.55,16.45,-10099.46667,-16398.72,-12589.47467,0,0,0.31,0.05,NA,NA,-14.51,NA,NA
"118",2006-04-28,0.2,0.6,1,10.2,2.8,0.4,0.4,16.2,1.4,0.6,16.55,11.1,14.5,17.4,-10099.46667,-16398.72,-12589.47467,0,0,0.32,0.05,NA,NA,-14.48,NA,NA
"119",2006-04-29,0.4,0.4,0.4,0,1.4,3,0.6,1.8,5,0.6,16.85,10.85,15,18.6,-10099.46667,-16398.72,-12589.47467,0,0,0.3,0.05,NA,NA,-14.48,NA,NA
"120",2006-04-30,14.4,5.4,11,20.4,3,17.2,8.4,7.8,11.4,6.6,16.2,9.9,14.8,16.25,-9594.493333,-15578.784,-11960.00093,0,0,0.35,0.06,NA,NA,-14.49,NA,NA
"121",2006-05-01,7.6,3.8,7.4,5.2,4.4,3.4,7.8,2.8,0.6,12.2,15,8.85,13.95,16.6,-10540.48387,-17012.16,-13557.01161,0,0,0.29,0.05,NA,NA,-14.51,NA,NA
"122",2006-05-02,0.2,0,0,0,0,0,0,0,0,0,14.2,11.3,15.45,17.15,-10540.48387,-17012.16,-13557.01161,0,0,0.31,0.05,NA,NA,-14.55,NA,NA
"123",2006-05-03,0,0,0,0,0,0,0,0.6,0,0,16.2,14.8,18,18.2,-10540.48387,-17012.16,-13557.01161,0,0,0.31,0.05,NA,NA,-14.56,NA,NA
"124",2006-05-04,0,0,0,0,2.4,0,0,0,0,0,16.65,15.45,17.2,18.6,-10540.48387,-17012.16,-13557.01161,0,0,0.31,0.03,NA,NA,-14.57,NA,NA
"125",2006-05-05,0,0,0,0,0.6,0,0,0,0,0,18.75,13.6,16.75,18.65,-10540.48387,-17012.16,-13557.01161,0,0,0.31,0.04,NA,NA,-14.6,NA,NA
"126",2006-05-06,0,0,0,0,0,0,0,0,0,0,16.25,13.25,16.7,17.95,-10540.48387,-17012.16,-13557.01161,0,0,0.26,0.03,NA,NA,-14.6,NA,NA
"127",2006-05-07,0,0,0,0,0,0,0,0,0,0,16.6,11.9,15.6,17.75,-10013.45968,-16161.552,-12879.16103,0,0,0.22,0.04,NA,NA,-14.6,NA,NA
"128",2006-05-08,0,0,0,0,0,0,0,2.2,0,0,16.1,11.95,14.55,17.1,-10540.48387,-17012.16,-13557.01161,0,0,0.28,0.04,NA,NA,-14.59,NA,NA
"129",2006-05-09,14.2,13,14,11.6,16.8,14.8,15.2,6.6,12.2,27,17.65,7.5,11.45,13.4,-10540.48387,-17012.16,-13557.01161,0,0,0.3,0.05,NA,NA,-14.56,NA,NA
"130",2006-05-10,0.4,0.4,0,7.2,3.2,1.4,3.2,1.4,0,2.8,11.3,9.6,12.7,14.15,-10540.48387,-17012.16,-13557.01161,0,0,0.3,0.04,NA,NA,-14.58,NA,NA
"131",2006-05-11,2.6,17.8,22.2,12,3.8,10.4,2.2,2.8,4.4,0.8,15.65,12.1,14.55,16.75,-10540.48387,-17012.16,-13557.01161,0,0,0.29,0.04,NA,NA,-14.61,NA,NA
