"","Date","Rainfall_Settefrati","Temperature_Settefrati","fl_rate.Ls","Year","Month","Day","Spring","Summer","Autumn","Winter","snow.yes","snow.no","Y_m","Semester","Quarters","Trimonthly","Fl_rate.Tri","Fl_rate.Quar","Fl_rate.Sem","lag1","lag3","lag5","lag7","lag9","rain4"
"66",2015-05-17,0,20.2,274.5263104,"2015","5","17","1","0","0","0","0","1",2015-05-17,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,9.2,0,0,0,0,0
"67",2015-05-18,0,20.75,274.6188995,"2015","5","18","1","0","0","0","0","1",2015-05-18,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,8.5,0
"68",2015-05-19,0,19.9,275.1666475,"2015","5","19","1","0","0","0","0","1",2015-05-19,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,9.2,0,0,0,0
"69",2015-05-20,0,18.3,274.3945231,"2015","5","20","1","0","0","0","0","1",2015-05-20,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"70",2015-05-21,5,12,274.4671458,"2015","5","21","1","0","0","0","0","1",2015-05-21,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,9.2,0,0,0
"71",2015-05-22,2.8,11.7,274.3421156,"2015","5","22","1","0","0","0","0","1",2015-05-22,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"72",2015-05-23,1.8,10.85,274.1636538,"2015","5","23","1","0","0","0","0","1",2015-05-23,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,9.2,0,0
"73",2015-05-24,2,11.3,274.0833288,"2015","5","24","1","0","0","0","0","1",2015-05-24,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"74",2015-05-25,0,12.9,273.9533986,"2015","5","25","1","0","0","0","0","1",2015-05-25,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,9.2,0
"75",2015-05-26,16.8,13.85,273.7992286,"2015","5","26","1","0","0","0","0","1",2015-05-26,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,16.8
"76",2015-05-27,8.8,13.2,273.7222372,"2015","5","27","1","0","0","0","0","1",2015-05-27,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,16.8,0,0,0,0,8.8
"77",2015-05-28,0.2,13.1,273.8666574,"2015","5","28","1","0","0","0","0","1",2015-05-28,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,8.8,0,0,0,0,0
"78",2015-05-29,0,14.95,273.6717064,"2015","5","29","1","0","0","0","0","1",2015-05-29,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,16.8,0,0,0,0
"79",2015-05-30,0,17.05,273.6753212,"2015","5","30","1","0","0","0","0","1",2015-05-30,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,8.8,0,0,0,0
"80",2015-05-31,13.3,17.65,273.7554743,"2015","5","31","1","0","0","0","0","1",2015-05-31,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,16.8,0,0,13.3
"81",2015-06-01,2.2,18.45,273.6683519,"2015","6","1","1","0","0","0","0","1",2015-06-01,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,13.3,0,8.8,0,0,0
"82",2015-06-02,3.4,19.05,273.6685172,"2015","6","2","1","0","0","0","0","1",2015-06-02,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,16.8,0,0
"83",2015-06-03,0,20.55,273.6884255,"2015","6","3","1","0","0","0","0","1",2015-06-03,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,13.3,0,8.8,0,0
"84",2015-06-04,0,21.7,273.6998817,"2015","6","4","1","0","0","0","0","1",2015-06-04,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,16.8,0
"85",2015-06-05,0,22.45,273.6648734,"2015","6","5","1","0","0","0","0","1",2015-06-05,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,13.3,0,8.8,0
"86",2015-06-06,0,22.2,273.741792,"2015","6","6","1","0","0","0","0","1",2015-06-06,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"87",2015-06-07,0,21.25,273.8530483,"2015","6","7","1","0","0","0","0","1",2015-06-07,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,13.3,0,0
"88",2015-06-08,2.6,20.45,273.7789352,"2015","6","8","1","0","0","0","0","1",2015-06-08,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"89",2015-06-09,1.4,19.15,273.900449782609,"2015","6","9","1","0","0","0","0","1",2015-06-09,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,13.3,0
"90",2015-06-10,3.2,19.85,274.1147766,"2015","6","10","1","0","0","0","0","1",2015-06-10,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"91",2015-06-11,8.8,20.75,274.029921045455,"2015","6","11","1","0","0","0","0","1",2015-06-11,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,8.8
"92",2015-06-12,0,20.85,274.04760832,"2015","6","12","1","0","0","0","0","1",2015-06-12,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,8.8,0,0,0,0,0
"93",2015-06-13,0,22.25,274.097942083333,"2015","6","13","1","0","0","0","0","1",2015-06-13,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"94",2015-06-14,0,20.25,274.23219375,"2015","6","14","1","0","0","0","0","1",2015-06-14,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,8.8,0,0,0,0
"95",2015-06-15,0.6,17.25,274.201873666667,"2015","6","15","1","0","0","0","0","1",2015-06-15,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"96",2015-06-16,0.8,19.65,274.201873666667,"2015","6","16","1","0","0","0","0","1",2015-06-16,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,8.8,0,0,0
"97",2015-06-17,15.8,17.7,274.201873666667,"2015","6","17","1","0","0","0","0","1",2015-06-17,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,15.8
"98",2015-06-18,0.2,16.75,274.3496109,"2015","6","18","1","0","0","0","0","1",2015-06-18,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,15.8,0,0,8.8,0,0
"99",2015-06-19,21.9,18.2,273.9063992,"2015","6","19","1","0","0","0","0","1",2015-06-19,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,21.9
"100",2015-06-20,37.5,18.2,274.054136433333,"2015","6","20","1","0","0","0","0","1",2015-06-20,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,21.9,15.8,0,0,8.8,37.5
"101",2015-06-21,2.6,17.15,274.054136433333,"2015","6","21","0","1","0","0","0","1",2015-06-21,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,37.5,0,0,0,0,0
"102",2015-06-22,0,17.5,274.054136433333,"2015","6","22","0","1","0","0","0","1",2015-06-22,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,21.9,15.8,0,0,0
"103",2015-06-23,0,18.5,274.054136433333,"2015","6","23","0","1","0","0","0","1",2015-06-23,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,37.5,0,0,0,0
"104",2015-06-24,3.6,19.8,274.054136433333,"2015","6","24","0","1","0","0","0","1",2015-06-24,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,21.9,15.8,0,0
"105",2015-06-25,0,19,274.054136433333,"2015","6","25","0","1","0","0","0","1",2015-06-25,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,37.5,0,0,0
"106",2015-06-26,0,18.8,274.054136433333,"2015","6","26","0","1","0","0","0","1",2015-06-26,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,21.9,15.8,0
"107",2015-06-27,0,19.3,274.054136433333,"2015","6","27","0","1","0","0","0","1",2015-06-27,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,37.5,0,0
"108",2015-06-28,0,21.1,274.054136433333,"2015","6","28","0","1","0","0","0","1",2015-06-28,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,21.9,0
"109",2015-06-29,0,21.1,274.054136433333,"2015","6","29","0","1","0","0","0","1",2015-06-29,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,37.5,0
"110",2015-06-30,0,22.1,274.054136433333,"2015","6","30","0","1","0","0","0","1",2015-06-30,2015.1,2015.2,"2015-07-01",271.001548351627,274.151540035693,275.335897788619,0,0,0,0,0,0
"111",2015-07-01,0,22.45,274.054136433333,"2015","7","1","0","1","0","0","0","1",2015-07-01,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"112",2015-07-02,0,23.05,274.054136433333,"2015","7","2","0","1","0","0","0","1",2015-07-02,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"113",2015-07-03,0,25,274.054136433333,"2015","7","3","0","1","0","0","0","1",2015-07-03,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"114",2015-07-04,0,24.5,274.054136433333,"2015","7","4","0","1","0","0","0","1",2015-07-04,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"115",2015-07-05,0,24.4,274.054136433333,"2015","7","5","0","1","0","0","0","1",2015-07-05,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"116",2015-07-06,0,25.15,274.054136433333,"2015","7","6","0","1","0","0","0","1",2015-07-06,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"117",2015-07-07,1.4,26.2,274.054136433333,"2015","7","7","0","1","0","0","0","1",2015-07-07,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"118",2015-07-08,0,24.8,274.054136433333,"2015","7","8","0","1","0","0","0","1",2015-07-08,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"119",2015-07-09,0,24.45,274.054136433333,"2015","7","9","0","1","0","0","0","1",2015-07-09,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"120",2015-07-10,0,24.45,274.054136433333,"2015","7","10","0","1","0","0","0","1",2015-07-10,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"121",2015-07-11,0,24.05,274.054136433333,"2015","7","11","0","1","0","0","0","1",2015-07-11,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"122",2015-07-12,0,24.65,274.054136433333,"2015","7","12","0","1","0","0","0","1",2015-07-12,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"123",2015-07-13,0,24.5,274.054136433333,"2015","7","13","0","1","0","0","0","1",2015-07-13,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"124",2015-07-14,0,24.75,274.054136433333,"2015","7","14","0","1","0","0","0","1",2015-07-14,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"125",2015-07-15,1.8,27.4,274.054136433333,"2015","7","15","0","1","0","0","0","1",2015-07-15,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"126",2015-07-16,0,27.3,274.054136433333,"2015","7","16","0","1","0","0","0","1",2015-07-16,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"127",2015-07-17,0,27.1,274.054136433333,"2015","7","17","0","1","0","0","0","1",2015-07-17,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"128",2015-07-18,0,28.35,274.054136433333,"2015","7","18","0","1","0","0","0","1",2015-07-18,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"129",2015-07-19,0,27.75,274.054136433333,"2015","7","19","0","1","0","0","0","1",2015-07-19,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"130",2015-07-20,0,27.25,274.054136433333,"2015","7","20","0","1","0","0","0","1",2015-07-20,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,0
"131",2015-07-21,6.7,27.35,274.054136433333,"2015","7","21","0","1","0","0","0","1",2015-07-21,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,0,0,0,0,0,6.7
"132",2015-07-22,5.6,26.45,274.054136433333,"2015","7","22","0","1","0","0","0","1",2015-07-22,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,6.7,0,0,0,0,5.6
"133",2015-07-23,0.4,25.05,274.054136433333,"2015","7","23","0","1","0","0","0","1",2015-07-23,2015.2,2015.3,"2015-07-01",271.001548351627,247.583533554891,235.798280945029,5.6,0,0,0,0,0
